timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,25.2504,25.3467,25.2338,25.3167,25.3167,3884,0.0000,1.0000
2018-08-13,25.3300,25.3300,25.2546,25.2546,25.2546,600,0.0000,1.0000
2018-08-10,25.2200,25.3600,25.2100,25.3600,25.3600,1800,0.0000,1.0000
2018-08-09,25.2881,25.3800,25.1950,25.1950,25.1950,4300,0.0000,1.0000
2018-08-08,25.1700,25.3400,25.1257,25.3300,25.3300,7701,0.0000,1.0000
2018-08-07,25.0687,25.2800,25.0311,25.2500,25.2500,3525,0.0000,1.0000
2018-08-06,25.1300,25.1300,25.0301,25.0301,25.0301,1200,0.0000,1.0000
2018-08-03,25.1502,25.1502,25.1200,25.1200,25.1200,600,0.0000,1.0000
2018-08-02,25.0100,25.0670,24.9900,25.0670,25.0670,713,0.0000,1.0000
2018-08-01,25.0808,25.0852,25.0800,25.0800,25.0800,780,0.0000,1.0000
2018-07-31,25.0526,25.2099,25.0526,25.2099,25.2099,1301,0.0000,1.0000
2018-07-30,25.1200,25.1453,25.0300,25.0300,25.0300,2095,0.0000,1.0000
2018-07-27,25.0600,25.2100,25.0600,25.0700,25.0700,2900,0.0000,1.0000
2018-07-26,25.1447,25.1447,25.0800,25.0800,25.0800,500,0.0000,1.0000
2018-07-25,25.2200,25.2600,25.2200,25.2600,25.2600,2000,0.0000,1.0000
2018-07-24,25.1803,25.2600,25.1000,25.2190,25.2190,2089,0.0000,1.0000
2018-07-23,25.1500,25.2930,24.9700,25.0800,25.0800,13411,0.0000,1.0000
2018-07-20,25.1700,25.2203,25.1500,25.1500,25.1500,1589,0.0000,1.0000
2018-07-19,25.1753,25.1990,25.0689,25.1990,25.1990,2700,0.0000,1.0000
2018-07-18,24.9100,25.1000,24.9100,25.0660,25.0660,2228,0.0000,1.0000
2018-07-17,25.1000,25.2300,24.9100,25.2300,25.2300,7225,0.0000,1.0000
2018-07-16,25.3000,25.3000,25.0210,25.1000,25.1000,12714,0.0000,1.0000
2018-07-13,25.2631,25.3000,25.2631,25.3000,25.3000,5194,0.0000,1.0000
2018-07-12,25.1900,25.3000,25.1900,25.3000,25.3000,3231,0.0000,1.0000
2018-07-11,25.2700,25.2940,25.2700,25.2940,25.2940,920,0.0000,1.0000
2018-07-10,25.3800,25.3800,25.2150,25.2150,25.2150,690,0.0000,1.0000
2018-07-09,25.2248,25.3700,25.2100,25.2100,25.2100,8258,0.0000,1.0000
2018-07-06,25.1700,25.3200,25.1298,25.3200,25.3200,4395,0.0000,1.0000
2018-07-05,25.2874,25.2950,25.1448,25.1826,25.1826,3989,0.0000,1.0000
2018-07-03,25.2500,25.2940,25.0900,25.2500,25.2500,855,0.0000,1.0000
2018-07-02,25.4000,25.4000,25.2900,25.3645,25.3645,1005,0.0000,1.0000
2018-06-29,25.2500,25.3396,25.2500,25.3190,25.3190,1500,0.0000,1.0000
2018-06-28,25.4100,25.4100,25.2650,25.2650,25.2650,3100,0.4688,1.0000
2018-06-27,25.8203,25.8203,25.8203,25.8203,25.3500,400,0.0000,1.0000
2018-06-26,25.8003,25.8876,25.5700,25.6500,25.1828,5281,0.0000,1.0000
2018-06-25,25.8900,25.8900,25.6700,25.6900,25.2220,10813,0.0000,1.0000
2018-06-22,25.8890,25.8890,25.8760,25.8760,25.4047,491,0.0000,1.0000
2018-06-21,25.8208,25.8208,25.7100,25.7100,25.2417,1722,0.0000,1.0000
2018-06-20,25.8300,25.8300,25.8300,25.8300,25.3595,440,0.0000,1.0000
2018-06-19,25.7652,25.7652,25.5000,25.5600,25.0944,7220,0.0000,1.0000
2018-06-18,25.5500,25.7200,25.5500,25.6154,25.1488,1935,0.0000,1.0000
2018-06-15,25.5048,25.5500,25.5048,25.5500,25.0846,700,0.0000,1.0000
2018-06-14,25.4700,25.5990,25.4300,25.4300,24.9668,1875,0.0000,1.0000
2018-06-13,25.5069,25.5277,25.4700,25.5210,25.0561,3190,0.0000,1.0000
2018-06-12,25.4500,25.5100,25.4300,25.4900,25.0257,4270,0.0000,1.0000
2018-06-11,25.3630,25.5360,25.3630,25.5360,25.0709,6113,0.0000,1.0000
2018-06-08,25.4268,25.4500,25.3101,25.4500,24.9864,2967,0.0000,1.0000
2018-06-07,25.3501,25.3858,25.2500,25.3400,24.8784,6900,0.0000,1.0000
2018-06-06,25.2700,25.3984,25.2700,25.3527,24.8909,2110,0.0000,1.0000
2018-06-05,25.4100,25.5530,25.2300,25.2400,24.7802,2405,0.0000,1.0000
2018-06-04,25.1700,25.3245,25.1700,25.3245,24.8632,610,0.0000,1.0000
2018-06-01,25.1903,25.1903,25.1903,25.1903,24.7314,0,0.0000,1.0000
2018-05-31,25.2000,25.2000,25.1426,25.1903,24.7314,850,0.0000,1.0000
2018-05-30,25.1402,25.2399,25.1402,25.1700,24.7115,800,0.0000,1.0000
2018-05-29,25.2500,25.2500,25.0401,25.0401,24.5840,800,0.0000,1.0000
2018-05-25,25.0100,25.0100,25.0100,25.0100,24.5544,900,0.0000,1.0000
2018-05-24,25.1700,25.2054,25.0950,25.2054,24.7463,1600,0.0000,1.0000
2018-05-23,25.2600,25.3500,25.1350,25.3499,24.8881,3364,0.0000,1.0000
2018-05-22,25.2500,25.2590,25.2500,25.2590,24.7989,400,0.0000,1.0000
2018-05-21,25.3002,25.3010,25.2600,25.2600,24.7999,1115,0.0000,1.0000
2018-05-18,25.0500,25.0500,25.0197,25.0197,24.5640,934,0.0000,1.0000
2018-05-17,25.1000,25.1400,24.9370,24.9370,24.4828,3300,0.0000,1.0000
2018-05-16,25.1101,25.1500,25.0501,25.1400,24.6821,2600,0.0000,1.0000
2018-05-15,25.1100,25.2603,25.1100,25.2300,24.7704,850,0.0000,1.0000
2018-05-14,25.3200,25.3200,25.1947,25.2222,24.7628,940,0.0000,1.0000
2018-05-11,25.0600,25.1500,25.0600,25.1388,24.6809,3292,0.0000,1.0000
2018-05-10,25.1548,25.1548,25.1548,25.1548,24.6966,0,0.0000,1.0000
2018-05-09,25.1500,25.1704,25.1500,25.1548,24.6966,2330,0.0000,1.0000
2018-05-08,25.1000,25.1487,25.0300,25.1000,24.6428,1808,0.0000,1.0000
2018-05-07,25.0020,25.0020,25.0020,25.0020,24.5466,400,0.0000,1.0000
2018-05-04,25.0000,25.1000,25.0000,25.0771,24.6203,3390,0.0000,1.0000
2018-05-03,25.0985,25.0985,25.0985,25.0985,24.6413,170,0.0000,1.0000
2018-05-02,24.9899,25.0990,24.9899,24.9950,24.5397,800,0.0000,1.0000
