timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,25.7510,25.8417,25.6200,25.6679,25.6679,5365,0.0000,1.0000
2018-08-13,25.8900,25.8900,25.8003,25.8003,25.8003,1251,0.0000,1.0000
2018-08-10,25.8100,25.9000,25.7500,25.8781,25.8781,3730,0.0000,1.0000
2018-08-09,25.8999,25.8999,25.8999,25.8999,25.8999,23,0.0000,1.0000
2018-08-08,25.7426,25.9000,25.7301,25.8999,25.8999,2360,0.0000,1.0000
2018-08-07,26.0000,26.0000,25.7524,25.9475,25.9475,1765,0.0000,1.0000
2018-08-06,25.8004,25.8333,25.7110,25.7850,25.7850,3126,0.0000,1.0000
2018-08-03,25.7100,25.8750,25.7000,25.7886,25.7886,1895,0.0000,1.0000
2018-08-02,25.8197,25.8197,25.8197,25.8197,25.8197,33,0.0000,1.0000
2018-08-01,25.8404,25.8485,25.7200,25.8197,25.8197,865,0.0000,1.0000
2018-07-31,25.9600,25.9900,25.7000,25.7000,25.7000,3730,0.0000,1.0000
2018-07-30,25.6290,25.6290,25.6290,25.6290,25.6290,0,0.0000,1.0000
2018-07-27,25.6290,25.6290,25.6290,25.6290,25.6290,10,0.0000,1.0000
2018-07-26,25.6290,25.6290,25.6290,25.6290,25.6290,400,0.0000,1.0000
2018-07-25,25.6831,25.6831,25.5700,25.5700,25.5700,723,0.0000,1.0000
2018-07-24,25.8100,25.8200,25.8000,25.8100,25.8100,2504,0.0000,1.0000
2018-07-23,25.9000,25.9000,25.5500,25.8000,25.8000,1806,0.0000,1.0000
2018-07-20,25.8000,25.8900,25.8000,25.8500,25.8500,1933,0.0000,1.0000
2018-07-19,25.6283,25.9000,25.6283,25.7900,25.7900,5280,0.0000,1.0000
2018-07-18,25.6131,25.6600,25.4500,25.6600,25.6600,4635,0.0000,1.0000
2018-07-17,25.7600,25.8000,25.5000,25.5000,25.5000,6471,0.0000,1.0000
2018-07-16,25.7600,25.7820,25.7600,25.7600,25.7600,2288,0.0000,1.0000
2018-07-13,25.7800,25.7800,25.7800,25.7800,25.7800,336,0.0000,1.0000
2018-07-12,25.8200,25.8928,25.7710,25.7710,25.7710,2310,0.0000,1.0000
2018-07-11,25.8000,25.9310,25.7800,25.8500,25.8500,5200,0.0000,1.0000
2018-07-10,25.9200,26.0000,25.8000,25.8000,25.8000,5900,0.0000,1.0000
2018-07-09,25.6895,26.0000,25.6895,25.9300,25.9300,7404,0.0000,1.0000
2018-07-06,25.7800,26.0000,25.7800,25.9800,25.9800,6964,0.0000,1.0000
2018-07-05,25.6000,25.8774,25.6000,25.7610,25.7610,8405,0.0000,1.0000
2018-07-03,25.6000,25.6900,25.6000,25.6900,25.6900,1826,0.0000,1.0000
2018-07-02,25.5300,25.6554,25.3800,25.6400,25.6400,4998,0.0000,1.0000
2018-06-29,25.5799,25.5800,25.5028,25.5800,25.5800,2725,0.0000,1.0000
2018-06-28,25.6066,25.6066,25.3910,25.4400,25.4400,8679,0.0000,1.0000
2018-06-27,25.6053,25.6280,25.4000,25.4100,25.4100,4629,0.0000,1.0000
2018-06-26,25.5400,25.5400,25.3600,25.4389,25.4389,9806,0.0000,1.0000
2018-06-25,25.4800,25.4914,25.4200,25.4200,25.4200,4122,0.0000,1.0000
2018-06-22,25.6085,25.6499,25.4200,25.4200,25.4200,11211,0.0000,1.0000
2018-06-21,25.7000,25.7140,25.5600,25.5600,25.5600,6034,0.0000,1.0000
2018-06-20,25.6500,25.7145,25.6500,25.7100,25.7100,2248,0.0000,1.0000
2018-06-19,25.6500,25.7389,25.5596,25.5972,25.5972,12588,0.0000,1.0000
2018-06-18,25.5800,25.5907,25.5000,25.5900,25.5900,1555,0.0000,1.0000
2018-06-15,25.5000,25.5459,25.4000,25.5000,25.5000,11797,0.0000,1.0000
2018-06-14,25.4100,25.4700,25.3500,25.3973,25.3973,8600,0.0000,1.0000
2018-06-13,25.3800,25.4950,25.3800,25.4000,25.4000,6720,0.0000,1.0000
2018-06-12,25.4500,25.4950,25.3500,25.3500,25.3500,6300,0.0000,1.0000
2018-06-11,25.3300,25.4602,25.3010,25.4492,25.4492,10751,0.0000,1.0000
2018-06-08,25.2500,25.3500,25.2220,25.3000,25.3000,5005,0.0000,1.0000
2018-06-07,25.2400,25.2408,25.1801,25.1908,25.1908,2738,0.0000,1.0000
2018-06-06,25.3168,25.3168,25.1800,25.1983,25.1983,18917,0.0000,1.0000
