timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,43.5000,44.2500,43.3411,44.0500,44.0500,27339,0.0000,1.0000
2018-08-13,43.0000,43.4000,43.0000,43.3500,43.3500,21970,0.0000,1.0000
2018-08-10,42.4500,44.0250,42.4000,42.9000,42.9000,36170,0.0000,1.0000
2018-08-09,42.4500,42.7000,42.3000,42.4500,42.4500,27875,0.0000,1.0000
2018-08-08,42.3500,43.2500,42.0500,42.4000,42.4000,62032,0.0000,1.0000
2018-08-07,41.7500,42.2500,41.7000,42.2500,42.2500,30210,0.0000,1.0000
2018-08-06,41.6500,42.0500,41.4500,41.7000,41.7000,25388,0.0000,1.0000
2018-08-03,41.1500,41.5500,41.1500,41.4500,41.4500,33324,0.0000,1.0000
2018-08-02,40.4500,41.1500,40.0000,41.1000,41.1000,25487,0.0000,1.0000
2018-08-01,40.5000,41.2000,40.3250,40.5000,40.5000,19856,0.0000,1.0000
2018-07-31,39.8500,40.5000,39.7000,40.3000,40.3000,20268,0.0000,1.0000
2018-07-30,39.5500,39.9500,39.2500,39.2500,39.2500,10029,0.0000,1.0000
2018-07-27,40.0000,40.0000,39.4000,39.6500,39.6500,18983,0.0000,1.0000
2018-07-26,39.9500,40.0750,39.7000,40.0000,40.0000,17508,0.0000,1.0000
2018-07-25,39.9000,39.9500,39.5000,39.9000,39.9000,11728,0.0000,1.0000
2018-07-24,40.1500,40.2250,39.6501,39.9000,39.9000,11176,0.0000,1.0000
2018-07-23,39.9500,40.3500,39.8500,40.0000,40.0000,26872,0.0000,1.0000
2018-07-20,39.8500,40.0000,39.6500,39.9000,39.9000,16014,0.0000,1.0000
2018-07-19,39.1500,40.0000,39.1500,39.8000,39.8000,18509,0.0000,1.0000
2018-07-18,38.9500,39.1750,38.8500,39.1000,39.1000,13791,0.0000,1.0000
2018-07-17,38.9500,39.1500,38.9000,38.9500,38.9500,16027,0.0000,1.0000
2018-07-16,38.7500,39.0750,38.6000,38.9000,38.9000,13603,0.0000,1.0000
2018-07-13,39.4500,39.5000,38.7500,38.8000,38.8000,16436,0.0000,1.0000
2018-07-12,40.4000,40.4000,39.3500,39.4000,39.4000,10471,0.0000,1.0000
2018-07-11,40.5500,40.7500,40.0500,40.2500,40.2500,19253,0.0000,1.0000
2018-07-10,41.7000,41.7000,40.5000,40.7000,40.7000,22579,0.0000,1.0000
2018-07-09,41.1000,41.7950,41.0399,41.7500,41.7500,19841,0.0000,1.0000
2018-07-06,40.5000,41.0000,40.4500,41.0000,41.0000,17729,0.0000,1.0000
2018-07-05,40.3500,40.5500,40.1500,40.5500,40.5500,44178,0.0000,1.0000
2018-07-03,40.0000,40.7500,40.0000,40.5500,40.5500,11534,0.0000,1.0000
2018-07-02,39.4000,40.2000,39.2500,40.2000,40.2000,22568,0.0000,1.0000
2018-06-29,39.3500,39.7500,38.9500,39.5500,39.5500,26610,0.0000,1.0000
2018-06-28,39.4500,39.7500,39.1500,39.2500,39.2500,16200,0.0000,1.0000
2018-06-27,40.2500,40.2500,39.4000,39.4000,39.4000,38111,0.0000,1.0000
2018-06-26,40.0500,40.2500,39.6000,40.2000,40.2000,29916,0.0000,1.0000
2018-06-25,40.0000,40.0500,39.5000,40.0000,40.0000,30180,0.0000,1.0000
2018-06-22,40.0500,40.2500,39.5000,39.9500,39.9500,66196,0.0000,1.0000
2018-06-21,40.0000,40.1000,39.6500,39.9000,39.9000,18365,0.0000,1.0000
2018-06-20,39.8000,40.0000,39.6516,40.0000,40.0000,16004,0.0000,1.0000
2018-06-19,39.1500,39.8000,39.1500,39.7500,39.7500,11358,0.0000,1.0000
2018-06-18,39.2500,39.4000,38.3866,39.3500,39.3500,19055,0.0000,1.0000
2018-06-15,39.0000,39.4721,38.6000,39.2500,39.2500,26345,0.0000,1.0000
2018-06-14,39.1000,39.1000,38.5500,38.9500,38.9500,10161,0.0000,1.0000
2018-06-13,38.6000,39.1250,38.6000,38.9500,38.9500,19208,0.0000,1.0000
2018-06-12,39.2000,39.2000,38.5599,38.6500,38.6500,20069,0.0000,1.0000
2018-06-11,39.7500,39.7500,38.8500,39.1000,39.1000,24560,0.0000,1.0000
2018-06-08,39.9500,40.2000,39.8500,39.8500,39.8500,27570,0.0000,1.0000
2018-06-07,40.3000,40.4500,40.1500,40.2000,40.2000,22759,0.0000,1.0000
2018-06-06,40.4500,40.7000,40.1000,40.3500,40.3500,19848,0.2400,1.0000
2018-06-05,39.9500,40.9000,39.8600,40.4500,40.2108,44316,0.0000,1.0000
2018-06-04,40.0500,40.5450,40.0000,40.3000,40.0617,28192,0.0000,1.0000
2018-06-01,39.8500,40.0750,39.8500,40.0000,39.7635,19083,0.0000,1.0000
2018-05-31,39.7500,40.0500,39.5500,39.7000,39.4653,23847,0.0000,1.0000
2018-05-30,39.4500,40.0000,38.4000,39.8500,39.6144,25164,0.0000,1.0000
2018-05-29,39.8000,40.0000,38.8000,39.3500,39.1173,19750,0.0000,1.0000
2018-05-25,39.8000,39.9500,39.6000,39.7000,39.4653,7534,0.0000,1.0000
2018-05-24,38.9500,39.8000,38.8000,39.6500,39.4156,15411,0.0000,1.0000
2018-05-23,38.7500,38.9000,38.6000,38.9000,38.6700,26631,0.0000,1.0000
2018-05-22,38.9500,39.2000,38.6500,38.6500,38.4215,13886,0.0000,1.0000
2018-05-21,38.5500,39.2500,38.5500,39.1000,38.8688,39560,0.0000,1.0000
2018-05-18,38.9000,38.9700,38.7000,38.8500,38.6203,13497,0.0000,1.0000
2018-05-17,38.8000,38.9500,38.6050,38.9500,38.7197,16537,0.0000,1.0000
2018-05-16,37.2000,39.1500,37.1500,38.9000,38.6700,26472,0.0000,1.0000
2018-05-15,36.6500,37.1000,36.6500,37.0000,36.7812,25303,0.0000,1.0000
2018-05-14,38.0000,38.0000,36.6500,36.8500,36.6321,22719,0.0000,1.0000
2018-05-11,38.3000,38.3000,37.5500,37.6500,37.4274,16637,0.0000,1.0000
2018-05-10,37.8500,38.3500,37.7000,38.1500,37.9244,13888,0.0000,1.0000
2018-05-09,37.3500,38.0500,37.3500,37.9500,37.7256,21320,0.0000,1.0000
2018-05-08,36.7500,37.4500,36.7500,37.3000,37.0795,24541,0.0000,1.0000
2018-05-07,36.3000,36.9000,36.2500,36.9000,36.6818,32040,0.0000,1.0000
2018-05-04,36.0500,36.2000,35.9500,36.2000,35.9860,40701,0.0000,1.0000
2018-05-03,35.6000,36.1000,35.4000,36.0000,35.7871,17202,0.0000,1.0000
2018-05-02,35.7500,36.0500,35.7000,36.0000,35.7871,11556,0.0000,1.0000
2018-05-01,35.2000,35.6500,35.1000,35.6500,35.4392,10438,0.0000,1.0000
2018-04-30,35.4000,35.4000,35.1000,35.2000,34.9919,20126,0.0000,1.0000
2018-04-27,35.3500,35.3500,35.1500,35.1500,34.9422,4412,0.0000,1.0000
2018-04-26,35.3000,35.4500,35.1000,35.2500,35.0416,11717,0.0000,1.0000
2018-04-25,35.8500,35.9000,35.3500,35.4000,35.1907,14752,0.0000,1.0000
2018-04-24,35.7500,35.9500,35.4500,35.7000,35.4889,9334,0.0000,1.0000
2018-04-23,35.5550,35.8000,35.5500,35.7000,35.4889,2803,0.0000,1.0000
2018-04-20,35.5500,35.6750,35.5000,35.6500,35.4392,6766,0.0000,1.0000
2018-04-19,35.7500,36.0200,35.6500,35.6500,35.4392,5331,0.0000,1.0000
2018-04-18,35.8000,35.9500,35.6500,35.6500,35.4392,10568,0.0000,1.0000
2018-04-17,35.8000,35.8000,35.5500,35.8000,35.5883,10532,0.0000,1.0000
2018-04-16,35.8000,35.8500,35.6000,35.7500,35.5386,5445,0.0000,1.0000
2018-04-13,36.0500,36.0500,35.6000,35.6000,35.3895,4093,0.0000,1.0000
2018-04-12,35.8000,36.1000,35.8000,35.9500,35.7374,9382,0.0000,1.0000
2018-04-11,35.1000,36.0000,34.8630,35.8500,35.6380,19147,0.0000,1.0000
2018-04-10,35.0000,35.1500,34.7913,35.0000,34.7931,11228,0.0000,1.0000
2018-04-09,35.1500,35.1500,34.7500,34.7500,34.5445,4800,0.0000,1.0000
2018-04-06,34.9500,34.9500,34.7000,34.7500,34.5445,14426,0.0000,1.0000
2018-04-05,34.4500,34.9500,34.4500,34.9000,34.6936,6058,0.0000,1.0000
2018-04-04,34.1000,34.7000,34.1000,34.5500,34.3457,5719,0.0000,1.0000
2018-04-03,34.3000,34.4000,33.5500,34.0500,33.8487,13343,0.0000,1.0000
2018-04-02,34.5500,34.5500,33.6000,34.0500,33.8487,8359,0.0000,1.0000
2018-03-29,34.5000,34.8500,34.5000,34.5500,34.3457,13542,0.0000,1.0000
2018-03-28,34.1000,34.4500,34.0500,34.4000,34.1966,8711,0.0000,1.0000
2018-03-27,34.6000,34.7500,33.8000,33.9500,33.7493,9117,0.0000,1.0000
2018-03-26,34.5500,34.8500,34.3500,34.7500,34.5445,12605,0.0000,1.0000
2018-03-23,35.3000,35.3000,34.0000,34.0500,33.8487,15937,0.0000,1.0000
2018-03-22,35.7000,36.0500,35.3000,35.3000,35.0913,7372,0.0000,1.0000
2018-03-21,35.7000,36.0500,35.4000,36.0000,35.7871,5950,0.0000,1.0000
2018-03-20,35.8500,35.9944,35.4500,35.7000,35.4889,11393,0.0000,1.0000
2018-03-19,36.0000,36.0500,35.8500,36.0500,35.8368,14823,0.0000,1.0000
2018-03-16,35.5500,36.0500,35.5500,36.0500,35.8368,34472,0.0000,1.0000
2018-03-15,36.0000,36.0000,35.3000,35.6000,35.3895,10351,0.0000,1.0000
2018-03-14,36.0000,36.0500,35.8000,35.9500,35.7374,9456,0.0000,1.0000
2018-03-13,36.0000,36.0500,35.7500,35.9500,35.7374,10992,0.0000,1.0000
2018-03-12,35.6000,36.0000,35.6000,36.0000,35.7871,7399,0.0000,1.0000
2018-03-09,36.0000,36.0500,35.6000,35.6500,35.4392,12960,0.0000,1.0000
2018-03-08,36.0500,36.0500,35.4500,35.6000,35.3895,12377,0.0000,1.0000
2018-03-07,35.6500,36.0500,35.5000,36.0500,35.8368,15762,0.2400,1.0000
2018-03-06,35.1500,35.9000,34.9000,35.8500,35.4023,9072,0.0000,1.0000
2018-03-05,34.6000,35.1500,34.4500,35.0500,34.6123,24623,0.0000,1.0000
2018-03-02,33.6000,34.4500,33.6000,34.4500,34.0198,58436,0.0000,1.0000
2018-03-01,33.3000,33.7000,33.2500,33.5000,33.0817,17942,0.0000,1.0000
2018-02-28,34.2000,34.2500,33.1500,33.2500,32.8348,14173,0.0000,1.0000
2018-02-27,34.5500,35.0950,34.0000,34.0500,33.6248,5222,0.0000,1.0000
2018-02-26,33.9000,34.4500,33.9000,34.4000,33.9704,14804,0.0000,1.0000
2018-02-23,33.3500,33.9500,33.3000,33.8500,33.4273,9117,0.0000,1.0000
2018-02-22,33.4500,34.0000,33.2500,33.5000,33.0817,9171,0.0000,1.0000
2018-02-21,33.7500,34.3000,33.5500,33.5500,33.1311,10751,0.0000,1.0000
2018-02-20,33.8000,33.8000,33.2000,33.7000,33.2792,9009,0.0000,1.0000
2018-02-16,33.4500,33.8000,33.4500,33.7500,33.3286,8535,0.0000,1.0000
2018-02-15,33.7000,33.8000,33.3500,33.6000,33.1804,7300,0.0000,1.0000
2018-02-14,33.7000,33.9000,33.2500,33.5000,33.0817,19080,0.0000,1.0000
2018-02-13,34.4500,34.4500,33.6500,34.0500,33.6248,15450,0.0000,1.0000
