timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,11.5900,12.0000,11.4830,11.9500,11.9500,22890,0.0000,1.0000
2018-08-13,12.1400,12.2200,11.4600,11.4900,11.4900,50115,0.0000,1.0000
2018-08-10,12.1200,12.3000,12.0000,12.0900,12.0900,14119,0.0000,1.0000
2018-08-09,12.2000,12.2500,12.0200,12.1600,12.1600,24251,0.0000,1.0000
2018-08-08,12.0400,12.5000,12.0001,12.1500,12.1500,41934,0.0000,1.0000
2018-08-07,11.8600,12.5609,11.8600,12.0900,12.0900,14762,0.0000,1.0000
2018-08-06,11.3500,13.0000,11.2000,12.1600,12.1600,201676,0.0000,1.0000
2018-08-03,11.0100,11.6000,10.8314,11.2100,11.2100,61701,0.0000,1.0000
2018-08-02,11.1400,11.1400,10.6300,11.0700,11.0700,17451,0.0000,1.0000
2018-08-01,11.0500,11.1600,10.8600,11.0600,11.0600,18865,0.0000,1.0000
2018-07-31,11.2750,11.3651,10.8400,11.0500,11.0500,23162,0.0000,1.0000
2018-07-30,11.7600,11.8300,11.1897,11.3200,11.3200,28381,0.0000,1.0000
2018-07-27,12.3200,12.3200,11.5000,11.8200,11.8200,35797,0.0000,1.0000
2018-07-26,12.1500,12.3400,11.6500,12.2500,12.2500,55564,0.0000,1.0000
2018-07-25,12.4500,12.4720,12.0000,12.1600,12.1600,57479,0.0000,1.0000
2018-07-24,11.9100,12.6000,11.7800,12.3400,12.3400,251274,0.0000,1.0000
2018-07-23,11.1900,12.4500,10.6000,11.7400,11.7400,282289,0.0000,1.0000
2018-07-20,11.0200,11.4600,10.3818,10.8200,10.8200,87649,0.0000,1.0000
2018-07-19,11.1400,11.5173,11.0000,11.0000,11.0000,94054,0.0000,1.0000
2018-07-18,10.4900,11.5200,10.4100,11.1400,11.1400,69392,0.0000,1.0000
2018-07-17,10.9900,11.6200,10.2100,10.5300,10.5300,172944,0.0000,1.0000
2018-07-16,11.7000,11.9000,10.6000,11.0500,11.0500,163026,0.0000,1.0000
2018-07-13,12.0400,12.0900,11.2000,11.7500,11.7500,324361,0.0000,1.0000
2018-07-12,12.7500,13.0000,11.7600,12.0100,12.0100,234541,0.0000,1.0000
2018-07-11,12.2100,13.0000,12.0750,12.7000,12.7000,78479,0.0000,1.0000
2018-07-10,13.2400,13.2773,12.0500,12.3200,12.3200,95264,0.0000,1.0000
2018-07-09,13.4000,13.4000,13.1310,13.2100,13.2100,35369,0.0000,1.0000
2018-07-06,13.2300,13.5100,13.0500,13.2500,13.2500,27046,0.0000,1.0000
2018-07-05,12.7200,13.4700,12.3110,13.4000,13.4000,236660,0.0000,1.0000
2018-07-03,11.7500,12.5000,11.7201,11.9200,11.9200,81534,0.0000,1.0000
2018-07-02,12.4600,12.8800,11.7100,11.7100,11.7100,102817,0.0000,1.0000
2018-06-29,13.4700,13.4700,12.2100,12.6000,12.6000,167165,0.0000,1.0000
2018-06-28,14.9900,15.1200,13.4050,13.4800,13.4800,403480,0.0000,1.0000
2018-06-27,16.0000,16.2300,14.7500,15.0000,15.0000,2484691,0.0000,1.0000
