timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,17.8900,18.2400,17.8900,18.2300,18.2300,456605,0.0000,1.0000
2018-08-13,17.8300,17.9400,17.7300,17.8900,17.8900,285239,0.0000,1.0000
2018-08-10,17.7700,17.8900,17.7000,17.8200,17.8200,290311,0.0000,1.0000
2018-08-09,17.9400,18.0100,17.8300,17.8600,17.8600,248428,0.0000,1.0000
2018-08-08,17.7900,17.9500,17.6900,17.9500,17.9500,359863,0.0000,1.0000
2018-08-07,17.8800,17.8800,17.7200,17.7800,17.7800,291033,0.0000,1.0000
2018-08-06,17.9400,17.9400,17.7750,17.8300,17.8300,282485,0.0000,1.0000
2018-08-03,18.1200,18.1900,17.8700,17.9300,17.9300,312880,0.0000,1.0000
2018-08-02,17.9900,18.1200,17.8300,18.1000,18.1000,432971,0.0000,1.0000
2018-08-01,17.9000,18.0400,17.8300,18.0400,18.0400,338919,0.1700,1.0000
2018-07-31,18.0800,18.0800,17.8700,18.0200,17.8518,663863,0.0000,1.0000
2018-07-30,18.0600,18.1600,17.9700,17.9700,17.8022,296879,0.0000,1.0000
2018-07-27,18.2500,18.3000,18.0000,18.0500,17.8815,262579,0.0000,1.0000
2018-07-26,18.1000,18.3500,18.1000,18.2400,18.0697,395080,0.0000,1.0000
2018-07-25,18.1900,18.1900,17.9100,18.0500,17.8815,484002,0.0000,1.0000
2018-07-24,18.2000,18.2000,17.9000,18.1700,18.0004,503785,0.0000,1.0000
2018-07-23,17.9200,18.1500,17.8300,18.1400,17.9707,426017,0.0000,1.0000
2018-07-20,17.8200,18.0100,17.7600,17.9100,17.7428,330568,0.0000,1.0000
2018-07-19,17.6700,17.8200,17.5600,17.7900,17.6239,416310,0.0000,1.0000
2018-07-18,17.6900,17.7201,17.5100,17.6600,17.4951,423703,0.0000,1.0000
2018-07-17,17.7300,17.8000,17.6400,17.6400,17.4753,321967,0.0000,1.0000
2018-07-16,17.6800,17.8000,17.6300,17.6900,17.5249,540258,0.0000,1.0000
2018-07-13,17.7900,17.8200,17.6500,17.6700,17.5050,296478,0.0000,1.0000
2018-07-12,17.9500,17.9500,17.6400,17.7900,17.6239,406780,0.0000,1.0000
2018-07-11,17.8100,17.9700,17.8100,17.8800,17.7131,196449,0.0000,1.0000
