timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,37.0100,37.8400,36.9200,37.0500,37.0500,32947,0.0000,1.0000
2018-08-13,37.8700,37.8700,37.0500,37.1100,37.1100,4283,0.0000,1.0000
2018-08-10,37.3900,37.4500,37.2500,37.4500,37.4500,1131,0.0000,1.0000
2018-08-09,37.5500,37.9600,37.5500,37.7200,37.7200,2340,0.0000,1.0000
2018-08-08,38.8760,38.8760,37.3600,37.4900,37.4900,2222,0.0000,1.0000
2018-08-07,37.7880,38.1000,37.1550,37.4000,37.4000,4447,0.0000,1.0000
2018-08-06,37.1000,38.1000,37.0000,38.1000,38.1000,1557,0.0000,1.0000
2018-08-03,39.0000,39.0000,37.2891,38.1000,38.1000,10414,0.0000,1.0000
2018-08-02,38.7000,39.9700,38.2500,39.0000,39.0000,15006,0.0000,1.0000
2018-08-01,38.0800,38.5000,37.5000,38.5000,38.5000,6804,0.0000,1.0000
2018-07-31,37.4400,39.4500,37.1100,37.6000,37.6000,6482,0.0000,1.0000
2018-07-30,36.0700,37.0000,36.0700,37.0000,37.0000,5760,0.0000,1.0000
2018-07-27,36.2400,36.3500,35.4132,35.8100,35.8100,9763,0.0000,1.0000
2018-07-26,35.8700,36.2500,35.5924,36.2500,36.2500,5583,0.0000,1.0000
2018-07-25,35.9400,36.1700,34.8255,35.6000,35.6000,5585,0.0000,1.0000
2018-07-24,35.9999,36.2200,34.7000,35.8000,35.8000,4475,0.0000,1.0000
2018-07-23,34.3310,35.0000,34.3310,35.0000,35.0000,4132,0.0000,1.0000
2018-07-20,34.5500,35.0800,34.0000,34.6900,34.6900,3580,0.0000,1.0000
2018-07-19,34.8000,35.3500,34.5100,34.5100,34.5100,2042,0.0000,1.0000
2018-07-18,35.0000,35.0000,34.3301,34.7800,34.7800,2523,0.0000,1.0000
2018-07-17,35.4700,35.4700,34.7200,34.9000,34.9000,1471,0.0000,1.0000
2018-07-16,34.8600,35.0000,34.1338,34.8800,34.8800,3664,0.0000,1.0000
2018-07-13,35.9700,35.9700,34.5200,34.6800,34.6800,4215,0.0000,1.0000
2018-07-12,35.9800,35.9800,35.9800,35.9800,35.9800,756,0.2200,1.0000
2018-07-11,36.0500,36.2500,35.5600,35.5600,35.3439,3777,0.0000,1.0000
2018-07-10,36.4200,36.4500,36.0100,36.0200,35.8011,2614,0.0000,1.0000
2018-07-09,36.6100,36.6100,36.2100,36.2900,36.0695,20304,0.0000,1.0000
2018-07-06,36.3800,36.7300,36.3250,36.3600,36.1390,2398,0.0000,1.0000
2018-07-05,36.8000,36.8900,36.0830,36.3800,36.1589,5152,0.0000,1.0000
2018-07-03,35.8200,36.8900,35.8200,36.5900,36.3676,1617,0.0000,1.0000
2018-07-02,35.1600,36.2500,34.2700,35.5600,35.3439,8467,0.0000,1.0000
2018-06-29,35.5300,36.2500,35.0046,36.0200,35.8011,9416,0.0000,1.0000
2018-06-28,35.6000,36.2500,34.7500,36.1000,35.8806,5175,0.0000,1.0000
2018-06-27,36.8100,36.8100,35.6700,35.6700,35.4532,10111,0.0000,1.0000
2018-06-26,37.0000,37.5900,36.0200,36.9900,36.7652,13313,0.0000,1.0000
2018-06-25,37.4600,38.5500,36.8100,37.7400,37.5106,35730,0.0000,1.0000
2018-06-22,35.0000,38.5000,35.0000,38.3600,38.1269,63378,0.0000,1.0000
2018-06-21,36.6100,36.8900,35.2500,35.5500,35.3340,24096,0.0000,1.0000
2018-06-20,37.2600,37.2600,36.3100,36.8200,36.5962,17833,0.0000,1.0000
2018-06-19,36.6800,37.7500,36.1000,37.0000,36.7751,59241,0.0000,1.0000
2018-06-18,34.5500,37.4500,34.5100,37.0800,36.8547,32409,0.0000,1.0000
2018-06-15,32.2400,35.0000,31.9797,34.9900,34.7774,25369,0.0000,1.0000
2018-06-14,31.8400,32.9400,31.8400,32.5200,32.3224,21955,0.0000,1.0000
2018-06-13,31.3800,32.1300,31.3800,32.1300,31.9347,8726,0.0000,1.0000
2018-06-12,30.6400,30.9000,30.2300,30.8900,30.7023,2897,0.0000,1.0000
2018-06-11,31.4800,31.6900,30.5000,30.8000,30.6128,26440,0.0000,1.0000
2018-06-08,32.3900,32.3900,31.7200,31.9300,31.7360,7617,0.0000,1.0000
2018-06-07,31.1400,32.6500,31.0504,32.3200,32.1236,13287,0.0000,1.0000
2018-06-06,31.5000,32.8204,31.5000,31.8200,31.6266,9283,0.0000,1.0000
2018-06-05,30.1635,31.7500,30.0936,31.6500,31.4577,7229,0.0000,1.0000
2018-06-04,31.0200,32.0100,31.0200,31.3200,31.1297,5351,0.0000,1.0000
2018-06-01,31.5000,31.8910,30.9973,31.5000,31.3086,11630,0.0000,1.0000
2018-05-31,30.9600,31.8500,29.5000,31.2200,31.0303,9743,0.0000,1.0000
2018-05-30,30.5000,31.7200,30.4900,30.7800,30.5929,10112,0.0000,1.0000
2018-05-29,31.5400,31.5500,30.0452,30.6600,30.4737,9788,0.0000,1.0000
2018-05-25,31.0500,31.7300,31.0500,31.7100,31.5173,4305,0.0000,1.0000
2018-05-24,29.6000,31.6000,29.6000,31.1000,30.9110,5321,0.0000,1.0000
2018-05-23,30.3100,31.0900,30.3100,30.8000,30.6128,2939,0.0000,1.0000
2018-05-22,31.3800,31.5949,30.6700,30.6700,30.4836,5034,0.0000,1.0000
2018-05-21,31.0000,31.5500,31.0000,31.5400,31.3483,3665,0.0000,1.0000
