timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.7800,1.7800,1.7400,1.7800,1.7800,17043,0.0000,1.0000
2018-08-13,1.7500,1.8446,1.7100,1.7100,1.7100,17673,0.0000,1.0000
2018-08-10,1.7800,1.7800,1.7600,1.7600,1.7600,3866,0.0000,1.0000
2018-08-09,1.7000,1.8000,1.6900,1.8000,1.8000,67235,0.0000,1.0000
2018-08-08,1.6700,1.9000,1.6700,1.6800,1.6800,183183,0.0000,1.0000
2018-08-07,1.7200,1.7200,1.6200,1.6600,1.6600,42651,0.0000,1.0000
2018-08-06,1.6200,1.8544,1.5800,1.6300,1.6300,70721,0.0000,1.0000
2018-08-03,1.5200,1.7200,1.4736,1.6300,1.6300,103051,0.0000,1.0000
2018-08-02,1.6800,1.9800,1.4600,1.6600,1.6600,218818,0.0000,1.0000
2018-08-01,1.6500,1.7900,1.6500,1.6700,1.6700,86858,0.0000,1.0000
2018-07-31,1.6900,1.8100,1.6500,1.6600,1.6600,91464,0.0000,1.0000
2018-07-30,1.9600,1.9700,1.6200,1.6600,1.6600,130939,0.0000,1.0000
2018-07-27,2.1300,2.1300,1.8600,1.8600,1.8600,90150,0.0000,1.0000
2018-07-26,1.9700,2.1500,1.9600,1.9700,1.9700,35125,0.0000,1.0000
2018-07-25,1.9300,2.2700,1.8500,1.9800,1.9800,118823,0.0000,1.0000
2018-07-24,1.9800,2.0800,1.8900,1.9300,1.9300,95858,0.0000,1.0000
2018-07-23,1.9000,2.1000,1.8800,1.9000,1.9000,147084,0.0000,1.0000
2018-07-20,1.8600,2.0001,1.8600,1.9100,1.9100,55230,0.0000,1.0000
2018-07-19,1.9500,1.9903,1.8500,1.8600,1.8600,87723,0.0000,1.0000
2018-07-18,2.0800,2.1000,1.8800,1.9700,1.9700,171261,0.0000,1.0000
2018-07-17,2.0600,2.1900,2.0100,2.0100,2.0100,70398,0.0000,1.0000
2018-07-16,2.2300,2.2300,2.0100,2.0100,2.0100,57159,0.0000,1.0000
2018-07-13,2.2100,2.2400,2.2000,2.2000,2.2000,19761,0.0000,1.0000
2018-07-12,2.2200,2.2300,2.2000,2.2000,2.2000,18900,0.0000,1.0000
2018-07-11,2.2000,2.2900,2.2000,2.2300,2.2300,46325,0.0000,1.0000
2018-07-10,2.2600,2.4500,2.1900,2.1900,2.1900,89483,0.0000,1.0000
2018-07-09,2.1600,2.2200,2.1000,2.2000,2.2000,37951,0.0000,1.0000
2018-07-06,2.1500,2.2200,2.1000,2.1300,2.1300,70847,0.0000,1.0000
