timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.4800,1.6000,1.4609,1.5800,1.5800,1620637,0.0000,1.0000
2018-08-13,1.5200,1.5200,1.4000,1.4500,1.4500,476569,0.0000,1.0000
2018-08-10,1.5000,1.5100,1.3900,1.5100,1.5100,508589,0.0000,1.0000
2018-08-09,1.3900,1.5300,1.3500,1.4900,1.4900,1165384,0.0000,1.0000
2018-08-08,1.3200,1.4500,1.3100,1.3900,1.3900,946641,0.0000,1.0000
2018-08-07,1.2500,1.3201,1.2300,1.3200,1.3200,769395,0.0000,1.0000
2018-08-06,1.1800,1.2800,1.1800,1.2450,1.2450,625008,0.0000,1.0000
2018-08-03,1.2400,1.2600,1.1700,1.1800,1.1800,440418,0.0000,1.0000
2018-08-02,1.2500,1.2600,1.2000,1.2500,1.2500,375370,0.0000,1.0000
2018-08-01,1.2300,1.2900,1.2200,1.2500,1.2500,281478,0.0000,1.0000
2018-07-31,1.2800,1.2800,1.2100,1.2400,1.2400,556397,0.0000,1.0000
2018-07-30,1.2900,1.3200,1.2600,1.2600,1.2600,567096,0.0000,1.0000
2018-07-27,1.3600,1.3648,1.2900,1.3100,1.3100,442506,0.0000,1.0000
2018-07-26,1.3600,1.4000,1.3200,1.3500,1.3500,617187,0.0000,1.0000
2018-07-25,1.3500,1.4200,1.3100,1.3700,1.3700,597802,0.0000,1.0000
2018-07-24,1.3600,1.4000,1.2900,1.3500,1.3500,573197,0.0000,1.0000
2018-07-23,1.3000,1.3800,1.2800,1.3400,1.3400,482369,0.0000,1.0000
2018-07-20,1.2700,1.3200,1.2700,1.3200,1.3200,483829,0.0000,1.0000
2018-07-19,1.2900,1.3000,1.2500,1.2800,1.2800,367859,0.0000,1.0000
2018-07-18,1.3000,1.3100,1.2600,1.3000,1.3000,548906,0.0000,1.0000
2018-07-17,1.3500,1.3700,1.2700,1.3000,1.3000,667218,0.0000,1.0000
2018-07-16,1.3300,1.3600,1.2600,1.3400,1.3400,541000,0.0000,1.0000
2018-07-13,1.3100,1.3100,1.2800,1.3000,1.3000,469781,0.0000,1.0000
2018-07-12,1.3700,1.3700,1.2700,1.3000,1.3000,522401,0.0000,1.0000
2018-07-11,1.3000,1.3600,1.2500,1.3600,1.3600,986937,0.0000,1.0000
