timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.9000,1.9000,1.7850,1.8490,1.8490,740742,0.0000,1.0000
2018-08-13,1.9500,1.9500,1.9000,1.9000,1.9000,36200,0.0000,1.0000
2018-08-10,1.9700,1.9700,1.8864,1.9500,1.9500,22800,0.0000,1.0000
2018-08-08,1.9500,1.9500,1.9400,1.9400,1.9400,6100,0.0000,1.0000
2018-08-07,2.0000,2.0000,1.9500,1.9500,1.9500,136500,0.0000,1.0000
2018-08-06,1.9500,2.0000,1.9400,1.9800,1.9800,546893,0.0000,1.0000
2018-08-03,1.9500,1.9800,1.9500,1.9700,1.9700,175415,0.0000,1.0000
2018-07-31,1.7500,1.9800,1.7500,1.9800,1.9800,57586,0.0000,1.0000
2018-07-26,1.7300,1.7500,1.6700,1.7500,1.7500,79096,0.0000,1.0000
2018-07-25,1.7600,1.7800,1.7500,1.7700,1.7700,7200,0.0000,1.0000
2018-07-24,1.9800,1.9800,1.9800,1.9800,1.9800,400,0.0000,1.0000
2018-07-23,1.6500,1.7900,1.6500,1.6500,1.6500,414865,0.0000,1.0000
2018-07-20,1.6307,1.6600,1.6000,1.6307,1.6307,2100,0.0000,1.0000
2018-07-19,1.6500,1.6500,1.6500,1.6500,1.6500,226225,0.0000,1.0000
2018-07-18,1.6599,1.6599,1.6599,1.6599,1.6599,2500,0.0000,1.0000
2018-07-09,1.6000,1.6000,1.6000,1.6000,1.6000,150,0.0000,1.0000
2018-06-29,1.6000,1.6000,1.5930,1.6000,1.6000,7800,0.0000,1.0000
2018-06-25,1.5100,1.8000,1.5100,1.8000,1.8000,390,0.0000,1.0000
2018-06-18,1.6700,1.6700,1.6700,1.6700,1.6700,73800,0.0000,1.0000
2018-06-15,1.6900,1.6900,1.6900,1.6900,1.6900,190,0.0000,1.0000
2018-06-13,1.7107,1.7107,1.7107,1.7107,1.7107,2256,0.0000,1.0000
2018-06-12,1.6500,1.7000,1.6500,1.7000,1.7000,429537,0.0000,1.0000
