timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-13,1.3174,1.3174,1.3174,1.3174,1.3174,0,0.0000,1.0000
2018-08-10,1.3200,1.3200,1.3174,1.3174,1.3174,7600,0.0000,1.0000
2018-08-09,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-08-08,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-08-07,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-08-06,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-08-03,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-08-02,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-08-01,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-07-31,1.3000,1.3000,1.3000,1.3000,1.3000,0,0.0000,1.0000
2018-07-30,1.2800,1.3000,1.2800,1.3000,1.3000,25000,0.0000,1.0000
2018-07-27,1.3200,1.3200,1.3200,1.3200,1.3200,0,0.0000,1.0000
2018-07-26,1.3200,1.3200,1.3200,1.3200,1.3200,1400,0.0000,1.0000
2018-07-25,1.3200,1.3200,1.3200,1.3200,1.3200,0,0.0000,1.0000
2018-07-24,1.3200,1.3200,1.3200,1.3200,1.3200,0,0.0000,1.0000
2018-07-23,1.3200,1.3200,1.3200,1.3200,1.3200,50,0.0000,1.0000
2018-07-20,1.3127,1.3200,1.3127,1.3200,1.3200,2200,0.0000,1.0000
2018-07-19,1.3100,1.3100,1.3100,1.3100,1.3100,5000,0.0000,1.0000
2018-07-18,1.2800,1.2800,1.2800,1.2800,1.2800,12500,0.0000,1.0000
2018-07-17,1.3200,1.3200,1.3200,1.3200,1.3200,0,0.0000,1.0000
2018-07-16,1.3200,1.3200,1.3200,1.3200,1.3200,300,0.0000,1.0000
2018-07-13,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-07-12,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-07-11,1.2800,1.2800,1.2800,1.2800,1.2800,14550,0.0000,1.0000
2018-07-10,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-07-09,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-07-06,1.2800,1.2800,1.2800,1.2800,1.2800,56545,0.0000,1.0000
2018-07-05,1.2800,1.2800,1.2800,1.2800,1.2800,110000,0.0000,1.0000
2018-07-03,1.2800,1.2800,1.2800,1.2800,1.2800,12500,0.0000,1.0000
2018-07-02,1.2800,1.2800,1.2800,1.2800,1.2800,1250,0.0000,1.0000
2018-06-29,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-28,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-27,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-26,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-25,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-22,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-21,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-20,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-19,1.2800,1.2800,1.2800,1.2800,1.2800,0,0.0000,1.0000
2018-06-18,1.2800,1.2800,1.2800,1.2800,1.2800,25300,0.0000,1.0000
2018-06-15,1.2800,1.2800,1.2800,1.2800,1.2800,175000,0.0000,1.0000
2018-06-14,1.2800,1.2800,1.2800,1.2800,1.2800,175000,0.0000,1.0000
2018-06-13,1.2800,1.2800,1.2800,1.2800,1.2800,74000,0.0000,1.0000
2018-06-12,1.2800,1.2800,1.2800,1.2800,1.2800,50000,0.0000,1.0000
2018-06-11,1.2900,1.2900,1.2900,1.2900,1.2900,0,0.0000,1.0000
2018-06-08,1.3500,1.3500,1.2900,1.2900,1.2900,200,0.0000,1.0000
2018-06-07,1.3500,1.3500,1.2800,1.2800,1.2800,252800,0.0000,1.0000
2018-06-06,1.3500,1.3500,1.3500,1.3500,1.3500,200,0.0000,1.0000
2018-06-05,1.3000,1.3500,1.3000,1.3000,1.3000,555956,0.0000,1.0000
2018-06-04,1.4000,1.4000,1.4000,1.4000,1.4000,100,0.0000,1.0000
2018-06-01,1.3000,1.3000,1.2100,1.3000,1.3000,610300,0.0000,1.0000
2018-05-31,1.3000,1.3300,1.3000,1.3000,1.3000,755800,0.0000,1.0000
2018-05-30,1.2600,1.3200,1.2600,1.3200,1.3200,576200,0.0000,1.0000
2018-05-29,1.1000,1.2500,1.1000,1.2500,1.2500,748400,0.0000,1.0000
