timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.3800,3.3800,3.3800,3.3800,3.3800,5,0.0000,1.0000
2018-08-13,3.3800,3.4000,3.3800,3.3800,3.3800,3407,0.0000,1.0000
2018-08-10,3.4000,3.4000,3.3800,3.3800,3.3800,10234,0.0000,1.0000
2018-08-09,3.5000,3.5000,3.3800,3.4100,3.4100,7117,0.0000,1.0000
2018-08-08,3.4100,3.9000,3.3510,3.4500,3.4500,168372,0.0000,1.0000
2018-08-07,3.2300,3.2300,3.2300,3.2300,3.2300,1974,0.0000,1.0000
2018-08-06,3.2200,3.2412,3.2001,3.2244,3.2244,2373,0.0000,1.0000
2018-08-03,3.2292,3.2500,3.2000,3.2000,3.2000,26913,0.0000,1.0000
2018-08-02,3.1777,3.1777,3.1668,3.1668,3.1668,1200,0.0000,1.0000
2018-08-01,3.2200,3.2227,3.1500,3.1527,3.1527,9530,0.0000,1.0000
2018-07-31,3.1800,3.1800,3.1800,3.1800,3.1800,364,0.0000,1.0000
2018-07-30,3.1682,3.1990,3.1682,3.1990,3.1990,1918,0.0000,1.0000
2018-07-27,3.1798,3.2100,3.1600,3.2100,3.2100,5438,0.0000,1.0000
2018-07-26,3.2500,3.2600,3.1800,3.1800,3.1800,17542,0.0000,1.0000
2018-07-25,3.2900,3.2900,3.1800,3.2400,3.2400,23564,0.0000,1.0000
2018-07-24,3.2200,3.3000,3.2140,3.2400,3.2400,26559,0.0000,1.0000
2018-07-23,3.0700,3.2100,3.0500,3.1577,3.1577,11122,0.0000,1.0000
2018-07-20,3.1400,3.1400,3.1400,3.1400,3.1400,1,0.0000,1.0000
2018-07-19,3.0500,3.1500,3.0500,3.1400,3.1400,10456,0.0000,1.0000
2018-07-18,3.0001,3.0425,2.9800,3.0000,3.0000,9118,0.0000,1.0000
2018-07-17,2.8100,2.9180,2.8100,2.8564,2.8564,11309,0.0000,1.0000
2018-07-16,3.0000,3.0085,2.8310,2.8310,2.8310,16974,0.0000,1.0000
2018-07-13,3.0060,3.0060,3.0000,3.0000,3.0000,1026,0.0000,1.0000
2018-07-12,2.9600,2.9600,2.9600,2.9600,2.9600,0,0.0000,1.0000
2018-07-11,2.9601,2.9601,2.9600,2.9600,2.9600,1075,0.0000,1.0000
2018-07-10,3.0000,3.0300,2.9500,2.9500,2.9500,4127,0.0000,1.0000
2018-07-09,3.0400,3.0400,2.9500,2.9500,2.9500,2084,0.0000,1.0000
2018-07-06,3.0060,3.0400,3.0000,3.0400,3.0400,2157,0.0000,1.0000
2018-07-05,2.9900,2.9900,2.9900,2.9900,2.9900,36,0.0000,1.0000
2018-07-03,2.9900,2.9900,2.9900,2.9900,2.9900,1190,0.0000,1.0000
2018-07-02,3.0000,3.0950,2.9500,2.9500,2.9500,1411,0.0000,1.0000
2018-06-29,3.0126,3.2800,2.9400,3.0100,3.0100,6506,0.0000,1.0000
2018-06-28,2.9900,3.1400,2.9400,2.9700,2.9700,35600,0.0000,1.0000
2018-06-27,3.0500,3.0500,2.9700,2.9700,2.9700,13800,0.0000,1.0000
2018-06-26,3.0725,3.0800,3.0700,3.0800,3.0800,4726,0.0000,1.0000
2018-06-25,3.1000,3.1000,3.0600,3.0600,3.0600,13519,0.0000,1.0000
2018-06-22,3.1700,3.1700,3.1000,3.1000,3.1000,3681,0.0000,1.0000
2018-06-21,3.1500,3.1500,3.1100,3.1100,3.1100,8746,0.0000,1.0000
2018-06-20,3.1800,3.1900,3.1204,3.1600,3.1600,7323,0.0000,1.0000
2018-06-19,3.1800,3.2300,3.1600,3.1600,3.1600,2380,0.0000,1.0000
2018-06-18,3.1600,3.3500,3.1600,3.2400,3.2400,3605,0.0000,1.0000
2018-06-15,3.1500,3.2499,3.1500,3.1500,3.1500,16662,0.0000,1.0000
2018-06-14,3.1900,3.2000,3.1900,3.2000,3.2000,498,0.0000,1.0000
2018-06-13,3.2600,3.2600,3.1900,3.1900,3.1900,1570,0.0000,1.0000
2018-06-12,3.1600,3.2700,3.1300,3.2700,3.2700,1330,0.0000,1.0000
2018-06-11,3.1700,3.2000,3.1646,3.1700,3.1700,1253,0.0000,1.0000
2018-06-08,3.2000,3.2945,3.1600,3.2300,3.2300,3222,0.0000,1.0000
2018-06-07,3.2300,3.2300,3.1373,3.1373,3.1373,745,0.0000,1.0000
2018-06-06,3.2100,3.3700,3.2100,3.2200,3.2200,24477,0.0000,1.0000
2018-06-05,3.2134,3.2134,3.1700,3.2100,3.2100,3277,0.0000,1.0000
2018-06-04,3.2397,3.2397,3.1400,3.1400,3.1400,2422,0.0000,1.0000
2018-06-01,3.2390,3.4669,3.1300,3.2300,3.2300,76643,0.0000,1.0000
2018-05-31,3.1900,3.2690,3.1600,3.2000,3.2000,7034,0.0000,1.0000
2018-05-30,3.2900,3.2900,3.1600,3.1700,3.1700,5013,0.0000,1.0000
2018-05-29,3.4027,3.4200,3.1600,3.1700,3.1700,10779,0.0000,1.0000
2018-05-25,3.3500,3.4200,3.2300,3.4100,3.4100,5638,0.0000,1.0000
2018-05-24,3.4300,3.4300,3.2600,3.3100,3.3100,3183,0.0000,1.0000
2018-05-23,3.2800,3.4100,3.2800,3.4100,3.4100,3645,0.0000,1.0000
2018-05-22,3.2200,3.5300,3.2000,3.2000,3.2000,11546,0.0000,1.0000
2018-05-21,3.2000,3.2000,3.1500,3.1500,3.1500,2504,0.0000,1.0000
2018-05-18,3.4300,3.4300,3.1500,3.1900,3.1900,11883,0.0000,1.0000
2018-05-17,3.3801,3.3801,3.3700,3.3700,3.3700,4478,0.0000,1.0000
2018-05-16,3.3200,3.6700,3.2510,3.3400,3.3400,8641,0.0000,1.0000
2018-05-15,3.3600,3.4600,3.2601,3.4600,3.4600,4515,0.0000,1.0000
2018-05-14,3.3833,3.4399,3.2998,3.3200,3.3200,7907,0.0000,1.0000
2018-05-11,3.5400,3.6000,3.3400,3.3700,3.3700,34984,0.0000,1.0000
2018-05-10,3.3300,3.4528,3.2160,3.3400,3.3400,22500,0.0000,1.0000
2018-05-09,3.2800,3.4552,3.2800,3.3100,3.3100,12008,0.0000,1.0000
2018-05-08,3.0400,3.3010,3.0400,3.2700,3.2700,3539,0.0000,1.0000
2018-05-07,3.3900,3.4400,3.3100,3.3100,3.3100,14686,0.0000,1.0000
2018-05-04,3.3800,3.5100,3.3300,3.4200,3.4200,22214,0.0000,1.0000
2018-05-03,3.0200,3.3800,3.0000,3.3800,3.3800,18044,0.0000,1.0000
2018-05-02,3.0100,3.0300,2.9610,3.0000,3.0000,13253,0.0000,1.0000
2018-05-01,3.0492,3.0700,3.0000,3.0700,3.0700,6541,0.0000,1.0000
2018-04-30,3.1062,3.1062,3.0100,3.0459,3.0459,4658,0.0000,1.0000
2018-04-27,2.8800,3.1400,2.8800,3.1400,3.1400,15610,0.0000,1.0000
2018-04-26,2.9648,3.0500,2.9000,2.9800,2.9800,18109,0.0000,1.0000
2018-04-25,3.1000,3.1800,3.0501,3.0700,3.0700,43319,0.0000,1.0000
2018-04-24,3.2000,3.2200,3.1000,3.1800,3.1800,19916,0.0000,1.0000
2018-04-23,3.2500,3.3600,3.1600,3.1600,3.1600,8250,0.0000,1.0000
2018-04-20,3.5000,3.5000,3.1000,3.2900,3.2900,16005,0.0000,1.0000
2018-04-19,3.2300,3.4890,3.1810,3.4700,3.4700,21701,0.0000,1.0000
2018-04-18,3.3213,3.3213,3.2200,3.2200,3.2200,10281,0.0000,1.0000
2018-04-17,3.2700,3.3700,3.2700,3.3000,3.3000,19963,0.0000,1.0000
2018-04-16,3.2600,3.3650,3.0506,3.2000,3.2000,26954,0.0000,1.0000
2018-04-13,3.4700,3.4700,2.9599,3.1400,3.1400,111784,0.0000,1.0000
2018-04-12,3.0000,3.2500,2.8600,3.0400,3.0400,54814,0.0000,1.0000
2018-04-11,2.7799,3.2200,2.7500,2.9200,2.9200,68729,0.0000,1.0000
2018-04-10,2.8000,3.1000,2.7000,2.8700,2.8700,42277,0.0000,1.0000
2018-04-09,2.7600,2.7800,2.7200,2.7800,2.7800,5387,0.0000,1.0000
2018-04-06,2.8000,3.0000,2.4800,2.7300,2.7300,74384,0.0000,1.0000
2018-04-05,2.6600,2.9500,2.4299,2.8000,2.8000,23988,0.0000,1.0000
2018-04-04,2.3481,2.5600,2.3481,2.4400,2.4400,15738,0.0000,1.0000
2018-04-03,2.5500,2.7000,2.5300,2.5300,2.5300,14362,0.0000,1.0000
2018-04-02,2.6000,2.7200,2.3500,2.5200,2.5200,29780,0.0000,1.0000
2018-03-29,2.7000,2.7100,2.6500,2.6500,2.6500,74915,0.0000,1.0000
2018-03-28,2.8200,2.8200,2.7000,2.7400,2.7400,43914,0.0000,1.0000
2018-03-27,3.0000,3.0000,2.8500,2.8600,2.8600,8839,0.0000,1.0000
2018-03-26,2.9400,3.0200,2.8800,3.0000,3.0000,8088,0.0000,1.0000
2018-03-23,3.0400,3.0400,2.8000,2.8600,2.8600,60279,0.0000,1.0000
2018-03-22,3.3000,3.3000,2.9900,3.0400,3.0400,124155,0.0000,1.0000
2018-03-21,3.1500,3.1900,3.0200,3.1696,3.1696,39884,0.0000,1.0000
2018-03-20,3.1300,3.1300,2.9212,2.9901,2.9901,20050,0.0000,1.0000
2018-03-19,3.1700,3.1800,3.0900,3.1200,3.1200,29177,0.0000,1.0000
2018-03-16,3.1400,3.2000,3.0900,3.1700,3.1700,49089,0.0000,1.0000
2018-03-15,3.0300,3.2000,2.9700,3.1000,3.1000,30136,0.0000,1.0000
2018-03-14,2.9900,3.0700,2.9200,3.0000,3.0000,16023,0.0000,1.0000
2018-03-13,3.0101,3.0200,2.9565,3.0200,3.0200,5447,0.0000,1.0000
2018-03-12,3.2200,3.2400,3.0000,3.0600,3.0600,15880,0.0000,1.0000
2018-03-09,3.2200,3.3200,3.1600,3.2000,3.2000,44388,0.0000,1.0000
2018-03-08,3.1300,3.2100,3.1100,3.1900,3.1900,12140,0.0000,1.0000
2018-03-07,3.3900,3.3900,3.1000,3.1000,3.1000,15774,0.0000,1.0000
2018-03-06,3.4500,3.6000,3.2570,3.3800,3.3800,109779,0.0000,1.0000
2018-03-05,2.9800,3.4500,2.7766,3.4500,3.4500,81576,0.0000,1.0000
2018-03-02,2.7200,3.2400,2.7200,3.2400,3.2400,9985,0.0000,1.0000
2018-03-01,2.6800,2.8329,2.6800,2.7021,2.7021,8602,0.0000,1.0000
2018-02-28,2.6900,2.7400,2.6442,2.7000,2.7000,32529,0.0000,1.0000
2018-02-27,2.7500,2.8529,2.6100,2.6900,2.6900,4704,0.0000,1.0000
2018-02-26,2.8100,2.8100,2.7200,2.7400,2.7400,27858,0.0000,1.0000
2018-02-23,2.8600,2.8843,2.7900,2.7900,2.7900,9879,0.0000,1.0000
2018-02-22,2.9100,2.9239,2.6956,2.8500,2.8500,45344,0.0000,1.0000
2018-02-21,2.7700,3.1000,2.6200,2.9400,2.9400,49351,0.0000,1.0000
2018-02-20,2.8700,3.0000,2.6200,2.7500,2.7500,32273,0.0000,1.0000
2018-02-16,2.6500,2.9000,2.6000,2.8700,2.8700,52448,0.0000,1.0000
2018-02-15,2.5000,2.6400,2.3000,2.6400,2.6400,56962,0.0000,1.0000
2018-02-14,2.1500,2.5000,2.1300,2.3900,2.3900,232544,0.0000,1.0000
2018-02-13,2.1618,2.1955,2.1500,2.1500,2.1500,48139,0.0000,1.0000
2018-02-12,2.1700,2.1900,2.1600,2.1800,2.1800,172341,0.0000,1.0000
2018-02-09,2.2500,2.2570,2.1600,2.1900,2.1900,46451,0.0000,1.0000
2018-02-08,2.2501,2.3000,2.2501,2.2600,2.2600,17226,0.0000,1.0000
2018-02-07,2.3900,2.3900,2.2500,2.3000,2.3000,53906,0.0000,1.0000
2018-02-06,2.4000,2.4100,2.3100,2.3900,2.3900,62192,0.0000,1.0000
2018-02-05,2.3500,2.4450,2.3186,2.4200,2.4200,14744,0.0000,1.0000
2018-02-02,2.4200,2.4200,2.3215,2.3800,2.3800,261047,0.0000,1.0000
2018-02-01,2.4300,2.4300,2.3800,2.4200,2.4200,6376,0.0000,1.0000
2018-01-31,2.4200,2.4800,2.3940,2.4300,2.4300,66059,0.0000,1.0000
2018-01-30,2.4300,2.4300,2.3779,2.3900,2.3900,39251,0.0000,1.0000
2018-01-29,2.5000,2.5000,2.4100,2.4200,2.4200,13252,0.0000,1.0000
2018-01-26,2.6000,2.6000,2.4200,2.5000,2.5000,109295,0.0000,1.0000
2018-01-25,2.7200,2.7350,2.6050,2.6100,2.6100,19743,0.0000,1.0000
2018-01-24,2.8000,2.8000,2.7500,2.7600,2.7600,23662,0.0000,1.0000
2018-01-23,2.7000,2.8300,2.6700,2.8000,2.8000,25247,0.0000,1.0000
2018-01-22,2.7700,2.7900,2.7200,2.7600,2.7600,30449,0.0000,1.0000
