timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.5000,0.5400,0.5000,0.5000,0.5000,32000,0.0000,1.0000
2018-08-13,0.5900,0.5900,0.5500,0.5800,0.5800,10324,0.0000,1.0000
2018-08-10,0.5900,0.5900,0.5702,0.5800,0.5800,1400,0.0000,1.0000
2018-08-09,0.5500,0.5800,0.5500,0.5500,0.5500,29550,0.0000,1.0000
2018-08-08,0.5700,0.5750,0.5357,0.5493,0.5493,18900,0.0000,1.0000
2018-08-07,0.5962,0.5962,0.5000,0.5228,0.5228,19473,0.0000,1.0000
2018-08-06,0.5800,0.5999,0.5800,0.5999,0.5999,4873,0.0000,1.0000
2018-08-03,0.6000,0.6000,0.5500,0.5650,0.5650,14915,0.0000,1.0000
2018-08-02,0.6000,0.6000,0.6000,0.6000,0.6000,50,0.0000,1.0000
2018-08-01,0.6000,0.6000,0.5665,0.6000,0.6000,41430,0.0000,1.0000
2018-07-31,0.6000,0.6000,0.5100,0.5900,0.5900,1011,0.0000,1.0000
2018-07-30,0.6000,0.6000,0.5972,0.5972,0.5972,8400,0.0000,1.0000
2018-07-27,0.5500,0.5500,0.5471,0.5471,0.5471,2841,0.0000,1.0000
2018-07-25,0.5200,0.5614,0.4800,0.5614,0.5614,13818,0.0000,1.0000
2018-07-24,0.6000,0.6000,0.5155,0.5176,0.5176,19420,0.0000,1.0000
2018-07-23,0.5550,0.6000,0.5199,0.5900,0.5900,88545,0.0000,1.0000
2018-07-20,0.5000,0.5200,0.5000,0.5190,0.5190,44424,0.0000,1.0000
2018-07-19,0.4700,0.5084,0.4700,0.4998,0.4998,174579,0.0000,1.0000
2018-07-18,0.4700,0.4700,0.4700,0.4700,0.4700,500,0.0000,1.0000
2018-07-17,0.4400,0.4400,0.4400,0.4400,0.4400,1000,0.0000,1.0000
2018-07-16,0.4380,0.4500,0.4200,0.4478,0.4478,5498,0.0000,1.0000
2018-07-13,0.4800,0.4900,0.4500,0.4501,0.4501,63882,0.0000,1.0000
2018-07-12,0.4314,0.4800,0.4275,0.4700,0.4700,44500,0.0000,1.0000
2018-07-11,0.4200,0.4299,0.3998,0.4000,0.4000,39100,0.0000,1.0000
2018-07-10,0.4000,0.4300,0.4000,0.4062,0.4062,28500,0.0000,1.0000
2018-07-03,0.4000,0.4400,0.3510,0.3510,0.3510,224766,0.0000,1.0000
2018-07-02,0.3580,0.3900,0.3491,0.3900,0.3900,44200,0.0000,1.0000
2018-06-29,0.2900,0.3400,0.2900,0.3400,0.3400,115200,0.0000,1.0000
2018-06-27,0.2800,0.2800,0.2800,0.2800,0.2800,6186,0.0000,1.0000
2018-06-26,0.2920,0.2920,0.2400,0.2907,0.2907,148001,0.0000,1.0000
2018-06-25,0.3000,0.3100,0.2800,0.2962,0.2962,48500,0.0000,1.0000
2018-06-21,0.3400,0.3400,0.3400,0.3400,0.3400,604,0.0000,1.0000
2018-06-20,0.3000,0.3000,0.2900,0.2900,0.2900,2200,0.0000,1.0000
2018-06-19,0.2800,0.2900,0.2790,0.2800,0.2800,59677,0.0000,1.0000
2018-06-18,0.3500,0.3500,0.2900,0.3000,0.3000,4600,0.0000,1.0000
2018-06-15,0.2826,0.3000,0.2800,0.2988,0.2988,28973,0.0000,1.0000
2018-06-14,0.3075,0.3225,0.2800,0.2800,0.2800,125280,0.0000,1.0000
2018-06-13,0.3000,0.4000,0.3000,0.4000,0.4000,117685,0.0000,1.0000
2018-06-12,0.3000,0.3001,0.3000,0.3000,0.3000,5396,0.0000,1.0000
2018-06-11,0.3500,0.3500,0.3021,0.3257,0.3257,10100,0.0000,1.0000
2018-06-07,0.4400,0.4500,0.3200,0.3200,0.3200,600,0.0000,1.0000
2018-06-04,0.3500,0.4000,0.3500,0.4000,0.4000,7830,0.0000,1.0000
2018-06-01,0.5000,0.5000,0.2300,0.2990,0.2990,6000,0.0000,1.0000
2018-05-31,0.6000,0.6000,0.6000,0.6000,0.6000,100,0.0000,1.0000
2018-05-30,0.5001,0.5001,0.5001,0.5001,0.5001,4,0.0000,1.0000
2018-05-22,0.5100,0.5100,0.5001,0.5001,0.5001,605,0.0000,1.0000
2018-05-21,0.6000,0.6000,0.5700,0.5700,0.5700,700,0.0000,1.0000
2018-05-18,0.7050,0.7050,0.7050,0.7050,0.7050,4,0.0000,1.0000
2018-05-17,0.6400,0.7500,0.6400,0.7050,0.7050,3844,0.0000,1.0000
2018-05-16,0.6500,0.6500,0.6200,0.6200,0.6200,300,0.0000,1.0000
2018-05-15,0.6500,0.7610,0.6200,0.6900,0.6900,2531,0.0000,1.0000
2018-05-14,0.6000,0.6120,0.6000,0.6120,0.6120,1400,0.0000,1.0000
2018-05-10,0.5575,0.5575,0.5500,0.5500,0.5500,1400,0.0000,1.0000
2018-04-26,0.5400,0.5500,0.5000,0.5500,0.5500,5600,0.0000,1.0000
2018-04-13,1.0500,1.0500,1.0500,1.0500,1.0500,200,0.0000,1.0000
2018-04-12,1.3000,1.3000,1.3000,1.3000,1.3000,275,0.0000,1.0000
2018-04-10,1.0000,1.0000,1.0000,1.0000,1.0000,700,0.0000,1.0000
