timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,18.3600,18.4900,18.3600,18.4600,18.4600,6287,0.0000,1.0000
2018-08-13,18.4000,18.4900,18.4000,18.4100,18.4100,4874,0.0000,1.0000
2018-08-10,18.3800,18.5400,18.3500,18.3700,18.3700,6177,0.0000,1.0000
2018-08-09,18.5700,18.5700,18.3300,18.3300,18.3300,1763,0.0000,1.0000
2018-08-08,18.6000,18.6150,18.5000,18.5000,18.5000,17280,0.0000,1.0000
2018-08-07,18.5400,18.6900,18.5400,18.6900,18.6900,3163,0.0000,1.0000
2018-08-06,18.8049,18.8049,18.5000,18.6900,18.6900,3520,0.0000,1.0000
2018-08-03,19.0400,19.1500,18.5200,18.5600,18.5600,7097,0.0000,1.0000
2018-08-02,18.9550,19.1800,18.7000,19.1800,19.1800,3114,0.0000,1.0000
2018-08-01,18.8400,19.0000,18.7700,18.7700,18.7700,4545,0.0000,1.0000
2018-07-31,18.8000,18.9500,18.6300,18.9500,18.9500,4997,0.0000,1.0000
2018-07-30,18.8000,18.8750,18.7000,18.7000,18.7000,10859,0.0000,1.0000
2018-07-27,18.9400,19.0950,18.5000,18.7000,18.7000,16081,0.0000,1.0000
2018-07-26,19.2800,19.3100,19.0000,19.3000,19.3000,4639,0.0000,1.0000
2018-07-25,19.2900,19.3000,19.0700,19.1500,19.1500,6032,0.0000,1.0000
2018-07-24,19.1500,19.1500,18.9424,19.0600,19.0600,3859,0.0000,1.0000
2018-07-23,19.2000,19.2400,19.1500,19.2200,19.2200,2304,0.0000,1.0000
2018-07-20,19.2800,19.3500,19.2800,19.3000,19.3000,7057,0.0000,1.0000
2018-07-19,19.2500,19.3000,19.2500,19.2900,19.2900,7664,0.0000,1.0000
2018-07-18,19.2401,19.5500,19.2401,19.3100,19.3100,5485,0.0000,1.0000
2018-07-17,19.7000,19.7000,19.3800,19.3800,19.3800,4884,0.0000,1.0000
2018-07-16,19.3200,19.7950,19.3200,19.6400,19.6400,4462,0.0000,1.0000
2018-07-13,19.4400,19.4900,19.1500,19.3000,19.3000,2521,0.0000,1.0000
2018-07-12,19.3500,19.4550,19.1200,19.1400,19.1400,4181,0.0000,1.0000
2018-07-11,19.7700,19.7700,19.2500,19.3000,19.3000,3427,0.0000,1.0000
2018-07-10,19.6000,19.6900,19.4400,19.5700,19.5700,5882,0.0000,1.0000
2018-07-09,19.8400,19.8400,19.4100,19.5900,19.5900,10541,0.0000,1.0000
2018-07-06,19.5800,19.7100,19.3200,19.4700,19.4700,7342,0.0000,1.0000
2018-07-05,19.7500,19.7900,19.3900,19.5900,19.5900,4869,0.0000,1.0000
2018-07-03,19.4300,19.4700,19.0500,19.4700,19.4700,2004,0.0000,1.0000
2018-07-02,19.3188,19.4400,19.2100,19.4400,19.4400,2817,0.0000,1.0000
2018-06-29,19.3900,19.4400,19.2000,19.3000,19.3000,9102,0.0000,1.0000
2018-06-28,19.3400,19.3500,19.1500,19.3300,19.3300,3221,0.0000,1.0000
2018-06-27,19.4500,19.4900,19.2600,19.2700,19.2700,8494,0.0000,1.0000
2018-06-26,19.4100,19.6100,19.4000,19.4900,19.4900,13309,0.0000,1.0000
2018-06-25,19.4500,19.7000,19.2900,19.5100,19.5100,12422,0.0000,1.0000
2018-06-22,19.7200,19.8200,19.0800,19.6000,19.6000,102421,0.0000,1.0000
2018-06-21,19.4000,19.7900,19.1050,19.7600,19.7600,22370,0.0000,1.0000
