timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.2300,1.2700,1.2300,1.2700,1.2700,312168,0.0000,1.0000
2018-08-13,1.2300,1.2600,1.2300,1.2400,1.2400,214392,0.0000,1.0000
2018-08-10,1.2500,1.2700,1.2345,1.2550,1.2550,144089,0.0000,1.0000
2018-08-09,1.2400,1.2500,1.2301,1.2500,1.2500,108313,0.0000,1.0000
2018-08-08,1.2400,1.2500,1.2300,1.2400,1.2400,100319,0.0000,1.0000
2018-08-07,1.2372,1.2600,1.2200,1.2400,1.2400,114369,0.0000,1.0000
2018-08-06,1.2400,1.2500,1.2300,1.2300,1.2300,102022,0.0000,1.0000
2018-08-03,1.2500,1.2600,1.2300,1.2400,1.2400,85944,0.0000,1.0000
2018-08-02,1.2300,1.2700,1.2100,1.2600,1.2600,374334,0.0000,1.0000
2018-08-01,1.2600,1.2700,1.2300,1.2400,1.2400,216697,0.0000,1.0000
2018-07-31,1.2600,1.2700,1.2300,1.2500,1.2500,269584,0.0000,1.0000
2018-07-30,1.2400,1.2500,1.2200,1.2300,1.2300,123406,0.0000,1.0000
2018-07-27,1.2600,1.2650,1.2350,1.2500,1.2500,130750,0.0000,1.0000
2018-07-26,1.2600,1.2900,1.2600,1.2600,1.2600,140434,0.0000,1.0000
2018-07-25,1.2600,1.3000,1.2600,1.2800,1.2800,141836,0.0000,1.0000
2018-07-24,1.2800,1.2900,1.2641,1.2800,1.2800,185990,0.0000,1.0000
2018-07-23,1.3100,1.3200,1.2700,1.3000,1.3000,146634,0.0000,1.0000
2018-07-20,1.2800,1.3100,1.2800,1.3000,1.3000,175819,0.0000,1.0000
2018-07-19,1.3000,1.3085,1.2750,1.3000,1.3000,184017,0.0000,1.0000
2018-07-18,1.2600,1.2700,1.2424,1.2500,1.2500,129110,0.0000,1.0000
2018-07-17,1.2900,1.2900,1.2600,1.2800,1.2800,155557,0.0000,1.0000
2018-07-16,1.2800,1.2900,1.2700,1.2800,1.2800,166200,0.0000,1.0000
2018-07-13,1.2300,1.3200,1.2300,1.3000,1.3000,404045,0.0000,1.0000
2018-07-12,1.2500,1.2500,1.2400,1.2500,1.2500,85812,0.0000,1.0000
2018-07-11,1.2600,1.2600,1.2400,1.2500,1.2500,173883,0.0000,1.0000
2018-07-10,1.2800,1.2800,1.2573,1.2800,1.2800,280833,0.0000,1.0000
2018-07-09,1.2700,1.3100,1.2700,1.2900,1.2900,579043,0.0000,1.0000
2018-07-06,1.2462,1.2701,1.2401,1.2600,1.2600,163376,0.0000,1.0000
2018-07-05,1.2600,1.2600,1.2300,1.2500,1.2500,82463,0.0000,1.0000
2018-07-03,1.2500,1.2700,1.2200,1.2500,1.2500,303241,0.0000,1.0000
2018-07-02,1.2400,1.2500,1.2000,1.2500,1.2500,247873,0.0000,1.0000
2018-06-29,1.2200,1.2400,1.2000,1.2200,1.2200,110134,0.0000,1.0000
2018-06-28,1.2000,1.2300,1.2000,1.2100,1.2100,229458,0.0000,1.0000
2018-06-27,1.2400,1.3000,1.2000,1.2200,1.2200,576639,0.0000,1.0000
2018-06-26,1.2700,1.2700,1.2400,1.2500,1.2500,188075,0.0000,1.0000
2018-06-25,1.2600,1.3000,1.2100,1.2700,1.2700,709554,0.0000,1.0000
2018-06-22,1.2400,1.2600,1.2110,1.2600,1.2600,125636,0.0000,1.0000
2018-06-21,1.2500,1.2700,1.2300,1.2400,1.2400,283401,0.0000,1.0000
2018-06-20,1.2300,1.2700,1.2100,1.2600,1.2600,447077,0.0000,1.0000
2018-06-19,1.2500,1.2500,1.2000,1.2325,1.2325,744213,0.0000,1.0000
2018-06-18,1.2500,1.2700,1.2200,1.2500,1.2500,487485,0.0000,1.0000
2018-06-15,1.2600,1.2800,1.2300,1.2700,1.2700,524684,0.0000,1.0000
2018-06-14,1.3000,1.3000,1.2100,1.2600,1.2600,1380766,0.0000,1.0000
2018-06-13,1.3500,1.3603,1.3050,1.3300,1.3300,821495,0.0000,1.0000
2018-06-12,1.5000,1.5200,1.2850,1.3100,1.3100,5525475,0.0000,1.0000
2018-06-11,1.4800,1.4800,1.3300,1.4000,1.4000,2277960,0.0000,1.0000
2018-06-08,1.4400,1.4500,1.4100,1.4500,1.4500,512415,0.0000,1.0000
2018-06-07,1.4500,1.4599,1.4100,1.4300,1.4300,914431,0.0000,1.0000
2018-06-06,1.4300,1.4608,1.4200,1.4400,1.4400,1560389,0.0000,1.0000
2018-06-05,1.4200,1.4300,1.4000,1.4200,1.4200,705296,0.0000,1.0000
2018-06-04,1.4000,1.4500,1.3700,1.4100,1.4100,3322582,0.0000,1.0000
2018-06-01,1.3400,1.3600,1.3100,1.3500,1.3500,137186,0.0000,1.0000
2018-05-31,1.3600,1.3600,1.3000,1.3300,1.3300,151694,0.0000,1.0000
2018-05-30,1.3300,1.3700,1.3100,1.3600,1.3600,280413,0.0000,1.0000
2018-05-29,1.3100,1.3400,1.3000,1.3200,1.3200,196970,0.0000,1.0000
2018-05-25,1.3200,1.3400,1.3000,1.3400,1.3400,137079,0.0000,1.0000
2018-05-24,1.3500,1.3600,1.3000,1.3000,1.3000,201301,0.0000,1.0000
2018-05-23,1.3700,1.3700,1.3400,1.3600,1.3600,135794,0.0000,1.0000
2018-05-22,1.3700,1.3900,1.3400,1.3700,1.3700,195658,0.0000,1.0000
2018-05-21,1.3900,1.4000,1.3000,1.3400,1.3400,303382,0.0000,1.0000
2018-05-18,1.4100,1.4100,1.3500,1.3900,1.3900,256208,0.0000,1.0000
2018-05-17,1.3900,1.4100,1.3451,1.4000,1.4000,140034,0.0000,1.0000
2018-05-16,1.4000,1.4200,1.3900,1.3900,1.3900,195969,0.0000,1.0000
2018-05-15,1.4100,1.4300,1.3800,1.4100,1.4100,345957,0.0000,1.0000
2018-05-14,1.4000,1.4600,1.3925,1.4200,1.4200,307616,0.0000,1.0000
2018-05-11,1.3900,1.4400,1.3828,1.4200,1.4200,270167,0.0000,1.0000
