timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.5842,1.7000,1.5840,1.6300,1.6300,113839,0.0000,1.0000
2018-08-13,1.7000,1.7000,1.5704,1.6000,1.6000,82250,0.0000,1.0000
2018-08-10,1.4100,1.7910,1.2000,1.6700,1.6700,142666,0.0000,1.0000
2018-08-09,1.9000,1.9582,1.8500,1.9000,1.9000,160095,0.0000,1.0000
2018-08-08,1.9200,1.9200,1.8400,1.8600,1.8600,57244,0.0000,1.0000
2018-08-07,1.9000,1.9900,1.8405,1.9100,1.9100,182326,0.0000,1.0000
2018-08-06,1.9100,1.9700,1.9000,1.9000,1.9000,105811,0.0000,1.0000
2018-08-03,2.0900,2.1800,1.8510,1.9700,1.9700,281324,0.0000,1.0000
2018-08-02,2.2563,2.2590,2.1200,2.1200,2.1200,112265,0.0000,1.0000
2018-08-01,2.4000,2.4190,2.2500,2.2700,2.2700,127847,0.0000,1.0000
2018-07-31,2.4490,2.4579,2.3500,2.3500,2.3500,43223,0.0000,1.0000
2018-07-30,2.4900,2.5401,2.4301,2.4400,2.4400,52977,0.0000,1.0000
2018-07-27,2.5220,2.5400,2.4800,2.4800,2.4800,22830,0.0000,1.0000
2018-07-26,2.5100,2.5800,2.4900,2.5300,2.5300,37236,0.0000,1.0000
2018-07-25,2.5500,2.6500,2.5100,2.5100,2.5100,28752,0.0000,1.0000
2018-07-24,2.5600,2.6000,2.5600,2.5700,2.5700,30348,0.0000,1.0000
2018-07-23,2.5500,2.6174,2.5500,2.5600,2.5600,90531,0.0000,1.0000
2018-07-20,2.5400,2.5800,2.4841,2.5500,2.5500,53079,0.0000,1.0000
2018-07-19,2.4500,2.5600,2.4400,2.4700,2.4700,36260,0.0000,1.0000
2018-07-18,2.4500,2.4500,2.4300,2.4300,2.4300,27862,0.0000,1.0000
2018-07-17,2.4000,2.4500,2.4000,2.4391,2.4391,29791,0.0000,1.0000
2018-07-16,2.4100,2.4300,2.4100,2.4250,2.4250,22560,0.0000,1.0000
2018-07-13,2.4300,2.4500,2.4200,2.4398,2.4398,27255,0.0000,1.0000
2018-07-12,2.5000,2.5000,2.4200,2.4200,2.4200,59424,0.0000,1.0000
2018-07-11,2.4900,2.4900,2.4600,2.4700,2.4700,20680,0.0000,1.0000
