timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,45.5800,46.4900,45.5800,46.0000,46.0000,8300,0.0000,1.0000
2018-08-13,46.2200,46.2200,45.3501,45.5100,45.5100,6323,0.0000,1.0000
2018-08-10,45.8600,46.0000,45.8300,45.8300,45.8300,1557,0.0000,1.0000
2018-08-09,45.7300,45.9900,45.7300,45.9100,45.9100,1897,0.0000,1.0000
2018-08-08,45.1100,45.8500,45.0423,45.8500,45.8500,4341,0.0000,1.0000
2018-08-07,45.2100,45.7400,44.9500,45.4300,45.4300,1863,0.0000,1.0000
2018-08-06,45.6200,45.6200,44.8807,45.4900,45.4900,2566,0.0000,1.0000
2018-08-03,45.5900,45.5900,45.2900,45.3800,45.3800,3258,0.0000,1.0000
2018-08-02,45.4400,45.7400,45.2500,45.5900,45.5900,3176,0.0000,1.0000
2018-08-01,45.3500,45.6700,45.2048,45.2800,45.2800,3104,0.0000,1.0000
2018-07-31,45.2000,45.6400,44.7900,45.6000,45.6000,5951,0.0000,1.0000
2018-07-30,45.4700,45.4700,45.3500,45.3500,45.3500,3106,0.0000,1.0000
2018-07-27,45.2500,45.5000,45.0200,45.2000,45.2000,4776,0.0000,1.0000
2018-07-26,45.5240,45.7500,45.2600,45.2600,45.2600,1331,0.0000,1.0000
2018-07-25,45.4000,45.7000,45.2500,45.4000,45.4000,1841,0.0000,1.0000
2018-07-24,45.7000,45.7500,45.4500,45.5300,45.5300,2282,0.0000,1.0000
2018-07-23,45.1500,45.7800,45.1500,45.7800,45.7800,1831,0.0000,1.0000
2018-07-20,45.9200,45.9200,45.2800,45.2900,45.2900,2052,0.0000,1.0000
2018-07-19,45.7500,45.8500,45.2500,45.6200,45.6200,2247,0.0000,1.0000
2018-07-18,45.1300,45.9300,45.1300,45.6500,45.6500,2648,0.0000,1.0000
2018-07-17,43.8215,45.6000,43.8010,45.4400,45.4400,1477,0.0000,1.0000
2018-07-16,45.5000,45.5000,44.4400,45.3900,45.3900,3116,0.0000,1.0000
2018-07-13,45.2200,45.7200,45.1877,45.5000,45.5000,3617,0.0000,1.0000
2018-07-12,45.9300,45.9300,44.2500,45.3500,45.3500,3101,0.0000,1.0000
2018-07-11,45.6500,45.9100,45.6500,45.7700,45.7700,2160,0.0000,1.0000
2018-07-10,45.7700,45.9000,45.3500,45.3500,45.3500,1680,0.0000,1.0000
2018-07-09,45.8100,46.0000,45.4900,45.5600,45.5600,8776,0.0000,1.0000
2018-07-06,45.9000,46.0000,45.8600,45.9300,45.9300,3763,0.0000,1.0000
2018-07-05,44.8700,46.0000,44.8700,45.6200,45.6200,4053,0.0000,1.0000
2018-07-03,44.7199,44.8900,43.4300,44.8900,44.8900,3655,0.0000,1.0000
2018-07-02,44.8600,44.8600,44.2000,44.6900,44.6900,1955,0.0000,1.0000
2018-06-29,44.3700,45.2775,44.3700,44.7800,44.7800,9026,0.0000,1.0000
2018-06-28,45.1900,45.3500,44.9496,45.0200,45.0200,5383,0.0000,1.0000
2018-06-27,45.3700,45.4550,43.5571,45.3900,45.3900,5132,0.0000,1.0000
2018-06-26,44.7100,45.7000,44.4713,45.7000,45.7000,5403,0.0000,1.0000
2018-06-25,44.7000,44.8400,44.2100,44.6000,44.6000,7445,0.0000,1.0000
2018-06-22,44.4775,45.5000,44.4450,44.6000,44.6000,18534,0.0000,1.0000
2018-06-21,44.7000,45.4400,44.1800,44.5700,44.5700,7763,0.0000,1.0000
2018-06-20,44.1100,44.6500,43.8500,44.6500,44.6500,4035,0.0000,1.0000
2018-06-19,43.9100,44.7000,43.8700,43.8700,43.8700,7740,0.0000,1.0000
2018-06-18,42.3100,45.1300,41.7300,43.7000,43.7000,6235,0.0000,1.0000
2018-06-15,43.8100,44.4000,42.4000,42.6100,42.6100,28030,0.0000,1.0000
2018-06-14,44.5300,44.8400,43.6800,44.0500,44.0500,5648,0.0000,1.0000
