timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.8300,0.8630,0.8300,0.8399,0.8399,38844,0.0000,1.0000
2018-08-13,0.9000,0.9000,0.8078,0.8600,0.8600,27607,0.0000,1.0000
2018-08-10,0.9399,0.9399,0.8200,0.8501,0.8501,138641,0.0000,1.0000
2018-08-09,0.9500,0.9682,0.8871,0.9300,0.9300,108710,0.0000,1.0000
2018-08-08,0.8801,0.9453,0.8801,0.9100,0.9100,24032,0.0000,1.0000
2018-08-07,0.9300,0.9400,0.8700,0.9001,0.9001,74585,0.0000,1.0000
2018-08-06,0.9500,0.9538,0.8700,0.8997,0.8997,49805,0.0000,1.0000
2018-08-03,0.8600,0.9756,0.8500,0.8782,0.8782,43610,0.0000,1.0000
2018-08-02,0.8700,0.8799,0.8300,0.8500,0.8500,48558,0.0000,1.0000
2018-08-01,0.8700,0.9248,0.8700,0.8801,0.8801,51956,0.0000,1.0000
2018-07-31,0.9400,0.9400,0.7901,0.8599,0.8599,95116,0.0000,1.0000
2018-07-30,0.9522,0.9741,0.9112,0.9124,0.9124,16283,0.0000,1.0000
2018-07-27,0.9400,0.9500,0.9100,0.9300,0.9300,22945,0.0000,1.0000
2018-07-26,0.9700,1.0100,0.9100,0.9100,0.9100,122391,0.0000,1.0000
2018-07-25,1.0300,1.0303,0.9400,0.9500,0.9500,184738,0.0000,1.0000
2018-07-24,1.0453,1.0700,1.0300,1.0300,1.0300,53389,0.0000,1.0000
2018-07-23,1.0500,1.0700,1.0400,1.0500,1.0500,63009,0.0000,1.0000
2018-07-20,1.0900,1.0900,1.0600,1.0700,1.0700,20089,0.0000,1.0000
2018-07-19,1.0900,1.0900,1.0601,1.0701,1.0701,22081,0.0000,1.0000
2018-07-18,1.0800,1.0900,1.0600,1.0600,1.0600,53190,0.0000,1.0000
2018-07-17,1.0700,1.1000,1.0700,1.0800,1.0800,32426,0.0000,1.0000
2018-07-16,1.0800,1.1000,1.0400,1.0700,1.0700,75820,0.0000,1.0000
2018-07-13,1.0800,1.0800,1.0500,1.0764,1.0764,50103,0.0000,1.0000
2018-07-12,1.0607,1.0700,1.0400,1.0500,1.0500,29465,0.0000,1.0000
2018-07-11,1.0500,1.0800,1.0400,1.0462,1.0462,35070,0.0000,1.0000
2018-07-10,1.0500,1.0800,1.0500,1.0500,1.0500,54214,0.0000,1.0000
2018-07-09,1.0500,1.1000,1.0400,1.0700,1.0700,64680,0.0000,1.0000
2018-07-06,1.0300,1.0647,1.0300,1.0500,1.0500,40641,0.0000,1.0000
2018-07-05,1.0700,1.0790,1.0310,1.0500,1.0500,55675,0.0000,1.0000
2018-07-03,1.0900,1.1000,1.0500,1.0610,1.0610,48959,0.0000,1.0000
2018-07-02,1.0700,1.1000,1.0600,1.0900,1.0900,52698,0.0000,1.0000
2018-06-29,1.0900,1.1300,1.0700,1.0700,1.0700,65274,0.0000,1.0000
2018-06-28,1.1000,1.1250,1.0800,1.0969,1.0969,115796,0.0000,1.0000
2018-06-27,1.1100,1.1300,1.1000,1.1000,1.1000,48840,0.0000,1.0000
2018-06-26,1.1500,1.1500,1.1000,1.1234,1.1234,75578,0.0000,1.0000
2018-06-25,1.1500,1.2000,1.1100,1.1400,1.1400,95992,0.0000,1.0000
2018-06-22,1.1600,1.2500,1.1400,1.1500,1.1500,703621,0.0000,1.0000
2018-06-21,1.1600,1.1900,1.1000,1.1200,1.1200,395991,0.0000,1.0000
2018-06-20,1.1300,1.1900,1.1200,1.1200,1.1200,170660,0.0000,1.0000
2018-06-19,1.1900,1.1900,1.1500,1.1699,1.1699,102057,0.0000,1.0000
2018-06-18,1.1700,1.2729,1.1700,1.1900,1.1900,136897,0.0000,1.0000
2018-06-15,1.2500,1.2900,1.1500,1.2100,1.2100,244366,0.0000,1.0000
2018-06-14,1.2182,1.3200,1.1600,1.2700,1.2700,889825,0.0000,1.0000
2018-06-13,1.2000,1.2000,1.1500,1.1700,1.1700,25523,0.0000,1.0000
2018-06-12,1.1800,1.2077,1.1527,1.1700,1.1700,50223,0.0000,1.0000
2018-06-11,1.2400,1.2400,1.1700,1.1700,1.1700,57705,0.0000,1.0000
2018-06-08,1.2000,1.2030,1.1700,1.2000,1.2000,51986,0.0000,1.0000
2018-06-07,1.1800,1.3000,1.1400,1.1700,1.1700,523279,0.0000,1.0000
2018-06-06,1.1600,1.1975,1.1300,1.1469,1.1469,42463,0.0000,1.0000
2018-06-05,1.1946,1.2400,1.1200,1.1608,1.1608,121928,0.0000,1.0000
2018-06-04,1.2200,1.2700,1.1701,1.2200,1.2200,100194,0.0000,1.0000
2018-06-01,1.1900,1.2600,1.1600,1.1769,1.1769,32581,0.0000,1.0000
2018-05-31,1.2300,1.2300,1.1500,1.1800,1.1800,117593,0.0000,1.0000
2018-05-30,1.1500,1.2741,1.1200,1.2230,1.2230,232178,0.0000,1.0000
2018-05-29,1.3200,1.3200,1.1100,1.1300,1.1300,423677,0.0000,1.0000
