timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.9400,1.9400,1.7100,1.9200,1.9200,90852,0.0000,1.0000
2018-08-13,1.9400,1.9804,1.8500,1.9200,1.9200,56794,0.0000,1.0000
2018-08-10,1.9500,2.0500,1.9000,1.9450,1.9450,33181,0.0000,1.0000
2018-08-09,1.8900,1.9700,1.8800,1.9600,1.9600,41287,0.0000,1.0000
2018-08-08,1.9500,1.9532,1.8700,1.8916,1.8916,37715,0.0000,1.0000
2018-08-07,1.8500,1.9200,1.8200,1.9000,1.9000,55426,0.0000,1.0000
2018-08-06,1.8298,1.9200,1.8110,1.8515,1.8515,35993,0.0000,1.0000
2018-08-03,1.8200,1.8500,1.7700,1.8500,1.8500,52455,0.0000,1.0000
2018-08-02,1.7600,1.8250,1.7600,1.7900,1.7900,28962,0.0000,1.0000
2018-08-01,1.6900,1.7900,1.6900,1.7570,1.7570,25364,0.0000,1.0000
2018-07-31,1.7200,1.7700,1.6900,1.7100,1.7100,82757,0.0000,1.0000
2018-07-30,1.8000,1.8900,1.7000,1.7500,1.7500,127284,0.0000,1.0000
2018-07-27,1.7320,1.7320,1.6900,1.7110,1.7110,36139,0.0000,1.0000
2018-07-26,1.7400,1.7700,1.7130,1.7595,1.7595,16768,0.0000,1.0000
2018-07-25,1.7800,1.7900,1.6900,1.7500,1.7500,52653,0.0000,1.0000
2018-07-24,1.7210,1.8400,1.7200,1.7621,1.7621,187740,0.0000,1.0000
2018-07-23,1.7256,1.8000,1.7200,1.7200,1.7200,30953,0.0000,1.0000
2018-07-20,1.7532,1.7788,1.7000,1.7718,1.7718,28286,0.0000,1.0000
2018-07-19,1.7500,1.7990,1.7100,1.7500,1.7500,35211,0.0000,1.0000
2018-07-18,1.7900,1.8002,1.7001,1.7501,1.7501,83960,0.0000,1.0000
2018-07-17,1.7900,1.8400,1.7800,1.7900,1.7900,115290,0.0000,1.0000
2018-07-16,1.6939,1.8300,1.6939,1.7800,1.7800,173557,0.0000,1.0000
2018-07-13,1.7300,1.7300,1.6862,1.6899,1.6899,57597,0.0000,1.0000
2018-07-12,1.7198,1.7500,1.6900,1.6900,1.6900,72160,0.0000,1.0000
2018-07-11,1.6900,1.7300,1.6734,1.6761,1.6761,26894,0.0000,1.0000
2018-07-10,1.6890,1.7200,1.6800,1.6900,1.6900,71010,0.0000,1.0000
2018-07-09,1.7800,1.7800,1.6500,1.6751,1.6751,57654,0.0000,1.0000
2018-07-06,1.7500,1.7800,1.6200,1.7400,1.7400,35106,0.0000,1.0000
2018-07-05,1.7900,1.7900,1.6810,1.7141,1.7141,91510,0.0000,1.0000
