timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.6300,1.6800,1.5100,1.5800,1.5800,78267,0.0000,1.0000
2018-08-13,1.6600,1.6906,1.6000,1.6800,1.6800,77672,0.0000,1.0000
2018-08-10,1.5600,1.6600,1.4600,1.6350,1.6350,62036,0.0000,1.0000
2018-08-09,1.5400,1.6400,1.4401,1.5100,1.5100,105163,0.0000,1.0000
2018-08-08,1.5800,1.6500,1.5001,1.5200,1.5200,76795,0.0000,1.0000
2018-08-07,1.6700,1.7300,1.5900,1.5900,1.5900,186614,0.0000,1.0000
2018-08-06,1.6900,1.7400,1.5700,1.6700,1.6700,113945,0.0000,1.0000
2018-08-03,1.7700,1.7900,1.6500,1.7000,1.7000,206289,0.0000,1.0000
2018-08-02,1.7000,1.9000,1.6050,1.7900,1.7900,848032,0.0000,1.0000
2018-08-01,1.9300,2.3600,1.6600,1.7900,1.7900,13214065,0.0000,1.0000
2018-07-31,1.4200,1.5800,1.4010,1.4800,1.4800,243296,0.0000,1.0000
2018-07-30,1.4700,1.4700,1.2900,1.4200,1.4200,185899,0.0000,1.0000
2018-07-27,1.5600,1.5600,1.4100,1.4700,1.4700,118759,0.0000,1.0000
2018-07-26,1.5300,1.6465,1.5000,1.5500,1.5500,47211,0.0000,1.0000
2018-07-25,1.7100,1.7262,1.4900,1.5100,1.5100,185327,0.0000,1.0000
2018-07-24,1.7600,1.7890,1.6900,1.7000,1.7000,78603,0.0000,1.0000
2018-07-23,1.8100,1.8800,1.7200,1.7600,1.7600,53019,0.0000,1.0000
2018-07-20,1.7600,1.9090,1.7500,1.8100,1.8100,133923,0.0000,1.0000
2018-07-19,1.8500,1.8788,1.7200,1.7700,1.7700,45271,0.0000,1.0000
2018-07-18,1.8600,1.8900,1.8100,1.8400,1.8400,73052,0.0000,1.0000
2018-07-17,1.8600,1.9300,1.7900,1.8800,1.8800,81974,0.0000,1.0000
2018-07-16,1.9800,1.9800,1.8500,1.8600,1.8600,66303,0.0000,1.0000
2018-07-13,1.9200,1.9900,1.9200,1.9800,1.9800,49605,0.0000,1.0000
2018-07-12,2.0100,2.0200,1.8700,1.9200,1.9200,104918,0.0000,1.0000
2018-07-11,2.1000,2.1721,1.9100,2.0000,2.0000,339255,0.0000,1.0000
2018-07-10,1.8600,2.3500,1.8500,2.2500,2.2500,1096789,0.0000,1.0000
2018-07-09,2.0100,2.0300,1.8000,1.8400,1.8400,126297,0.0000,1.0000
2018-07-06,1.8400,2.0000,1.7800,1.9700,1.9700,158412,0.0000,1.0000
2018-07-05,1.9100,1.9100,1.7800,1.8599,1.8599,69388,0.0000,1.0000
