timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-13,71.0000,71.0000,71.0000,71.0000,71.0000,301,0.0000,1.0000
2018-08-10,71.0027,71.3000,71.0027,71.3000,71.3000,6200,0.0000,1.0000
2018-08-09,71.1200,71.3000,71.0400,71.3000,71.3000,1732,0.0000,1.0000
2018-08-08,71.0600,71.4636,71.0400,71.4636,71.4636,4603,0.0000,1.0000
2018-08-07,71.2500,71.2500,71.2500,71.2500,71.2500,100,0.0000,1.0000
2018-08-06,71.2500,71.2500,71.2500,71.2500,71.2500,300,0.0000,1.0000
2018-08-03,71.5000,71.5000,71.0800,71.2500,71.2500,2078,0.0000,1.0000
2018-08-02,71.2800,71.2800,71.0400,71.0400,71.0400,1068,0.0000,1.0000
2018-08-01,71.7100,71.7100,71.7100,71.7100,71.7100,0,0.0000,1.0000
2018-07-31,71.7100,71.7100,71.7100,71.7100,71.7100,25,0.0000,1.0000
2018-07-30,71.7100,71.7100,71.7100,71.7100,71.7100,106,0.0000,1.0000
2018-07-27,71.7100,71.7100,71.7100,71.7100,71.7100,0,0.0000,1.0000
2018-07-26,71.7100,71.7100,71.7100,71.7100,71.7100,0,0.0000,1.0000
2018-07-25,72.1500,72.5195,71.5000,71.7100,71.7100,139018,0.0000,1.0000
2018-07-24,72.0000,72.1800,72.0000,72.0000,72.0000,12296,0.0000,1.0000
2018-07-23,71.5500,71.5500,71.5000,71.5000,71.5000,570,0.0000,1.0000
2018-07-20,71.5600,71.5600,71.5600,71.5600,71.5600,111,0.0000,1.0000
2018-07-19,71.0000,71.5000,71.0000,71.5000,71.5000,2600,0.0000,1.0000
2018-07-18,70.7500,70.7500,70.7500,70.7500,70.7500,668,0.0000,1.0000
2018-07-17,70.6500,71.2400,70.6000,70.9000,70.9000,3822,0.0000,1.0000
2018-07-16,70.0000,70.5700,70.0000,70.5300,70.5300,1637,0.0000,1.0000
2018-07-13,70.9000,72.9899,70.9000,71.0800,71.0800,14097,0.0000,1.0000
2018-07-12,70.3000,70.3000,70.3000,70.3000,70.3000,26,0.0000,1.0000
2018-07-11,69.0000,70.3000,69.0000,70.3000,70.3000,1728,0.0000,1.0000
2018-07-10,70.7500,70.7500,70.7000,70.7400,70.7400,80509,0.0000,1.0000
2018-07-09,70.3100,70.3100,70.3100,70.3100,70.3100,24,0.0000,1.0000
2018-07-06,68.2000,71.5500,62.4700,70.3100,70.3100,4956,0.0000,1.0000
2018-07-05,71.7500,71.7500,70.0000,70.0400,70.0400,4411,0.0000,1.0000
2018-07-03,71.4000,71.7500,71.0000,71.0000,71.0000,1705,0.0000,1.0000
2018-07-02,71.0000,71.3800,70.8737,71.3800,71.3800,1967,0.0000,1.0000
2018-06-29,70.7800,71.1000,69.3000,71.0000,71.0000,12204,0.0000,1.0000
2018-06-28,70.2001,70.2001,70.2001,70.2001,70.2001,0,0.0000,1.0000
2018-06-27,70.2000,70.2000,70.2000,70.2000,70.2000,41,0.0000,1.0000
2018-06-26,69.7700,70.5000,69.4500,70.2001,70.2001,3012,0.0000,1.0000
2018-06-25,69.7500,71.0100,69.7500,70.5400,70.5400,6110,0.0000,1.0000
2018-06-22,69.9925,69.9925,69.3500,69.5000,69.5000,1408,0.0000,1.0000
2018-06-21,69.9700,69.9700,69.9700,69.9700,69.9700,0,0.0000,1.0000
2018-06-20,69.8510,70.2100,69.7600,69.9700,69.9700,2816,0.0000,1.0000
2018-06-19,69.8100,70.0200,69.6000,69.7200,69.7200,30400,0.0000,1.0000
2018-06-18,70.6136,71.0000,70.2000,70.2000,70.2000,8681,0.0000,1.0000
2018-06-15,71.0587,71.0587,70.1600,70.7361,70.7361,2811,0.0000,1.0000
2018-06-14,70.6728,70.6728,70.6728,70.6728,70.6728,107,0.0000,1.0000
2018-06-13,70.6500,71.2000,70.6500,70.6728,70.6728,8585,0.0000,1.0000
2018-06-12,70.6500,70.6500,70.6500,70.6500,70.6500,900,0.0000,1.0000
2018-06-11,69.9100,71.0000,69.8500,70.6426,70.6426,7578,0.0000,1.0000
2018-06-08,70.9100,70.9100,70.9100,70.9100,70.9100,166,0.0000,1.0000
2018-06-07,70.8900,70.9500,70.6900,70.9100,70.9100,3196,0.0000,1.0000
2018-06-06,70.7500,70.7500,70.7500,70.7500,70.7500,510,0.0000,1.0000
2018-06-05,71.0000,71.5000,70.6800,70.8500,70.8500,67936,0.0000,1.0000
2018-06-04,70.9300,70.9300,70.4001,70.4001,70.4001,1826,0.9826,1.0000
2018-06-01,71.3000,71.7499,71.0000,71.2000,70.2199,19338,0.0000,1.0000
2018-05-31,70.5400,71.5000,70.5000,71.1900,70.2100,2551,0.0000,1.0000
2018-05-30,70.8790,71.3600,70.8790,71.3600,70.3777,2052,0.0000,1.0000
2018-05-29,70.7000,71.5000,70.7000,71.5000,70.5158,392,0.0000,1.0000
2018-05-25,71.0000,71.0000,70.8000,70.9600,69.9832,1130,0.0000,1.0000
2018-05-24,71.0000,71.0000,71.0000,71.0000,70.0227,20026,0.0000,1.0000
2018-05-23,71.2300,71.2300,70.9917,71.0000,70.0227,3424,0.0000,1.0000
2018-05-22,71.0400,71.2300,70.9800,71.2300,70.2495,100999,0.0000,1.0000
2018-05-21,71.0000,71.1400,71.0000,71.1400,70.1607,1811,0.0000,1.0000
2018-05-18,71.0200,71.5000,70.8000,71.0000,70.0227,50704,0.0000,1.0000
2018-05-17,71.2500,71.2700,71.1500,71.1992,70.2191,1727,0.0000,1.0000
2018-05-16,71.4200,71.4200,71.2785,71.2785,70.2973,387,0.0000,1.0000
2018-05-15,71.0000,71.0000,71.0000,71.0000,70.0227,319,0.0000,1.0000
2018-05-14,73.0000,73.0000,71.0000,71.0000,70.0227,21660,0.0000,1.0000
2018-05-11,71.0000,71.0000,71.0000,71.0000,70.0227,332,0.0000,1.0000
2018-05-10,71.5000,71.5000,71.2500,71.2500,70.2692,2435,0.0000,1.0000
2018-05-09,71.3400,71.3400,71.3400,71.3400,70.3580,184,0.0000,1.0000
2018-05-08,71.2400,71.4999,71.0950,71.3400,70.3580,4404,0.0000,1.0000
2018-05-07,71.0100,71.0100,71.0100,71.0100,70.0325,96,0.0000,1.0000
2018-05-04,70.8000,71.0100,70.8000,71.0100,70.0325,2040,0.0000,1.0000
2018-05-03,71.2100,71.2100,71.2100,71.2100,70.2298,147,0.0000,1.0000
2018-05-02,71.0000,71.5000,71.0000,71.2000,70.2199,6458,0.0000,1.0000
2018-05-01,71.0788,71.0788,71.0788,71.0788,70.1004,0,0.0000,1.0000
2018-04-30,71.0200,71.2234,71.0000,71.0788,70.1004,20362,0.0000,1.0000
2018-04-27,71.1000,71.1000,71.0000,71.0000,70.0227,2267,0.0000,1.0000
2018-04-26,71.0000,71.8200,70.8700,71.0000,70.0227,14368,0.0000,1.0000
2018-04-25,71.7600,71.7600,71.1800,71.1800,70.2002,913,0.0000,1.0000
2018-04-24,71.3700,71.3700,71.2500,71.2500,70.2692,5661,0.0000,1.0000
2018-04-23,71.7499,71.7499,70.3100,70.8100,69.8353,2330,0.0000,1.0000
2018-04-20,70.7500,70.7500,70.7500,70.7500,69.7761,12526,0.0000,1.0000
2018-04-19,70.7800,71.0000,70.7500,71.0000,70.0227,10125,0.0000,1.0000
2018-04-18,71.2000,71.2000,71.0000,71.0000,70.0227,905,0.0000,1.0000
2018-04-17,70.7700,70.8750,70.7500,70.7500,69.7761,44194,0.0000,1.0000
2018-04-16,70.7975,71.2040,70.7600,70.7600,69.7860,861,0.0000,1.0000
2018-04-13,70.8500,71.4287,70.8500,70.8500,69.8747,13939,0.0000,1.0000
2018-04-12,70.8000,71.0000,70.7400,70.8600,69.8846,33099,0.0000,1.0000
2018-04-11,70.9999,70.9999,70.7600,70.7600,69.7860,2355,0.0000,1.0000
2018-04-10,70.5000,71.4400,70.3100,70.9900,70.0128,73353,0.0000,1.0000
2018-04-09,70.5000,70.7200,70.3000,70.5000,69.5295,26844,0.0000,1.0000
2018-04-06,70.2900,70.3000,70.0000,70.1000,69.1350,14680,0.0000,1.0000
2018-04-05,69.8500,70.2500,69.8500,70.2500,69.2830,88440,0.0000,1.0000
2018-04-04,70.0000,70.1500,69.7600,69.9500,68.9871,83958,0.0000,1.0000
2018-04-03,69.6900,69.9500,69.3700,69.9500,68.9871,3154,0.0000,1.0000
2018-04-02,69.6600,69.6600,69.6600,69.6600,68.7011,25,0.0000,1.0000
