timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,6.9500,6.9500,6.9000,6.9000,6.9000,9645,0.0000,1.0000
2018-08-13,7.0200,7.0200,6.8610,6.8700,6.8700,49137,0.0000,1.0000
2018-08-10,7.0750,7.0750,7.0201,7.0210,7.0210,6279,0.0000,1.0000
2018-08-09,7.1190,7.1190,7.0732,7.0800,7.0800,3752,0.0000,1.0000
2018-08-08,7.0455,7.0700,7.0455,7.0700,7.0700,3950,0.0000,1.0000
2018-08-07,7.0000,7.0642,7.0000,7.0435,7.0435,10965,0.0000,1.0000
2018-08-06,7.0700,7.0700,7.0201,7.0369,7.0369,7616,0.0000,1.0000
2018-08-03,6.9600,7.1490,6.9500,7.0700,7.0700,7467,0.0000,1.0000
2018-08-02,7.0700,7.0768,7.0210,7.0299,7.0299,8440,0.0000,1.0000
2018-08-01,7.1000,7.1154,7.0700,7.0700,7.0700,7336,0.0000,1.0000
2018-07-31,7.1200,7.1358,7.0900,7.1358,7.1358,9546,0.0000,1.0000
2018-07-30,7.1140,7.1300,7.0910,7.1010,7.1010,32937,0.0000,1.0000
2018-07-27,7.1060,7.1300,7.1011,7.1164,7.1164,4298,0.0000,1.0000
2018-07-26,7.1500,7.1500,7.0701,7.0780,7.0780,14313,0.0000,1.0000
2018-07-25,7.2000,7.2000,7.1220,7.1500,7.1500,5556,0.0000,1.0000
2018-07-24,7.0800,7.1492,7.0700,7.0800,7.0800,10280,0.0000,1.0000
2018-07-23,7.1200,7.1200,7.0549,7.0600,7.0600,9626,0.0000,1.0000
2018-07-20,7.0700,7.1400,7.0700,7.1200,7.1200,7863,0.0000,1.0000
2018-07-19,7.0800,7.0800,7.0110,7.0500,7.0500,22788,0.0630,1.0000
2018-07-18,7.1900,7.2200,7.1400,7.1902,7.1265,13297,0.0000,1.0000
2018-07-17,7.2600,7.2600,7.2052,7.2100,7.1461,20406,0.0000,1.0000
2018-07-16,7.3600,7.3600,7.2800,7.2950,7.2304,18966,0.0000,1.0000
2018-07-13,7.3500,7.3500,7.2900,7.3098,7.2451,8532,0.0000,1.0000
2018-07-12,7.4000,7.4000,7.3500,7.3800,7.3146,6109,0.0000,1.0000
2018-07-11,7.4100,7.4168,7.3200,7.3290,7.2641,20172,0.0000,1.0000
2018-07-10,7.4325,7.4425,7.4301,7.4400,7.3741,9661,0.0000,1.0000
2018-07-09,7.5000,7.5000,7.4301,7.4400,7.3741,9133,0.0000,1.0000
2018-07-06,7.4027,7.4200,7.3900,7.4100,7.3444,27905,0.0000,1.0000
2018-07-05,7.3800,7.4280,7.3800,7.4250,7.3592,18479,0.0000,1.0000
2018-07-03,7.3700,7.4200,7.3700,7.4000,7.3345,8309,0.0000,1.0000
2018-07-02,7.3650,7.4071,7.3100,7.3348,7.2698,12789,0.0000,1.0000
2018-06-29,7.4500,7.4800,7.4414,7.4414,7.3755,6635,0.0000,1.0000
2018-06-28,7.3900,7.4100,7.3680,7.3900,7.3245,29266,0.0000,1.0000
2018-06-27,7.5100,7.5100,7.4000,7.4280,7.3622,10056,0.0000,1.0000
2018-06-26,7.5332,7.5400,7.5100,7.5100,7.4435,9711,0.0000,1.0000
2018-06-25,7.5900,7.5900,7.5291,7.5349,7.4682,5302,0.0000,1.0000
2018-06-22,7.5300,7.5924,7.5300,7.5850,7.5178,7106,0.0000,1.0000
2018-06-21,7.5500,7.5500,7.5100,7.5378,7.4710,15526,0.0000,1.0000
2018-06-20,7.5400,7.5400,7.5200,7.5300,7.4633,1423,0.0000,1.0000
2018-06-19,7.5700,7.5700,7.5100,7.5507,7.4838,12905,0.0510,1.0000
2018-06-18,7.6400,7.6890,7.6300,7.6600,7.5412,28812,0.0000,1.0000
2018-06-15,7.8700,7.8700,7.6700,7.7076,7.5881,26932,0.0000,1.0000
2018-06-14,7.8800,7.9100,7.8753,7.9062,7.7836,19460,0.0000,1.0000
2018-06-13,7.7900,7.8648,7.7900,7.8400,7.7184,11199,0.0000,1.0000
2018-06-12,7.8100,7.8100,7.7720,7.7800,7.6594,2836,0.0000,1.0000
2018-06-11,7.6800,7.8070,7.6800,7.8020,7.6810,5942,0.0000,1.0000
2018-06-08,7.6800,7.7460,7.6800,7.7300,7.6101,8283,0.0000,1.0000
2018-06-07,7.6600,7.7936,7.6600,7.7300,7.6101,21260,0.0000,1.0000
2018-06-06,7.6500,7.7200,7.6000,7.7100,7.5904,20646,0.0000,1.0000
2018-06-05,7.6138,7.6500,7.6100,7.6438,7.5253,26507,0.0000,1.0000
2018-06-04,7.6100,7.6300,7.5701,7.5701,7.4527,6270,0.0000,1.0000
2018-06-01,7.6100,7.6300,7.5800,7.5800,7.4625,8158,0.0000,1.0000
2018-05-31,7.6450,7.6680,7.5902,7.5902,7.4725,4044,0.0000,1.0000
2018-05-30,7.6122,7.6454,7.6122,7.6300,7.5117,7381,0.0000,1.0000
2018-05-29,7.5600,7.6300,7.5600,7.5979,7.4801,14339,0.0000,1.0000
2018-05-25,7.6800,7.6800,7.6210,7.6216,7.5034,2866,0.0000,1.0000
2018-05-24,7.6300,7.6908,7.6201,7.6201,7.5019,14078,0.0000,1.0000
