timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,38.8400,39.7000,38.0000,39.4000,39.4000,16271,0.1300,1.0000
2018-08-13,38.6200,39.4800,38.5000,38.6500,38.5229,8642,0.0000,1.0000
2018-08-10,39.1705,39.4400,39.0400,39.0800,38.9515,9946,0.0000,1.0000
2018-08-09,39.2200,39.4200,38.6300,39.1300,39.0013,13356,0.0000,1.0000
2018-08-08,39.1500,39.7100,39.1500,39.2600,39.1309,17094,0.0000,1.0000
2018-08-07,39.4600,39.5548,39.2000,39.3000,39.1708,4865,0.0000,1.0000
2018-08-06,39.4900,39.4900,39.1550,39.2500,39.1209,5333,0.0000,1.0000
2018-08-03,39.6500,39.7500,39.0751,39.2200,39.0910,14719,0.0000,1.0000
2018-08-02,39.1500,39.7500,38.9500,39.4700,39.3402,8264,0.0000,1.0000
2018-08-01,39.5900,39.7500,39.4000,39.4000,39.2704,2653,0.0000,1.0000
2018-07-31,39.4500,39.9000,39.4500,39.6400,39.5096,14709,0.0000,1.0000
2018-07-30,39.8000,39.9700,39.6650,39.7700,39.6392,20775,0.0000,1.0000
2018-07-27,40.0000,40.0000,39.5000,39.5400,39.4100,7665,0.0000,1.0000
2018-07-26,39.9000,40.0000,39.8000,39.8000,39.6691,10485,0.0000,1.0000
2018-07-25,39.5700,40.0000,39.5700,39.8000,39.6691,3399,0.0000,1.0000
2018-07-24,40.0000,40.0000,39.7900,39.7900,39.6591,3603,0.0000,1.0000
2018-07-23,39.8500,40.0000,39.3100,39.9900,39.8585,6068,0.0000,1.0000
2018-07-20,39.7000,39.8900,39.4100,39.8600,39.7289,8497,0.0000,1.0000
2018-07-19,39.7400,39.9500,39.5300,39.5500,39.4199,3815,0.0000,1.0000
2018-07-18,39.8800,39.8800,39.5900,39.5900,39.4598,4987,0.0000,1.0000
2018-07-17,39.7800,40.0000,39.6900,39.6900,39.5595,26705,0.0000,1.0000
2018-07-16,39.2900,39.8900,39.2200,39.6000,39.4698,6573,0.0000,1.0000
2018-07-13,39.6000,39.6700,39.4000,39.4000,39.2704,5274,0.0000,1.0000
2018-07-12,39.9100,39.9100,39.1500,39.5000,39.3701,5481,0.0000,1.0000
2018-07-11,39.9400,39.9400,39.5433,39.6700,39.5395,4890,0.0000,1.0000
2018-07-10,40.0000,40.0000,38.6400,39.9000,39.7688,8998,0.0000,1.0000
2018-07-09,39.9100,39.9500,39.5300,39.9100,39.7788,7626,0.0000,1.0000
2018-07-06,39.5600,39.9500,39.5600,39.9100,39.7788,6872,0.0000,1.0000
2018-07-05,39.7500,39.9500,39.2800,39.9000,39.7688,10185,0.0000,1.0000
2018-07-03,39.7250,39.9475,39.5900,39.8700,39.7389,3173,0.0000,1.0000
2018-07-02,38.9200,39.9500,38.9200,39.8800,39.7488,14039,0.0000,1.0000
2018-06-29,39.5600,39.5600,38.8000,39.0200,38.8917,7703,0.0000,1.0000
2018-06-28,39.3400,39.7300,38.1810,39.5100,39.3801,9703,0.0000,1.0000
2018-06-27,39.0100,39.6000,39.0100,39.2400,39.1110,9593,0.0000,1.0000
2018-06-26,38.6190,41.4900,38.6110,39.7500,39.6193,29385,0.0000,1.0000
2018-06-25,39.3800,40.5000,38.9400,39.8100,39.6791,31824,0.0000,1.0000
2018-06-22,39.1000,40.0000,38.4700,39.9000,39.7688,117501,0.0000,1.0000
2018-06-21,39.2300,39.5000,38.9600,39.1200,38.9913,8618,0.0000,1.0000
2018-06-20,39.0000,39.5000,38.8700,39.2600,39.1309,16161,0.0000,1.0000
2018-06-19,38.9000,39.9700,38.8600,39.1000,38.9714,10393,0.0000,1.0000
2018-06-18,38.0500,39.0000,36.1010,38.9700,38.8418,19824,0.0000,1.0000
2018-06-15,37.6200,38.5300,36.6600,37.9500,37.8252,36456,0.0000,1.0000
2018-06-14,36.8730,37.8500,36.8730,37.8100,37.6857,9724,0.0000,1.0000
2018-06-13,37.5600,37.8000,37.1000,37.6500,37.5262,7459,0.0000,1.0000
2018-06-12,37.1400,37.3600,37.1400,37.2400,37.1175,4732,0.0000,1.0000
2018-06-11,37.3300,37.6500,37.0000,37.1400,37.0179,9279,0.0000,1.0000
2018-06-08,37.3400,37.5000,36.8400,37.3000,37.1773,6540,0.0000,1.0000
2018-06-07,37.0000,37.5000,36.9700,37.2800,37.1574,9725,0.0000,1.0000
2018-06-06,36.7900,37.1500,36.7500,36.9300,36.8086,6032,0.0000,1.0000
2018-06-05,36.6800,37.1200,36.5300,36.6700,36.5494,13107,0.0000,1.0000
2018-06-04,36.7500,37.3857,36.1000,36.6200,36.4996,10263,0.0000,1.0000
2018-06-01,35.8450,36.9500,35.7400,36.9500,36.8285,9854,0.0000,1.0000
2018-05-31,36.6000,36.7800,36.1068,36.5600,36.4398,7602,0.0000,1.0000
2018-05-30,36.9900,37.2400,36.3800,36.3900,36.2703,15928,0.0000,1.0000
2018-05-29,36.9234,37.0000,35.4000,36.8800,36.7587,11202,0.0000,1.0000
2018-05-25,36.8000,36.8000,35.8884,36.4000,36.2803,5063,0.0000,1.0000
2018-05-24,35.4600,35.7900,35.3401,35.5000,35.3833,9705,0.0000,1.0000
2018-05-23,35.3000,35.5000,35.2900,35.4600,35.3434,49824,0.0000,1.0000
2018-05-22,35.4000,35.5050,35.2400,35.3000,35.1839,2811,0.0000,1.0000
