timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,5.1500,5.3500,5.1500,5.3500,5.3500,60870,0.0000,1.0000
2018-08-13,5.0500,5.1500,4.8050,5.1500,5.1500,19173,0.0000,1.0000
2018-08-10,5.0500,5.0500,5.0450,5.0450,5.0450,538,0.0000,1.0000
2018-08-09,5.0500,5.1000,5.0500,5.0500,5.0500,3111,0.0000,1.0000
2018-08-08,5.0500,5.0900,5.0500,5.0500,5.0500,3607,0.0000,1.0000
2018-08-07,5.1500,5.1950,5.0406,5.0500,5.0500,2769,0.0000,1.0000
2018-08-06,5.1000,5.2000,5.0500,5.1000,5.1000,6895,0.0000,1.0000
2018-08-03,5.2000,5.2000,5.1000,5.1000,5.1000,4008,0.0000,1.0000
2018-08-02,5.2500,5.2500,5.1000,5.1500,5.1500,5534,0.0000,1.0000
2018-08-01,5.2343,5.2343,5.2343,5.2343,5.2343,494,0.0000,1.0000
2018-07-31,5.2000,5.2500,5.1500,5.1500,5.1500,11151,0.0000,1.0000
2018-07-30,5.3000,5.3000,5.2000,5.2000,5.2000,6393,0.0000,1.0000
2018-07-27,5.2750,5.3500,5.2000,5.3000,5.3000,3698,0.0000,1.0000
2018-07-26,5.2500,5.3500,5.2500,5.3500,5.3500,3285,0.0000,1.0000
2018-07-25,5.2500,5.3500,5.2500,5.3500,5.3500,4500,0.0000,1.0000
2018-07-24,5.2000,5.3500,5.2000,5.2500,5.2500,1024,0.0000,1.0000
2018-07-23,5.2000,5.3000,5.2000,5.2000,5.2000,1749,0.0000,1.0000
2018-07-20,5.3450,5.3450,5.2000,5.2500,5.2500,8483,0.0000,1.0000
2018-07-19,5.3500,5.3500,5.2500,5.3000,5.3000,10880,0.0000,1.0000
2018-07-18,5.3000,5.3500,5.2501,5.3500,5.3500,4339,0.0000,1.0000
2018-07-17,5.3500,5.3500,5.3500,5.3500,5.3500,269,0.0000,1.0000
2018-07-16,5.3000,5.3500,5.3000,5.3500,5.3500,6223,0.0000,1.0000
2018-07-13,5.1500,5.2400,5.1500,5.2355,5.2355,4278,0.0000,1.0000
2018-07-12,5.2250,5.2500,5.1000,5.2500,5.2500,13068,0.0000,1.0000
2018-07-11,5.2500,5.2643,5.2100,5.2500,5.2500,1708,0.0000,1.0000
2018-07-10,5.4000,5.4050,5.2100,5.3000,5.3000,8730,0.0000,1.0000
2018-07-09,5.3000,5.4250,5.3000,5.3999,5.3999,8860,0.0000,1.0000
2018-07-06,5.3000,5.4450,5.2500,5.3500,5.3500,2565,0.0000,1.0000
2018-07-05,5.3500,5.3550,5.2000,5.2000,5.2000,4551,0.0000,1.0000
2018-07-03,5.3000,5.3500,5.3000,5.3500,5.3500,844,0.0000,1.0000
2018-07-02,5.2000,5.5000,5.2000,5.3500,5.3500,12347,0.0000,1.0000
2018-06-29,5.1883,5.2000,5.1500,5.2000,5.2000,3386,0.0000,1.0000
2018-06-28,5.2250,5.2250,5.1500,5.1500,5.1500,5736,0.0000,1.0000
2018-06-27,5.1500,5.2000,5.0950,5.2000,5.2000,2431,0.0000,1.0000
2018-06-26,5.2500,5.2500,4.9500,5.2000,5.2000,23307,0.0000,1.0000
2018-06-25,5.3000,5.3500,5.3000,5.3000,5.3000,3184,0.0000,1.0000
2018-06-22,5.3785,5.4000,5.3000,5.4000,5.4000,4693,0.0000,1.0000
2018-06-21,5.4088,5.4088,5.3643,5.4000,5.4000,3722,0.0000,1.0000
2018-06-20,5.4000,5.4500,5.4000,5.4500,5.4500,3671,0.0000,1.0000
2018-06-19,5.3500,5.4500,5.3500,5.4000,5.4000,9733,0.0000,1.0000
2018-06-18,5.3000,5.4500,5.3000,5.4500,5.4500,4868,0.0000,1.0000
2018-06-15,5.2998,5.4500,5.2998,5.4500,5.4500,7044,0.0000,1.0000
2018-06-14,5.3498,5.3498,5.3300,5.3300,5.3300,576,0.0000,1.0000
2018-06-13,5.2842,5.3250,5.2842,5.3050,5.3050,4821,0.0000,1.0000
2018-06-12,5.2840,5.3450,5.2500,5.3450,5.3450,7972,0.0000,1.0000
2018-06-11,5.3000,5.3500,5.3000,5.3000,5.3000,7905,0.0000,1.0000
2018-06-08,5.3050,5.3500,5.2500,5.2500,5.2500,4074,0.0000,1.0000
2018-06-07,5.3000,5.4000,5.3000,5.4000,5.4000,6387,0.0000,1.0000
2018-06-06,5.3000,5.4000,5.3000,5.3500,5.3500,7132,0.0000,1.0000
2018-06-05,5.2000,5.3500,5.2000,5.2500,5.2500,9809,0.0000,1.0000
2018-06-04,5.3230,5.3230,5.2500,5.2500,5.2500,4105,0.0000,1.0000
2018-06-01,5.4000,5.4000,5.2500,5.3500,5.3500,6612,0.0000,1.0000
2018-05-31,5.3537,5.4000,5.3500,5.3500,5.3500,3537,0.0000,1.0000
2018-05-30,5.5000,5.5000,5.3000,5.3000,5.3000,32905,0.0000,1.0000
2018-05-29,5.5000,5.5000,5.4050,5.5000,5.5000,7473,0.0000,1.0000
