timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,17.3200,17.7700,17.2700,17.7100,17.7100,63469,0.0000,1.0000
2018-08-13,17.3300,17.4300,17.2500,17.3200,17.3200,28182,0.0000,1.0000
2018-08-10,17.3200,17.4000,17.2700,17.3100,17.3100,19899,0.0800,1.0000
2018-08-09,17.5400,17.6100,17.3500,17.4000,17.3200,14478,0.0000,1.0000
2018-08-08,17.4700,17.6200,17.3600,17.5300,17.4494,20562,0.0000,1.0000
2018-08-07,17.5000,17.5800,17.3500,17.4400,17.3598,21365,0.0000,1.0000
2018-08-06,17.4300,17.5900,17.3500,17.5000,17.4195,32800,0.0000,1.0000
2018-08-03,17.4800,17.5700,17.3500,17.4100,17.3299,34176,0.0000,1.0000
2018-08-02,17.4900,17.5400,17.3975,17.5100,17.4294,34625,0.0000,1.0000
2018-08-01,17.5400,17.7100,17.3900,17.5400,17.4593,24604,0.0000,1.0000
2018-07-31,17.3700,17.6200,17.0900,17.5400,17.4593,76706,0.0000,1.0000
2018-07-30,16.7100,17.4000,16.7100,17.3200,17.2403,43138,0.0000,1.0000
2018-07-27,17.1200,17.1700,16.4200,16.6600,16.5834,70144,0.0000,1.0000
2018-07-26,17.1700,17.3100,17.0700,17.1300,17.0512,11962,0.0000,1.0000
2018-07-25,17.3400,17.4000,16.9500,17.0900,17.0114,22500,0.0000,1.0000
2018-07-24,17.5000,17.5000,17.2500,17.3500,17.2702,30231,0.0000,1.0000
2018-07-23,17.4200,17.5000,17.3050,17.4900,17.4095,77277,0.0000,1.0000
2018-07-20,17.3700,17.5340,17.3400,17.4100,17.3299,33409,0.0000,1.0000
2018-07-19,17.2400,17.4000,17.2200,17.3800,17.3000,41937,0.0000,1.0000
2018-07-18,17.1200,17.2900,17.0700,17.2700,17.1906,31330,0.0000,1.0000
2018-07-17,17.2000,17.2998,17.0600,17.1100,17.0313,53545,0.0000,1.0000
2018-07-16,17.2100,17.3200,17.1300,17.2300,17.1507,20640,0.0000,1.0000
2018-07-13,17.3500,17.3700,17.1600,17.1800,17.1010,20784,0.0000,1.0000
2018-07-12,17.6000,17.6600,17.2300,17.4000,17.3200,36807,0.0000,1.0000
