timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,35.0000,35.0000,28.0000,32.4900,32.4900,134939,0.0000,1.0000
2018-08-13,33.7000,36.0000,32.7500,33.1300,33.1300,85473,0.0000,1.0000
2018-08-10,30.7900,33.8500,24.6300,33.5100,33.5100,77660,0.0000,1.0000
2018-08-09,28.3900,31.5000,27.6600,30.8000,30.8000,42592,0.0000,1.0000
2018-08-08,26.0000,29.0800,26.0000,28.4200,28.4200,81263,0.0000,1.0000
2018-08-07,25.7500,29.6700,24.7550,26.0000,26.0000,20434,0.0000,1.0000
2018-08-06,24.6000,25.8800,24.5500,25.8000,25.8000,71304,0.0000,1.0000
2018-08-03,24.5100,25.2000,23.9505,24.6000,24.6000,24385,0.0000,1.0000
2018-08-02,26.0800,26.5100,24.3000,24.3200,24.3200,100621,0.0000,1.0000
2018-08-01,24.9600,27.0500,24.9600,26.0700,26.0700,61954,0.0000,1.0000
2018-07-31,25.6200,26.1000,24.9500,24.9500,24.9500,84154,0.0000,1.0000
2018-07-30,25.5600,26.5400,25.3279,25.5400,25.5400,50127,0.0000,1.0000
2018-07-27,26.1400,26.9900,25.2550,25.7000,25.7000,16924,0.0000,1.0000
2018-07-26,26.1100,27.2500,25.2850,25.9200,25.9200,65988,0.0000,1.0000
2018-07-25,26.3800,26.7500,25.8500,25.9200,25.9200,137786,0.0000,1.0000
2018-07-24,26.7900,27.0000,25.7300,26.1700,26.1700,140990,0.0000,1.0000
2018-07-23,26.2500,26.9800,25.8400,26.0200,26.0200,45195,0.0000,1.0000
2018-07-20,26.2400,26.8000,25.4400,26.2500,26.2500,35722,0.0000,1.0000
2018-07-19,26.8500,27.7700,26.1050,26.5300,26.5300,26542,0.0000,1.0000
2018-07-18,26.7500,27.5140,25.2969,26.8600,26.8600,105567,0.0000,1.0000
2018-07-17,27.0000,28.0300,26.4700,26.8000,26.8000,126805,0.0000,1.0000
2018-07-16,25.0000,27.4500,25.0000,27.2900,27.2900,115643,0.0000,1.0000
2018-07-13,26.1900,26.1900,24.8600,24.9900,24.9900,29822,0.0000,1.0000
2018-07-12,25.6150,26.4500,25.5550,25.7700,25.7700,31363,0.0000,1.0000
2018-07-11,26.0000,26.3200,25.3100,26.1400,26.1400,81192,0.0000,1.0000
2018-07-10,26.9800,26.9800,25.1200,26.1200,26.1200,218454,0.0000,1.0000
2018-07-09,25.5100,26.0300,24.5000,25.1100,25.1100,139093,0.0000,1.0000
2018-07-06,26.3100,27.3900,24.6800,25.5000,25.5000,116177,0.0000,1.0000
2018-07-05,27.1200,27.9900,24.7400,25.8800,25.8800,108597,0.0000,1.0000
2018-07-03,26.8700,27.0300,24.5300,26.9600,26.9600,89742,0.0000,1.0000
2018-07-02,26.0300,28.0000,24.1000,26.4100,26.4100,126336,0.0000,1.0000
2018-06-29,26.7700,27.9490,25.0000,26.6100,26.6100,164823,0.0000,1.0000
2018-06-28,25.0000,29.8400,23.9600,27.7800,27.7800,2503321,0.0000,1.0000
