timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-13,1.2000,1.2000,1.1953,1.1953,1.1953,3600,0.0000,1.0000
2018-08-06,1.1100,1.1100,1.1100,1.1100,1.1100,2133,0.0000,1.0000
2018-07-31,1.1474,1.1500,1.1474,1.1500,1.1500,7800,0.0000,1.0000
2018-07-24,1.1000,1.1200,1.1000,1.1200,1.1200,4633,0.0000,1.0000
2018-07-20,1.1001,1.1500,1.1000,1.1500,1.1500,6800,0.0000,1.0000
2018-07-17,1.0500,1.0900,1.0500,1.0900,1.0900,9300,0.0000,1.0000
2018-07-12,1.0700,1.0700,1.0500,1.0500,1.0500,4800,0.0000,1.0000
2018-06-18,1.0500,1.0500,1.0500,1.0500,1.0500,50000,0.0000,1.0000
2018-06-15,1.0000,1.0000,1.0000,1.0000,1.0000,100,0.0000,1.0000
2018-06-01,1.1400,1.1400,1.0500,1.0500,1.0500,214300,0.0000,1.0000
2018-05-23,1.1500,1.1500,1.1500,1.1500,1.1500,5000,0.0000,1.0000
2018-05-15,1.2000,1.2000,1.2000,1.2000,1.2000,212,0.0000,1.0000
2018-05-14,1.3600,1.3600,1.2000,1.2000,1.2000,808,0.0000,1.0000
2018-05-11,1.0010,1.3000,1.0000,1.2862,1.2862,22900,0.0000,1.0000
2018-05-10,1.1500,1.1500,1.1500,1.1500,1.1500,11000,0.0000,1.0000
2018-05-08,1.1300,1.1300,1.1300,1.1300,1.1300,25000,0.0000,1.0000
2018-05-07,0.9500,1.1300,0.9500,1.1300,1.1300,29884,0.0000,1.0000
2018-05-04,1.0000,1.0000,1.0000,1.0000,1.0000,417812,0.0000,1.0000
2018-04-13,1.0000,1.0000,0.9900,1.0000,1.0000,5300,0.0000,1.0000
2018-04-05,0.9500,0.9568,0.9500,0.9500,0.9500,14800,0.0000,1.0000
2018-03-23,0.9500,0.9500,0.9500,0.9500,0.9500,100,0.0000,1.0000
2018-03-22,1.0000,1.0000,0.9500,0.9500,0.9500,10100,0.0000,1.0000
2018-03-21,0.8500,1.0000,0.8500,0.9200,0.9200,10100,0.0000,1.0000
2018-03-14,0.8300,0.8300,0.8300,0.8300,0.8300,4490,0.0000,1.0000
2018-02-28,0.7800,0.8300,0.7800,0.7800,0.7800,21400,0.0000,1.0000
2018-02-23,0.7600,0.7600,0.7600,0.7600,0.7600,100,0.0000,1.0000
2018-02-21,0.7700,0.7700,0.7700,0.7700,0.7700,6500,0.0000,1.0000
2018-02-14,0.7800,0.7800,0.7800,0.7800,0.7800,100,0.0000,1.0000
2018-02-13,0.6000,0.7800,0.6000,0.7800,0.7800,500,0.0000,1.0000
2018-02-05,0.8300,0.8300,0.8000,0.8000,0.8000,5400,0.0000,1.0000
2018-02-02,0.8300,0.8300,0.7698,0.7698,0.7698,25700,0.0000,1.0000
2018-01-29,0.7700,0.8300,0.7700,0.8300,0.8300,35400,0.0000,1.0000
2018-01-24,0.7900,0.7900,0.7900,0.7900,0.7900,600,0.0000,1.0000
2018-01-23,0.7400,0.8500,0.7400,0.8500,0.8500,8100,0.0000,1.0000
2018-01-22,0.8300,0.8300,0.8300,0.8300,0.8300,10,0.0000,1.0000
2018-01-18,0.8500,0.8500,0.8092,0.8300,0.8300,10500,0.0000,1.0000
2018-01-12,0.8000,0.8000,0.8000,0.8000,0.8000,1000,0.0000,1.0000
2018-01-11,0.7000,0.8000,0.7000,0.8000,0.8000,156600,0.0000,1.0000
2018-01-10,0.7600,0.7600,0.6100,0.6200,0.6200,10200,0.0000,1.0000
