timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,23.4600,24.0000,23.1957,23.7700,23.7700,67639,0.0000,1.0000
2018-08-13,23.8500,24.0000,23.1100,23.5000,23.5000,69777,0.0000,1.0000
2018-08-10,23.5800,23.9000,23.5800,23.7200,23.7200,78609,0.0000,1.0000
2018-08-09,22.7700,24.8400,22.7700,23.8400,23.8400,111774,0.0000,1.0000
2018-08-08,23.9600,24.0000,23.1328,24.0000,24.0000,89740,0.0000,1.0000
2018-08-07,23.9600,24.6350,23.1700,23.8200,23.8200,27287,0.0000,1.0000
2018-08-06,23.6500,24.8000,23.4900,23.8700,23.8700,134529,0.0000,1.0000
2018-08-03,22.3100,23.7500,22.0500,23.5500,23.5500,56109,0.0000,1.0000
2018-08-02,22.7900,25.8900,22.0000,22.5000,22.5000,279640,0.0000,1.0000
2018-08-01,23.8600,23.9200,21.8700,22.9700,22.9700,126058,0.0000,1.0000
2018-07-31,22.5900,24.0000,22.0000,23.6500,23.6500,152048,0.0000,1.0000
2018-07-30,23.4700,24.0000,23.0000,23.1800,23.1800,126568,0.0000,1.0000
2018-07-27,25.5000,26.0000,23.0000,24.3600,24.3600,194548,0.0000,1.0000
2018-07-26,26.7700,27.5600,25.0600,26.2200,26.2200,291200,0.0000,1.0000
2018-07-25,27.1800,28.4850,26.5500,27.0600,27.0600,94712,0.0000,1.0000
2018-07-24,29.4500,29.8057,26.9400,27.1000,27.1000,44619,0.0000,1.0000
2018-07-23,28.4300,29.5300,26.5500,29.2500,29.2500,48916,0.0000,1.0000
2018-07-20,29.5100,30.7069,29.2600,29.5000,29.5000,75954,0.0000,1.0000
2018-07-19,29.2500,30.5700,28.1750,29.8900,29.8900,93215,0.0000,1.0000
2018-07-18,29.0000,29.4076,26.7700,28.8000,28.8000,137053,0.0000,1.0000
2018-07-17,29.3100,29.9990,27.3100,28.5700,28.5700,106474,0.0000,1.0000
2018-07-16,29.1000,30.3435,28.6550,29.0300,29.0300,125231,0.0000,1.0000
2018-07-13,30.6890,30.6890,28.5300,29.1000,29.1000,279957,0.0000,1.0000
2018-07-12,31.5800,32.5759,30.0000,30.8200,30.8200,48684,0.0000,1.0000
2018-07-11,32.8600,32.8600,30.8700,30.9900,30.9900,77214,0.0000,1.0000
2018-07-10,31.0700,33.2500,31.0050,32.8600,32.8600,71506,0.0000,1.0000
2018-07-09,30.7600,31.3600,30.0610,31.0700,31.0700,65104,0.0000,1.0000
2018-07-06,34.0100,34.7059,30.4100,30.5000,30.5000,234411,0.0000,1.0000
2018-07-05,34.0000,34.6500,33.0000,34.0100,34.0100,235536,0.0000,1.0000
2018-07-03,30.4100,34.8000,30.3700,32.9400,32.9400,426757,0.0000,1.0000
2018-07-02,29.4600,30.5000,29.0100,30.0100,30.0100,330108,0.0000,1.0000
2018-06-29,26.3100,31.0000,26.3100,29.9000,29.9000,665179,0.0000,1.0000
2018-06-28,25.0000,31.2000,24.7500,26.0000,26.0000,4009631,0.0000,1.0000
