timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.3000,0.3000,0.2968,0.3000,0.3000,43100,0.0000,1.0000
2018-08-13,0.3000,0.3000,0.3000,0.3000,0.3000,10000,0.0000,1.0000
2018-08-08,0.3500,0.3500,0.3300,0.3300,0.3300,10200,0.0000,1.0000
2018-08-07,0.3050,0.3500,0.3000,0.3491,0.3491,433100,0.0000,1.0000
2018-07-27,0.3100,0.3100,0.3000,0.3000,0.3000,125500,0.0000,1.0000
2018-07-26,0.3200,0.3200,0.3200,0.3200,0.3200,685300,0.0000,1.0000
2018-07-25,0.3300,0.3300,0.3200,0.3280,0.3280,105000,0.0000,1.0000
2018-07-20,0.3300,0.3400,0.3300,0.3300,0.3300,39900,0.0000,1.0000
2018-07-19,0.3300,0.3300,0.3300,0.3300,0.3300,30000,0.0000,1.0000
2018-07-18,0.3300,0.3300,0.3300,0.3300,0.3300,117000,0.0000,1.0000
2018-07-17,0.3300,0.3300,0.3300,0.3300,0.3300,100,0.0000,1.0000
2018-07-16,0.3300,0.3300,0.3300,0.3300,0.3300,171900,0.0000,1.0000
2018-07-13,0.3300,0.3300,0.3284,0.3300,0.3300,54000,0.0000,1.0000
2018-07-12,0.3300,0.3305,0.3300,0.3300,0.3300,85400,0.0000,1.0000
2018-07-11,0.3400,0.3400,0.3400,0.3400,0.3400,3000,0.0000,1.0000
2018-07-10,0.3300,0.3500,0.3203,0.3500,0.3500,12880,0.0000,1.0000
2018-07-06,0.3300,0.3300,0.3100,0.3300,0.3300,11255,0.0000,1.0000
2018-07-05,0.3300,0.3300,0.3300,0.3300,0.3300,58600,0.0000,1.0000
2018-07-03,0.3500,0.3500,0.3500,0.3500,0.3500,27000,0.0000,1.0000
2018-07-02,0.3300,0.3300,0.3300,0.3300,0.3300,15000,0.0000,1.0000
2018-06-28,0.3000,0.3200,0.3000,0.3200,0.3200,8000,0.0000,1.0000
2018-06-27,0.3301,0.3301,0.3300,0.3300,0.3300,55000,0.0000,1.0000
2018-06-26,0.3300,0.3300,0.3300,0.3300,0.3300,282000,0.0000,1.0000
2018-06-25,0.3200,0.3200,0.3200,0.3200,0.3200,2100,0.0000,1.0000
2018-06-21,0.3500,0.3500,0.3500,0.3500,0.3500,500,0.0000,1.0000
2018-06-20,0.3500,0.3500,0.3200,0.3500,0.3500,15800,0.0000,1.0000
2018-06-19,0.3500,0.3500,0.3144,0.3500,0.3500,346900,0.0000,1.0000
2018-06-18,0.3122,0.3500,0.3122,0.3500,0.3500,325400,0.0000,1.0000
2018-06-15,0.3240,0.3500,0.3240,0.3500,0.3500,20200,0.0000,1.0000
2018-06-14,0.3600,0.3600,0.3600,0.3600,0.3600,90000,0.0000,1.0000
2018-06-13,0.3600,0.3700,0.3400,0.3400,0.3400,1971750,0.0000,1.0000
