timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,9.8100,9.8100,9.8100,9.8100,9.8100,26,0.0000,1.0000
2018-08-13,9.7800,9.8100,9.7800,9.8100,9.8100,100131,0.0000,1.0000
2018-08-10,9.8299,9.8300,9.8000,9.8000,9.8000,20489,0.0000,1.0000
2018-08-09,9.8196,9.8200,9.8000,9.8000,9.8000,19225,0.0000,1.0000
2018-08-08,9.8000,9.8000,9.7950,9.8000,9.8000,325271,0.0000,1.0000
2018-08-07,9.8000,9.8100,9.8000,9.8000,9.8000,91419,0.0000,1.0000
2018-08-06,9.8000,9.8000,9.8000,9.8000,9.8000,600216,0.0000,1.0000
2018-08-03,9.7810,9.8100,9.7500,9.8000,9.8000,496400,0.0000,1.0000
2018-08-02,9.7800,9.7840,9.7800,9.7840,9.7840,16275,0.0000,1.0000
2018-08-01,9.7800,9.7900,9.7700,9.7900,9.7900,408325,0.0000,1.0000
2018-07-31,9.7900,9.7900,9.7700,9.7868,9.7868,32550,0.0000,1.0000
2018-07-30,9.7900,9.7900,9.7899,9.7899,9.7899,4100,0.0000,1.0000
2018-07-27,9.7900,9.7900,9.7700,9.7700,9.7700,25100,0.0000,1.0000
2018-07-26,9.7700,9.7900,9.7700,9.7900,9.7900,166500,0.0000,1.0000
2018-07-25,9.8000,9.8000,9.7999,9.8000,9.8000,6625,0.0000,1.0000
2018-07-24,9.8000,9.8000,9.8000,9.8000,9.8000,2388,0.0000,1.0000
2018-07-23,9.7801,9.8000,9.7801,9.8000,9.8000,10150,0.0000,1.0000
2018-07-20,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,1.0000
2018-07-19,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,1.0000
2018-07-18,9.7999,9.7999,9.7999,9.7999,9.7999,50,0.0000,1.0000
2018-07-17,9.7999,9.7999,9.7999,9.7999,9.7999,2050,0.0000,1.0000
2018-07-16,9.8200,9.8200,9.8200,9.8200,9.8200,11001,0.0000,1.0000
2018-07-13,9.7900,9.7900,9.7700,9.7900,9.7900,31802,0.0000,1.0000
2018-07-12,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,1.0000
2018-07-11,9.7700,9.7900,9.7700,9.7900,9.7900,41932,0.0000,1.0000
2018-07-10,9.7900,9.8000,9.7900,9.8000,9.8000,414314,0.0000,1.0000
2018-07-09,9.7884,9.7884,9.7884,9.7884,9.7884,0,0.0000,1.0000
2018-07-06,9.7884,9.7884,9.7884,9.7884,9.7884,0,0.0000,1.0000
2018-07-05,9.7700,9.7884,9.7700,9.7884,9.7884,5661,0.0000,1.0000
2018-07-03,9.7900,9.7900,9.7700,9.7700,9.7700,42900,0.0000,1.0000
2018-07-02,9.7500,9.7700,9.7500,9.7700,9.7700,73700,0.0000,1.0000
2018-06-29,9.7700,9.7700,9.7700,9.7700,9.7700,143000,0.0000,1.0000
2018-06-28,9.7800,9.7800,9.7800,9.7800,9.7800,625,0.0000,1.0000
2018-06-27,9.7700,9.7700,9.7700,9.7700,9.7700,1400,0.0000,1.0000
2018-06-26,9.7700,9.7700,9.7700,9.7700,9.7700,1635214,0.0000,1.0000
2018-06-25,9.7800,9.7800,9.7500,9.7700,9.7700,700,0.0000,1.0000
2018-06-22,9.7700,9.7800,9.7700,9.7800,9.7800,110000,0.0000,1.0000
2018-06-21,9.7800,9.7800,9.7700,9.7799,9.7799,177225,0.0000,1.0000
2018-06-20,9.7790,9.7800,9.7601,9.7800,9.7800,35550,0.0000,1.0000
2018-06-19,9.7700,9.7700,9.7700,9.7700,9.7700,1100,0.0000,1.0000
2018-06-18,9.7500,9.7500,9.7400,9.7400,9.7400,204100,0.0000,1.0000
2018-06-14,9.7600,9.7700,9.7500,9.7500,9.7500,869050,0.0000,1.0000
2018-06-13,9.7600,9.7600,9.7300,9.7300,9.7300,25100,0.0000,1.0000
2018-06-12,9.7500,9.7500,9.7300,9.7500,9.7500,766500,0.0000,1.0000
2018-06-11,9.7400,9.7500,9.7400,9.7450,9.7450,38000,0.0000,1.0000
2018-06-08,9.7500,9.7500,9.7400,9.7400,9.7400,247400,0.0000,1.0000
2018-06-07,9.7200,9.7500,9.7200,9.7500,9.7500,450100,0.0000,1.0000
2018-06-06,9.7500,9.7500,9.7200,9.7500,9.7500,879300,0.0000,1.0000
2018-06-05,9.7500,9.7550,9.7500,9.7500,9.7500,22600,0.0000,1.0000
2018-06-01,9.7800,9.7800,9.7500,9.7600,9.7600,1496400,0.0000,1.0000
2018-05-31,9.7900,9.7900,9.7400,9.7400,9.7400,1560000,0.0000,1.0000
