timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.9578,0.9750,0.9211,0.9300,0.9300,644038,0.0000,1.0000
2018-08-13,0.9700,1.0000,0.9510,0.9735,0.9735,510320,0.0000,1.0000
2018-08-10,0.9973,1.0000,0.9605,0.9800,0.9800,353893,0.0000,1.0000
2018-08-09,1.0200,1.0500,0.9700,0.9847,0.9847,606630,0.0000,1.0000
2018-08-08,1.0500,1.0500,0.9800,0.9950,0.9950,391840,0.0000,1.0000
2018-08-07,1.0300,1.0500,1.0200,1.0300,1.0300,468814,0.0000,1.0000
2018-08-06,1.0400,1.0500,1.0200,1.0400,1.0400,498952,0.0000,1.0000
2018-08-03,1.0300,1.0400,1.0100,1.0200,1.0200,639465,0.0000,1.0000
2018-08-02,0.9900,1.0300,0.9600,1.0299,1.0299,968251,0.0000,1.0000
2018-08-01,0.9558,0.9797,0.9431,0.9700,0.9700,379084,0.0000,1.0000
2018-07-31,0.9697,1.0140,0.9300,0.9705,0.9705,594646,0.0000,1.0000
2018-07-30,0.9900,0.9900,0.9500,0.9727,0.9727,405392,0.0000,1.0000
2018-07-27,1.0000,1.0170,0.9400,0.9569,0.9569,812866,0.0000,1.0000
2018-07-26,1.0600,1.0700,0.9706,0.9899,0.9899,787428,0.0000,1.0000
2018-07-25,1.0000,1.0800,0.9600,1.0600,1.0600,1342112,0.0000,1.0000
2018-07-24,0.9708,1.1400,0.9700,1.0100,1.0100,5943446,0.0000,1.0000
2018-07-23,0.9000,0.9000,0.8706,0.8737,0.8737,326920,0.0000,1.0000
2018-07-20,0.9200,0.9399,0.8601,0.8790,0.8790,810638,0.0000,1.0000
2018-07-19,0.9650,0.9650,0.9100,0.9187,0.9187,336371,0.0000,1.0000
2018-07-18,0.9500,0.9980,0.9311,0.9442,0.9442,559851,0.0000,1.0000
2018-07-17,0.9400,0.9500,0.9210,0.9340,0.9340,390468,0.0000,1.0000
2018-07-16,0.9600,0.9675,0.9112,0.9499,0.9499,378278,0.0000,1.0000
2018-07-13,0.9505,0.9700,0.9345,0.9576,0.9576,443052,0.0000,1.0000
2018-07-12,0.9707,0.9800,0.9400,0.9667,0.9667,310806,0.0000,1.0000
2018-07-11,0.9800,0.9800,0.9430,0.9700,0.9700,422127,0.0000,1.0000
2018-07-10,1.0200,1.0200,0.9600,0.9849,0.9849,580931,0.0000,1.0000
2018-07-09,1.0300,1.0600,0.9510,0.9999,0.9999,1620605,0.0000,1.0000
2018-07-06,1.0100,1.1100,1.0000,1.0300,1.0300,5128661,0.0000,1.0000
2018-07-05,0.9190,0.9250,0.8534,0.9000,0.9000,694661,0.0000,1.0000
2018-07-03,0.9500,0.9600,0.9102,0.9339,0.9339,264514,0.0000,1.0000
2018-07-02,0.9900,1.0000,0.9450,0.9503,0.9503,488664,0.0000,1.0000
2018-06-29,0.9863,0.9925,0.9300,0.9500,0.9500,455726,0.0000,1.0000
2018-06-28,0.9855,1.0000,0.9401,0.9700,0.9700,570674,0.0000,1.0000
2018-06-27,1.0000,1.0100,0.9510,0.9800,0.9800,691056,0.0000,1.0000
2018-06-26,1.0500,1.0500,0.9308,0.9610,0.9610,1218471,0.0000,1.0000
2018-06-25,1.0800,1.0800,1.0100,1.0200,1.0200,1132005,0.0000,1.0000
2018-06-22,1.0900,1.1500,1.0500,1.0800,1.0800,2532125,0.0000,1.0000
2018-06-21,1.0900,1.1400,1.0600,1.0800,1.0800,1878847,0.0000,1.0000
2018-06-20,1.1100,1.1500,1.0700,1.0900,1.0900,1414223,0.0000,1.0000
2018-06-19,1.1300,1.1300,1.0300,1.0600,1.0600,722409,0.0000,1.0000
2018-06-18,1.0800,1.1390,1.0600,1.1000,1.1000,1156407,0.0000,1.0000
2018-06-15,1.1500,1.1500,1.0700,1.0700,1.0700,1096024,0.0000,1.0000
2018-06-14,1.1100,1.1600,1.0600,1.1100,1.1100,2461666,0.0000,1.0000
2018-06-13,1.1100,1.1100,1.0510,1.0800,1.0800,661266,0.0000,1.0000
2018-06-12,1.1200,1.1300,1.0502,1.1002,1.1002,897258,0.0000,1.0000
2018-06-11,1.0500,1.1500,1.0000,1.1400,1.1400,1762000,0.0000,1.0000
2018-06-08,1.0700,1.1800,1.0010,1.0700,1.0700,4298059,0.0000,1.0000
2018-06-07,0.8400,1.4400,0.8400,1.1800,1.1800,26107056,0.0000,1.0000
2018-06-06,0.8045,0.8300,0.7600,0.8000,0.8000,783710,0.0000,1.0000
