timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,26.0000,26.7500,25.5500,26.1400,26.1400,883723,0.0000,1.0000
2018-08-13,27.4500,27.5000,26.1100,26.2500,26.2500,470276,0.0000,1.0000
2018-08-10,28.7200,28.7200,27.4900,27.5100,27.5100,514616,0.0000,1.0000
2018-08-09,28.6000,29.7100,27.8300,28.7200,28.7200,480453,0.0000,1.0000
2018-08-08,30.0000,30.0000,27.1800,29.0050,29.0050,1229123,0.0000,1.0000
2018-08-07,30.6500,30.7400,30.1400,30.5100,30.5100,270351,0.0000,1.0000
2018-08-06,31.5500,31.9290,30.5400,30.6600,30.6600,213258,0.0000,1.0000
2018-08-03,31.8200,31.8600,30.8900,31.3800,31.3800,232301,0.0000,1.0000
2018-08-02,31.1400,31.7800,30.8100,31.6300,31.6300,188913,0.0000,1.0000
2018-08-01,30.8200,31.1600,30.5600,31.1300,31.1300,142734,0.0000,1.0000
2018-07-31,30.1100,30.8600,30.1100,30.8200,30.8200,135492,0.0000,1.0000
2018-07-30,30.8100,30.9300,30.0000,30.0500,30.0500,174273,0.0000,1.0000
2018-07-27,32.0900,32.2200,30.7250,30.8300,30.8300,164766,0.0000,1.0000
2018-07-26,31.4200,32.1600,31.2000,32.0100,32.0100,321660,0.0000,1.0000
2018-07-25,30.0100,30.8500,29.6039,30.8100,30.8100,209778,0.0000,1.0000
2018-07-24,29.8500,30.1500,29.5200,30.1000,30.1000,196290,0.0000,1.0000
2018-07-23,29.4900,30.0200,29.4300,29.7100,29.7100,135110,0.0000,1.0000
2018-07-20,29.9000,29.9000,29.4097,29.5600,29.5600,201969,0.0000,1.0000
2018-07-19,29.9700,30.0100,29.4450,30.0100,30.0100,197957,0.0000,1.0000
2018-07-18,29.7000,30.1450,29.6900,29.9600,29.9600,464233,0.0000,1.0000
2018-07-17,31.0500,31.0600,29.7700,29.8500,29.8500,642263,0.0000,1.0000
2018-07-16,31.0900,31.6800,31.0000,31.2500,31.2500,208357,0.0000,1.0000
2018-07-13,31.2000,31.4600,30.7500,31.0300,31.0300,126012,0.0000,1.0000
2018-07-12,31.5600,31.6100,31.1400,31.2300,31.2300,260822,0.0000,1.0000
2018-07-11,32.0800,32.1900,31.0100,31.7000,31.7000,452201,0.0000,1.0000
2018-07-10,30.0300,32.0700,30.0300,31.9200,31.9200,496414,0.0000,1.0000
2018-07-09,30.2400,30.2400,29.4900,29.6900,29.6900,213654,0.0000,1.0000
2018-07-06,30.0600,30.3410,29.6700,29.9400,29.9400,251038,0.0000,1.0000
2018-07-05,29.1600,30.1500,28.7100,30.0600,30.0600,350235,0.0000,1.0000
2018-07-03,29.4600,30.0000,28.8200,28.9000,28.9000,105790,0.0000,1.0000
2018-07-02,29.2400,29.4599,28.9700,29.2600,29.2600,179908,0.0000,1.0000
2018-06-29,29.5900,29.8900,29.2100,29.2400,29.2400,294839,0.0000,1.0000
2018-06-28,28.2100,29.5550,28.0900,29.5100,29.5100,513149,0.0000,1.0000
2018-06-27,28.0900,28.8352,27.7700,28.3200,28.3200,486087,0.0000,1.0000
2018-06-26,28.6900,28.9500,27.7100,27.9400,27.9400,276352,0.0000,1.0000
2018-06-25,28.6100,28.7300,28.1200,28.5200,28.5200,313583,0.0000,1.0000
2018-06-22,28.7600,29.2800,28.2700,28.9200,28.9200,896675,0.0000,1.0000
2018-06-21,29.9900,30.1900,27.8200,28.4600,28.4600,692927,0.0000,1.0000
2018-06-20,26.8400,29.6099,26.8400,29.2400,29.2400,882406,0.0000,1.0000
2018-06-19,26.0100,26.4273,25.5500,25.8100,25.8100,231926,0.0000,1.0000
2018-06-18,26.0100,26.4700,25.8300,26.0000,26.0000,230541,0.0000,1.0000
2018-06-15,25.8200,26.5400,25.6600,26.0800,26.0800,302244,0.0000,1.0000
2018-06-14,25.7800,25.9300,25.5800,25.9000,25.9000,763459,0.0000,1.0000
2018-06-13,25.8800,26.0400,25.5800,25.8200,25.8200,221094,0.0000,1.0000
2018-06-12,26.0800,26.4300,25.8500,25.9200,25.9200,145514,0.0000,1.0000
2018-06-11,25.9300,26.3000,25.8900,26.0200,26.0200,344626,0.0000,1.0000
2018-06-08,25.7600,26.0100,25.2700,25.8400,25.8400,147952,0.0000,1.0000
2018-06-07,26.3000,26.8200,25.8500,26.0200,26.0200,184454,0.0000,1.0000
2018-06-06,26.3800,26.5200,26.1050,26.4400,26.4400,365887,0.0000,1.0000
2018-06-05,26.3100,26.5000,25.7450,26.3600,26.3600,233771,0.0000,1.0000
2018-06-04,25.8300,26.2200,25.1400,26.1800,26.1800,249587,0.0000,1.0000
