timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,5.1000,5.3000,5.1000,5.1000,5.1000,27892,0.0000,1.0000
2018-08-13,5.1500,5.2000,5.0500,5.1500,5.1500,29188,0.0000,1.0000
2018-08-10,5.4727,5.4990,5.2000,5.2500,5.2500,31639,0.0000,1.0000
2018-08-09,5.1500,5.5000,5.1000,5.5000,5.5000,104205,0.0000,1.0000
2018-08-08,4.9500,5.1000,4.9000,5.0500,5.0500,28007,0.0000,1.0000
2018-08-07,4.9000,4.9000,4.8000,4.8500,4.8500,19942,0.0000,1.0000
2018-08-06,4.9000,4.9500,4.8000,4.9000,4.9000,35705,0.0000,1.0000
2018-08-03,4.9758,5.0000,4.8258,4.8500,4.8500,45622,0.0000,1.0000
2018-08-02,5.1000,5.1500,4.9500,5.0000,5.0000,36857,0.0000,1.0000
2018-08-01,5.3000,5.3500,5.1500,5.2000,5.2000,19754,0.0000,1.0000
2018-07-31,5.0250,5.2000,4.9500,5.2000,5.2000,31723,0.0000,1.0000
2018-07-30,5.0000,5.1000,4.9000,5.0000,5.0000,64211,0.0000,1.0000
2018-07-27,5.4300,5.5000,5.0000,5.0500,5.0500,83464,0.0000,1.0000
2018-07-26,5.4500,5.5000,5.4000,5.5000,5.5000,14545,0.0000,1.0000
2018-07-25,5.4500,5.5000,5.4000,5.4500,5.4500,35132,0.0000,1.0000
2018-07-24,5.5500,5.5500,5.4000,5.4000,5.4000,30117,0.0000,1.0000
2018-07-23,5.5000,5.6750,5.4500,5.5500,5.5500,35030,0.0000,1.0000
2018-07-20,5.7000,5.8500,5.5000,5.5500,5.5500,41951,0.0000,1.0000
2018-07-19,5.5562,5.8490,5.5562,5.7250,5.7250,20582,0.0000,1.0000
2018-07-18,5.4500,5.8000,5.2500,5.6500,5.6500,160495,0.0000,1.0000
2018-07-17,5.5000,5.6000,5.4000,5.4500,5.4500,51067,0.0000,1.0000
2018-07-16,5.6500,5.6680,5.3734,5.5000,5.5000,100683,0.0000,1.0000
2018-07-13,5.7500,5.9000,5.6000,5.6000,5.6000,81256,0.0000,1.0000
2018-07-12,5.7500,5.8500,5.6500,5.7500,5.7500,25788,0.0000,1.0000
2018-07-11,5.7798,5.8212,5.6250,5.6500,5.6500,70163,0.0000,1.0000
2018-07-10,5.9500,5.9500,5.8000,5.8500,5.8500,41078,0.0000,1.0000
2018-07-09,5.9500,6.0000,5.8000,5.9000,5.9000,35773,0.0000,1.0000
2018-07-06,6.0500,6.1500,5.8500,5.9001,5.9001,84944,0.0000,1.0000
2018-07-05,5.9500,6.0500,5.7750,6.0037,6.0037,56706,0.0000,1.0000
2018-07-03,6.0500,6.1808,5.9000,5.9500,5.9500,56061,0.0000,1.0000
2018-07-02,6.0000,6.1000,5.8340,6.0500,6.0500,93855,0.0000,1.0000
2018-06-29,5.6500,6.0000,5.6000,6.0000,6.0000,177812,0.0000,1.0000
2018-06-28,5.8500,5.9000,5.3750,5.6500,5.6500,433688,0.0000,1.0000
2018-06-27,6.2500,6.2500,5.8210,5.9000,5.9000,130323,0.0000,1.0000
2018-06-26,6.0000,6.4000,5.9305,6.2500,6.2500,63186,0.0000,1.0000
2018-06-25,6.5500,6.5582,6.0778,6.1500,6.1500,166194,0.0000,1.0000
2018-06-22,6.8000,6.9287,6.3000,6.6500,6.6500,70633,0.0000,1.0000
2018-06-21,6.7500,7.0000,6.6000,6.7000,6.7000,344874,0.0000,1.0000
2018-06-20,6.0000,6.5000,5.8184,6.4000,6.4000,471468,0.0000,1.0000
2018-06-19,6.2000,6.2500,6.0500,6.1000,6.1000,90139,0.0000,1.0000
2018-06-18,6.1500,6.3000,6.1000,6.2000,6.2000,168506,0.0000,1.0000
2018-06-15,6.2500,6.2500,6.0001,6.1000,6.1000,69733,0.0000,1.0000
2018-06-14,6.1500,6.2500,6.1000,6.1000,6.1000,21994,0.0000,1.0000
2018-06-13,6.1000,6.3000,5.9500,6.0500,6.0500,49371,0.0000,1.0000
2018-06-12,6.2000,6.4500,5.9500,5.9500,5.9500,95454,0.0000,1.0000
2018-06-11,6.7500,6.8500,6.2000,6.2000,6.2000,90664,0.0000,1.0000
2018-06-08,6.5170,6.9500,6.5170,6.8000,6.8000,69102,0.0000,1.0000
2018-06-07,6.3500,6.7500,6.3500,6.5000,6.5000,176007,0.0000,1.0000
2018-06-06,6.6000,6.9500,6.2500,6.3000,6.3000,239936,0.0000,1.0000
2018-06-05,5.8000,6.3818,5.8000,6.3500,6.3500,175147,0.0000,1.0000
2018-06-04,5.5000,5.9726,5.4500,5.8500,5.8500,73163,0.0000,1.0000
2018-06-01,5.7497,5.7497,5.4010,5.4750,5.4750,87615,0.0000,1.0000
2018-05-31,6.0000,6.0000,5.6000,5.6232,5.6232,176755,0.0000,1.0000
2018-05-30,6.0500,6.0500,5.9500,5.9500,5.9500,23437,0.0000,1.0000
2018-05-29,6.0000,6.0500,5.8500,6.0500,6.0500,33406,0.0000,1.0000
2018-05-25,6.0500,6.1000,5.9500,6.1000,6.1000,18150,0.0000,1.0000
2018-05-24,6.0000,6.0500,5.9650,6.0500,6.0500,13450,0.0000,1.0000
2018-05-23,6.2000,6.2000,5.9500,6.0250,6.0250,65292,0.0000,1.0000
2018-05-22,6.1500,6.1500,5.9998,6.1000,6.1000,26230,0.0000,1.0000
2018-05-21,6.3000,6.3086,5.9500,6.0000,6.0000,33556,0.0000,1.0000
2018-05-18,6.1500,6.3000,5.9000,6.3000,6.3000,56188,0.0000,1.0000
2018-05-17,5.8500,6.5397,5.8500,6.0000,6.0000,199039,0.0000,1.0000
2018-05-16,6.1000,6.3500,5.8500,5.8500,5.8500,125039,0.0000,1.0000
2018-05-15,6.7425,6.7425,6.1500,6.2500,6.2500,52334,0.0000,1.0000
2018-05-14,6.9500,6.9500,6.5000,6.5000,6.5000,45181,0.0000,1.0000
2018-05-11,6.6500,6.7000,6.5838,6.6000,6.6000,8424,0.0000,1.0000
2018-05-10,6.3400,6.7500,6.3400,6.5000,6.5000,49242,0.0000,1.0000
2018-05-09,6.0500,6.4000,6.0500,6.3500,6.3500,17013,0.0000,1.0000
2018-05-08,6.1122,6.2500,6.1000,6.1500,6.1500,19050,0.0000,1.0000
2018-05-07,5.9500,6.3500,5.9500,6.2500,6.2500,28107,0.0000,1.0000
2018-05-04,5.5500,6.1500,5.5000,5.9500,5.9500,57289,0.0000,1.0000
2018-05-03,6.2000,6.2500,5.8500,5.8500,5.8500,18286,0.0000,1.0000
2018-05-02,5.9000,6.4000,5.8498,6.2500,6.2500,45836,0.0000,1.0000
2018-05-01,6.0000,6.0000,5.2510,5.8750,5.8750,93829,0.0000,1.0000
2018-04-30,6.1500,6.2000,5.8500,5.9000,5.9000,36325,0.0000,1.0000
2018-04-27,6.5000,6.6000,6.0010,6.0500,6.0500,94315,0.0000,1.0000
2018-04-26,6.4000,6.7499,6.4000,6.5500,6.5500,15356,0.0000,1.0000
2018-04-25,6.5500,6.5500,6.2500,6.4000,6.4000,53632,0.0000,1.0000
