timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.9300,0.9300,0.8700,0.8999,0.8999,15087,0.0000,1.0000
2018-08-13,0.9400,0.9405,0.8900,0.8900,0.8900,58180,0.0000,1.0000
2018-08-10,0.8900,0.9400,0.8900,0.9300,0.9300,7051,0.0000,1.0000
2018-08-09,0.9000,0.9400,0.8900,0.9400,0.9400,8510,0.0000,1.0000
2018-08-08,0.9300,0.9300,0.8901,0.9300,0.9300,24646,0.0000,1.0000
2018-08-07,0.9300,0.9300,0.8806,0.9300,0.9300,23226,0.0000,1.0000
2018-08-06,0.9300,0.9400,0.9001,0.9299,0.9299,13416,0.0000,1.0000
2018-08-03,0.9300,0.9300,0.8900,0.8900,0.8900,37422,0.0000,1.0000
2018-08-02,0.9390,0.9400,0.8801,0.8900,0.8900,29134,0.0000,1.0000
2018-08-01,0.9000,0.9390,0.9000,0.9390,0.9390,19627,0.0000,1.0000
2018-07-31,0.9300,0.9400,0.9000,0.9116,0.9116,39909,0.0000,1.0000
2018-07-30,0.9400,0.9500,0.8700,0.9000,0.9000,35667,0.0000,1.0000
2018-07-27,0.9500,0.9500,0.9063,0.9450,0.9450,18114,0.0000,1.0000
2018-07-26,0.9500,0.9500,0.8500,0.9300,0.9300,29934,0.0000,1.0000
2018-07-25,0.9500,0.9500,0.8802,0.9250,0.9250,16037,0.0000,1.0000
2018-07-24,0.9600,0.9600,0.9103,0.9496,0.9496,16335,0.0000,1.0000
2018-07-23,0.9600,0.9600,0.8710,0.9600,0.9600,31444,0.0000,1.0000
2018-07-20,0.9100,0.9868,0.8825,0.9300,0.9300,26834,0.0000,1.0000
2018-07-19,0.9000,0.9005,0.8803,0.8803,0.8803,10327,0.0000,1.0000
2018-07-18,0.8700,0.9000,0.8504,0.8901,0.8901,6527,0.0000,1.0000
2018-07-17,0.9100,0.9199,0.9002,0.9002,0.9002,13413,0.0000,1.0000
2018-07-16,0.8800,0.9999,0.7836,0.9100,0.9100,43454,0.0000,1.0000
2018-07-13,0.8149,0.8900,0.8101,0.8800,0.8800,44883,0.0000,1.0000
2018-07-12,0.7900,0.8592,0.7773,0.8491,0.8491,77465,0.0000,1.0000
2018-07-11,0.8500,0.8799,0.7510,0.8799,0.8799,137789,0.0000,1.0000
2018-07-10,0.8800,0.8800,0.8400,0.8500,0.8500,108759,0.0000,1.0000
2018-07-09,0.8600,0.8800,0.8505,0.8780,0.8780,78669,0.0000,1.0000
