timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,17.5500,17.7600,17.5500,17.7000,17.7000,79157,0.0000,1.0000
2018-08-13,17.7300,17.8500,17.5000,17.5400,17.5400,161023,0.0000,1.0000
2018-08-10,17.6700,17.7750,17.5600,17.7200,17.7200,155902,0.0000,1.0000
2018-08-09,17.7800,17.8700,17.6900,17.7800,17.7800,75815,0.0000,1.0000
2018-08-08,17.5100,17.7600,17.4100,17.7300,17.7300,200105,0.0000,1.0000
2018-08-07,17.5000,17.5900,17.3300,17.4400,17.4400,135222,0.0000,1.0000
2018-08-06,17.4200,17.5650,17.3300,17.4800,17.4800,81649,0.0000,1.0000
2018-08-03,17.6400,17.7100,17.2700,17.4100,17.4100,58342,0.0000,1.0000
2018-08-02,17.5500,17.6500,17.3950,17.6400,17.6400,57394,0.0000,1.0000
2018-08-01,17.5600,17.6800,17.4500,17.6000,17.6000,70164,0.0000,1.0000
2018-07-31,17.4400,17.5800,17.3400,17.5100,17.5100,157652,0.0000,1.0000
2018-07-30,17.4900,17.6600,17.4500,17.4700,17.4700,97980,0.0000,1.0000
2018-07-27,17.7500,17.8100,17.4400,17.4900,17.4900,77823,0.0000,1.0000
2018-07-26,17.7100,17.9300,17.6950,17.7600,17.7600,96580,0.1200,1.0000
2018-07-25,18.0200,18.0200,17.6500,17.7700,17.6507,107954,0.0000,1.0000
2018-07-24,18.1000,18.1600,17.9050,17.9800,17.8593,70737,0.0000,1.0000
2018-07-23,17.9700,18.2000,17.9388,18.1200,17.9984,82770,0.0000,1.0000
2018-07-20,17.8800,18.0500,17.8400,17.9200,17.7997,105923,0.0000,1.0000
2018-07-19,17.8200,17.9000,17.4350,17.8900,17.7699,121843,0.0000,1.0000
2018-07-18,17.5000,17.8700,17.0800,17.8100,17.6905,151331,0.0000,1.0000
2018-07-17,17.5300,17.6800,17.2200,17.3900,17.2733,124494,0.0000,1.0000
2018-07-16,17.4000,17.5400,17.3500,17.4800,17.3627,116672,0.0000,1.0000
2018-07-13,17.5700,17.6300,17.3200,17.3300,17.2137,99200,0.0000,1.0000
2018-07-12,17.8300,17.8300,17.4000,17.6000,17.4819,128455,0.0000,1.0000
2018-07-11,17.7900,18.0200,17.4000,17.8500,17.7302,91663,0.0000,1.0000
2018-07-10,18.1000,18.1100,17.7500,17.8200,17.7004,95346,0.0000,1.0000
2018-07-09,17.9000,18.0900,17.8900,18.0700,17.9487,299360,0.0000,1.0000
2018-07-06,17.8800,18.0400,17.8500,17.8900,17.7699,60068,0.0000,1.0000
2018-07-05,17.8000,17.9000,17.6800,17.8900,17.7699,68237,0.0000,1.0000
2018-07-03,17.8000,17.8601,17.6800,17.7400,17.6209,53402,0.0000,1.0000
2018-07-02,17.4700,17.8000,17.4700,17.7900,17.6706,151604,0.0000,1.0000
2018-06-29,17.6300,17.7500,17.4700,17.5200,17.4024,133904,0.0000,1.0000
2018-06-28,17.6300,17.7900,17.5700,17.6100,17.4918,64144,0.0000,1.0000
2018-06-27,17.9500,17.9500,17.6300,17.6400,17.5216,215372,0.0000,1.0000
2018-06-26,17.9900,18.1000,17.8195,18.0000,17.8792,148720,0.0000,1.0000
2018-06-25,18.0400,18.1700,17.8700,17.9500,17.8295,134701,0.0000,1.0000
2018-06-22,18.1000,18.3271,18.0200,18.1200,17.9984,411269,0.0000,1.0000
2018-06-21,17.9900,18.1700,17.8100,18.0400,17.9189,109844,0.0000,1.0000
2018-06-20,17.8500,18.0200,17.7600,17.9700,17.8494,180682,0.0000,1.0000
2018-06-19,17.1400,18.0200,17.1400,17.8400,17.7203,295268,0.0000,1.0000
2018-06-18,17.1000,17.2600,17.0200,17.2100,17.0945,79447,0.0000,1.0000
2018-06-15,17.1700,17.2700,17.0200,17.1600,17.0448,216216,0.0000,1.0000
2018-06-14,17.3000,17.3000,17.0500,17.2100,17.0945,78039,0.0000,1.0000
2018-06-13,17.2400,17.5700,17.0500,17.2300,17.1144,213779,0.0000,1.0000
2018-06-12,17.3800,17.3800,17.1600,17.2500,17.1342,85042,0.0000,1.0000
2018-06-11,17.4900,17.7000,17.2600,17.3300,17.2137,83214,0.0000,1.0000
2018-06-08,17.6900,17.7700,17.5500,17.5700,17.4521,72873,0.0000,1.0000
2018-06-07,17.7100,17.7500,17.6300,17.6900,17.5713,85610,0.0000,1.0000
2018-06-06,17.7000,17.7800,17.6400,17.7200,17.6011,144042,0.0000,1.0000
2018-06-05,17.7700,17.8100,17.6300,17.6800,17.5613,145517,0.0000,1.0000
2018-06-04,17.6900,17.8200,17.5400,17.8000,17.6805,90574,0.0000,1.0000
2018-06-01,17.5000,17.6400,17.4600,17.6300,17.5117,122214,0.0000,1.0000
2018-05-31,17.5600,17.6500,17.4100,17.4200,17.3031,98778,0.0000,1.0000
2018-05-30,17.4700,17.7000,17.4700,17.5600,17.4421,174302,0.0000,1.0000
2018-05-29,17.4900,17.5500,17.2800,17.4100,17.2932,112074,0.0000,1.0000
2018-05-25,17.4000,17.5900,17.4000,17.5700,17.4521,130319,0.0000,1.0000
2018-05-24,17.6300,17.6300,17.2800,17.4600,17.3428,134883,0.0000,1.0000
2018-05-23,17.6500,17.7200,17.4100,17.6200,17.5017,120358,0.0000,1.0000
2018-05-22,17.9500,17.9500,17.5800,17.6700,17.5514,153329,0.0000,1.0000
2018-05-21,17.8500,17.9900,17.3200,17.9800,17.8593,99567,0.0000,1.0000
2018-05-18,17.8700,17.8800,17.6300,17.8400,17.7203,142434,0.0000,1.0000
2018-05-17,17.4400,17.7800,17.4400,17.7400,17.6209,132807,0.0000,1.0000
2018-05-16,17.1300,17.5300,17.1175,17.5100,17.3925,352555,0.0000,1.0000
2018-05-15,16.9200,17.1500,16.9200,17.1000,16.9852,101859,0.0000,1.0000
2018-05-14,17.0100,17.1000,16.9300,16.9600,16.8462,86872,0.0000,1.0000
2018-05-11,17.1700,17.1900,17.0100,17.0200,16.9058,67097,0.0000,1.0000
2018-05-10,17.0900,17.2700,16.9900,17.1200,17.0051,131338,0.0000,1.0000
