timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,7.0000,7.1500,7.0000,7.1500,7.1500,977,0.0000,1.0000
2018-08-13,7.1500,7.1500,7.1500,7.1500,7.1500,115,0.0000,1.0000
2018-08-10,7.0500,7.0500,7.0500,7.0500,7.0500,60,0.0000,1.0000
2018-08-09,7.0500,7.0500,7.0500,7.0500,7.0500,91,0.0000,1.0000
2018-08-08,7.0500,7.0500,7.0500,7.0500,7.0500,76,0.0000,1.0000
2018-08-07,7.4000,7.4000,6.8500,7.0500,7.0500,1866,0.0000,1.0000
2018-08-06,7.2000,7.2000,7.1000,7.1000,7.1000,2144,0.0000,1.0000
2018-08-03,7.2500,7.2500,7.2500,7.2500,7.2500,73,0.0000,1.0000
2018-08-02,7.2500,7.2500,7.2500,7.2500,7.2500,82,0.0000,1.0000
2018-08-01,7.2500,7.2500,7.2500,7.2500,7.2500,100,0.0000,1.0000
2018-07-31,7.1500,7.2500,7.1000,7.1000,7.1000,1844,0.0000,1.0000
2018-07-30,6.9000,6.9000,6.9000,6.9000,6.9000,289,0.0000,1.0000
2018-07-27,7.0000,7.0000,6.8000,6.9000,6.9000,1582,0.0000,1.0000
2018-07-26,7.1500,7.1500,7.1500,7.1500,7.1500,95,0.0000,1.0000
2018-07-25,7.1500,7.1500,7.1500,7.1500,7.1500,23,0.0000,1.0000
2018-07-24,7.1500,7.1500,7.1500,7.1500,7.1500,92,0.0000,1.0000
2018-07-23,7.1500,7.1500,7.1500,7.1500,7.1500,42,0.0000,1.0000
2018-07-20,7.1500,7.1500,7.1500,7.1500,7.1500,95,0.0000,1.0000
2018-07-19,7.1500,7.1500,7.1500,7.1500,7.1500,300,0.0000,1.0000
2018-07-18,7.1643,7.1643,7.1643,7.1643,7.1643,601,0.0000,1.0000
2018-07-17,7.2000,7.2000,7.2000,7.2000,7.2000,939,0.0000,1.0000
2018-07-16,7.2873,7.2873,7.2873,7.2873,7.2873,3,0.0000,1.0000
2018-07-13,7.2000,7.4550,7.0712,7.2873,7.2873,4081,0.0000,1.0000
2018-07-12,7.3000,7.3000,7.3000,7.3000,7.3000,157,0.0000,1.0000
2018-07-11,7.1000,7.6000,7.1000,7.3000,7.3000,1323,0.0000,1.0000
2018-07-10,7.6500,7.6500,7.3000,7.6000,7.6000,1369,0.0000,1.0000
2018-07-09,7.7000,7.7000,7.7000,7.7000,7.7000,121,0.0000,1.0000
2018-07-06,7.8000,7.8000,7.7000,7.7000,7.7000,4666,0.0000,1.0000
2018-07-05,7.8000,7.8000,7.8000,7.8000,7.8000,147,0.0000,1.0000
2018-07-03,7.8000,7.8000,7.8000,7.8000,7.8000,267,0.0000,1.0000
2018-07-02,7.8000,7.8000,7.8000,7.8000,7.8000,300,0.0000,1.0000
2018-06-29,7.8500,7.8500,7.8500,7.8500,7.8500,263,0.0000,1.0000
2018-06-28,7.8500,7.8500,7.8500,7.8500,7.8500,300,0.0000,1.0000
