timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.0100,1.1100,1.0000,1.0350,1.0350,2944094,0.0000,1.0000
2018-08-13,1.1800,1.1998,0.9600,1.0100,1.0100,6536039,0.0000,1.0000
2018-08-10,1.2500,1.2600,1.1500,1.1700,1.1700,4593511,0.0000,1.0000
2018-08-09,1.6100,1.6200,1.0800,1.2600,1.2600,15708147,0.0000,1.0000
2018-08-08,1.7400,1.7500,1.6700,1.6900,1.6900,2734503,0.0000,1.0000
2018-08-07,1.7100,1.7500,1.7100,1.7500,1.7500,1444070,0.0000,1.0000
2018-08-06,1.7100,1.7200,1.6500,1.7000,1.7000,1972777,0.0000,1.0000
2018-08-03,1.6900,1.7400,1.6600,1.7000,1.7000,2118463,0.0000,1.0000
2018-08-02,1.7000,1.7700,1.6200,1.7000,1.7000,2498315,0.0000,1.0000
2018-08-01,1.7400,1.8200,1.6900,1.7200,1.7200,2594691,0.0000,1.0000
2018-07-31,1.7400,1.8200,1.7100,1.7700,1.7700,2849751,0.0000,1.0000
2018-07-30,1.6600,1.7650,1.6600,1.7600,1.7600,2064454,0.0000,1.0000
2018-07-27,1.8300,1.8550,1.6100,1.6100,1.6100,5559232,0.0000,1.0000
2018-07-26,1.8100,1.8800,1.8100,1.8200,1.8200,1585545,0.0000,1.0000
2018-07-25,1.8400,1.8690,1.7700,1.8200,1.8200,2136690,0.0000,1.0000
2018-07-24,1.8300,1.8900,1.8100,1.8400,1.8400,1399239,0.0000,1.0000
2018-07-23,1.8800,1.8805,1.7800,1.8200,1.8200,1722176,0.0000,1.0000
2018-07-20,1.8700,1.8900,1.8100,1.8500,1.8500,1498846,0.0000,1.0000
2018-07-19,1.8600,1.9200,1.8100,1.8900,1.8900,2324635,0.0000,1.0000
2018-07-18,1.7800,1.8900,1.7100,1.8900,1.8900,2433121,0.0000,1.0000
2018-07-17,1.7600,1.8300,1.7500,1.7700,1.7700,1779501,0.0000,1.0000
2018-07-16,1.7600,1.8000,1.6600,1.7800,1.7800,2907705,0.0000,1.0000
2018-07-13,1.8400,1.9200,1.7400,1.7700,1.7700,3032503,0.0000,1.0000
2018-07-12,2.0000,2.0164,1.8000,1.8200,1.8200,4986951,0.0000,1.0000
2018-07-11,2.0500,2.1199,1.9400,1.9500,1.9500,4827874,0.0000,1.0000
2018-07-10,2.2200,2.2800,2.0550,2.0700,2.0700,4385252,0.0000,1.0000
2018-07-09,2.1900,2.2490,2.1800,2.2000,2.2000,3274572,0.0000,1.0000
2018-07-06,2.1400,2.2300,2.0700,2.1700,2.1700,2449219,0.0000,1.0000
2018-07-05,2.1700,2.2190,2.1100,2.1400,2.1400,2380528,0.0000,1.0000
2018-07-03,2.2100,2.2800,2.1200,2.1700,2.1700,2234790,0.0000,1.0000
2018-07-02,2.2800,2.3500,2.1600,2.1700,2.1700,3168311,0.0000,1.0000
2018-06-29,2.2100,2.3400,2.2000,2.3100,2.3100,7238298,0.0000,1.0000
2018-06-28,2.2700,2.2899,2.1800,2.2000,2.2000,2398083,0.0000,1.0000
2018-06-27,2.3200,2.4200,2.2300,2.2800,2.2800,4236147,0.0000,1.0000
2018-06-26,2.0700,2.3500,2.0100,2.2500,2.2500,4303904,0.0000,1.0000
2018-06-25,2.1200,2.1400,2.0100,2.0600,2.0600,2560545,0.0000,1.0000
2018-06-22,2.3500,2.3877,2.0800,2.1200,2.1200,8697383,0.0000,1.0000
2018-06-21,2.3000,2.4200,2.2000,2.2100,2.2100,5572163,0.0000,1.0000
2018-06-20,2.0700,2.3300,2.0550,2.3100,2.3100,6585638,0.0000,1.0000
2018-06-19,2.0700,2.1050,2.0200,2.0600,2.0600,3900933,0.0000,1.0000
2018-06-18,2.0300,2.1900,2.0250,2.0900,2.0900,6690672,0.0000,1.0000
2018-06-15,1.9700,2.0800,1.9500,2.0300,2.0300,9290958,0.0000,1.0000
2018-06-14,2.0500,2.1100,1.9500,1.9800,1.9800,3001643,0.0000,1.0000
2018-06-13,1.9400,2.0600,1.9100,2.0400,2.0400,4040205,0.0000,1.0000
2018-06-12,2.0400,2.0500,1.9000,1.9500,1.9500,3520809,0.0000,1.0000
2018-06-11,1.9300,2.0500,1.8767,2.0300,2.0300,3864601,0.0000,1.0000
2018-06-08,1.9700,1.9700,1.7900,1.9300,1.9300,3985189,0.0000,1.0000
2018-06-07,1.8100,2.0300,1.8100,1.9600,1.9600,5638106,0.0000,1.0000
2018-06-06,1.7700,1.8500,1.7400,1.8100,1.8100,2518576,0.0000,1.0000
2018-06-05,1.6900,1.8550,1.6200,1.7700,1.7700,4793887,0.0000,1.0000
2018-06-04,1.8000,1.8200,1.6600,1.7000,1.7000,3969360,0.0000,1.0000
2018-06-01,1.7800,1.8700,1.7500,1.7900,1.7900,4910169,0.0000,1.0000
2018-05-31,1.7400,1.8600,1.7400,1.7800,1.7800,4786729,0.0000,1.0000
2018-05-30,1.6200,1.8000,1.5500,1.7400,1.7400,5810999,0.0000,1.0000
2018-05-29,1.7000,1.7000,1.5400,1.5800,1.5800,6245836,0.0000,1.0000
2018-05-25,1.8000,1.8300,1.6600,1.7100,1.7100,6338157,0.0000,1.0000
2018-05-24,2.0200,2.0850,1.8900,1.9000,1.9000,5915829,0.0000,1.0000
2018-05-23,2.1300,2.2100,2.0000,2.0400,2.0400,4976480,0.0000,1.0000
2018-05-22,2.2600,2.4750,2.1200,2.1300,2.1300,7060123,0.0000,1.0000
2018-05-21,2.1900,2.3500,2.1300,2.2500,2.2500,4309897,0.0000,1.0000
2018-05-18,2.4700,2.5200,2.1100,2.1250,2.1250,5841274,0.0000,1.0000
2018-05-17,2.0600,2.5300,2.0500,2.4000,2.4000,10275336,0.0000,1.0000
2018-05-16,2.0700,2.1500,1.9900,2.0400,2.0400,4544772,0.0000,1.0000
2018-05-15,1.8800,2.0700,1.7300,2.0500,2.0500,9119940,0.0000,1.0000
2018-05-14,1.9100,1.9690,1.7800,1.8450,1.8450,3612276,0.0000,1.0000
2018-05-11,2.0500,2.0673,1.7300,1.7400,1.7400,7905397,0.0000,1.0000
2018-05-10,2.4900,2.4900,1.9900,2.0100,2.0100,8775745,0.0000,1.0000
2018-05-09,2.5700,2.6400,2.4400,2.4500,2.4500,4156847,0.0000,1.0000
2018-05-08,2.6200,2.6400,2.3850,2.5600,2.5600,5889066,0.0000,1.0000
2018-05-07,2.5600,2.7400,2.5500,2.6400,2.6400,4378039,0.0000,1.0000
2018-05-04,2.4200,2.5550,2.4000,2.5400,2.5400,1596043,0.0000,1.0000
2018-05-03,2.5600,2.6200,2.4200,2.4300,2.4300,2485867,0.0000,1.0000
2018-05-02,2.4300,2.6150,2.4300,2.5700,2.5700,1932421,0.0000,1.0000
2018-05-01,2.4000,2.4900,2.3800,2.4600,2.4600,2244238,0.0000,1.0000
2018-04-30,2.5000,2.5600,2.3800,2.4200,2.4200,3181835,0.0000,1.0000
2018-04-27,2.7000,2.7378,2.4400,2.4700,2.4700,3314366,0.0000,1.0000
2018-04-26,2.5900,2.7100,2.5300,2.7000,2.7000,5750660,0.0000,1.0000
2018-04-25,2.5200,2.5500,2.3600,2.5500,2.5500,3597961,0.0000,1.0000
2018-04-24,2.6200,2.6400,2.4600,2.5300,2.5300,3741279,0.0000,1.0000
2018-04-23,2.6400,2.6800,2.5200,2.6100,2.6100,2751501,0.0000,1.0000
2018-04-20,2.9800,2.9900,2.5600,2.6300,2.6300,5514017,0.0000,1.0000
2018-04-19,3.2800,3.3300,2.8400,2.9800,2.9800,5897779,0.0000,1.0000
2018-04-18,3.1900,3.3200,3.1700,3.2600,3.2600,3774743,0.0000,1.0000
2018-04-17,3.2200,3.2800,3.0900,3.1600,3.1600,2595034,0.0000,1.0000
2018-04-16,3.2400,3.2800,3.0500,3.2200,3.2200,2282881,0.0000,1.0000
2018-04-13,3.3300,3.3550,3.2400,3.2400,3.2400,2289283,0.0000,1.0000
2018-04-12,3.3200,3.3900,3.1700,3.2800,3.2800,5042727,0.0000,1.0000
2018-04-11,3.2400,3.3500,3.0400,3.3000,3.3000,5751250,0.0000,1.0000
2018-04-10,3.6200,3.6229,3.0600,3.1100,3.1100,6937048,0.0000,1.0000
2018-04-09,3.5400,3.6500,3.4600,3.5200,3.5200,1967581,0.0000,1.0000
2018-04-06,3.6900,3.7300,3.4000,3.4800,3.4800,8077015,0.0000,1.0000
2018-04-05,3.8000,3.8850,3.7400,3.7600,3.7600,2544977,0.0000,1.0000
2018-04-04,3.8300,3.9500,3.7200,3.7700,3.7700,2060688,0.0000,1.0000
2018-04-03,3.9300,4.0025,3.7600,3.9300,3.9300,2403707,0.0000,1.0000
2018-04-02,4.1500,4.1800,3.8100,3.8700,3.8700,2356872,0.0000,1.0000
2018-03-29,4.0800,4.2700,4.0700,4.1700,4.1700,1942555,0.0000,1.0000
2018-03-28,4.0100,4.1000,3.9650,4.0600,4.0600,1368579,0.0000,1.0000
2018-03-27,4.2800,4.2800,3.9750,4.0000,4.0000,2183191,0.0000,1.0000
2018-03-26,4.1900,4.4300,3.8700,4.2400,4.2400,5651488,0.0000,1.0000
2018-03-23,4.2400,4.4700,4.1000,4.1000,4.1000,2531312,0.0000,1.0000
2018-03-22,4.3000,4.4300,4.1900,4.1900,4.1900,2392448,0.0000,1.0000
2018-03-21,4.4000,4.6000,4.2600,4.3700,4.3700,4594251,0.0000,1.0000
2018-03-20,4.4500,4.5500,4.3500,4.3800,4.3800,1191309,0.0000,1.0000
2018-03-19,4.6400,4.6650,4.3800,4.4300,4.4300,2581523,0.0000,1.0000
2018-03-16,4.5500,4.7250,4.4200,4.7000,4.7000,7763615,0.0000,1.0000
2018-03-15,4.4300,4.5700,4.3200,4.5400,4.5400,4025969,0.0000,1.0000
2018-03-14,5.0000,5.0100,4.3200,4.4300,4.4300,7026970,0.0000,1.0000
2018-03-13,4.6200,5.1400,4.6050,5.0100,5.0100,7879135,0.0000,1.0000
2018-03-12,4.2600,4.7400,4.2000,4.6300,4.6300,6356708,0.0000,1.0000
2018-03-09,3.9500,4.3100,3.9000,4.2200,4.2200,3951903,0.0000,1.0000
2018-03-08,4.0000,4.0900,3.8500,3.9500,3.9500,2919307,0.0000,1.0000
2018-03-07,3.9700,4.0500,3.8100,4.0200,4.0200,3279448,0.0000,1.0000
2018-03-06,4.1500,4.2800,3.9500,4.0300,4.0300,3159285,0.0000,1.0000
2018-03-05,3.7200,4.2100,3.7200,4.1500,4.1500,8656963,0.0000,1.0000
2018-03-02,3.5600,3.7700,3.4300,3.7300,3.7300,5396161,0.0000,1.0000
2018-03-01,3.7100,3.8250,3.4600,3.5800,3.5800,9110793,0.0000,1.0000
2018-02-28,4.3000,4.4489,3.5000,3.6900,3.6900,11403027,0.0000,1.0000
2018-02-27,4.4600,4.5100,4.0500,4.1000,4.1000,3637252,0.0000,1.0000
2018-02-26,4.4400,4.5600,4.3900,4.4700,4.4700,2577441,0.0000,1.0000
2018-02-23,4.4300,4.5300,4.2400,4.3950,4.3950,4899157,0.0000,1.0000
2018-02-22,4.2600,4.4900,4.1800,4.4400,4.4400,3171447,0.0000,1.0000
2018-02-21,4.3400,4.4700,4.2200,4.2200,4.2200,2344317,0.0000,1.0000
2018-02-20,4.3900,4.5100,4.2800,4.3400,4.3400,5060752,0.0000,1.0000
2018-02-16,4.5600,4.6100,4.3400,4.3800,4.3800,4324568,0.0000,1.0000
2018-02-15,4.9200,5.0100,4.5900,4.5900,4.5900,3034088,0.0000,1.0000
2018-02-14,4.7200,4.9000,4.6600,4.8700,4.8700,3845348,0.0000,1.0000
2018-02-13,5.0100,5.0400,4.7800,4.7800,4.7800,2742350,0.0000,1.0000
2018-02-12,5.0100,5.4600,4.9500,5.0800,5.0800,2799318,0.0000,1.0000
2018-02-09,4.9500,5.0000,4.6950,4.9400,4.9400,3457603,0.0000,1.0000
2018-02-08,5.3600,5.5500,4.9200,4.9400,4.9400,3387768,0.0000,1.0000
2018-02-07,5.8600,5.8800,5.3600,5.3600,5.3600,3294157,0.0000,1.0000
2018-02-06,5.9700,6.2200,5.5800,5.8600,5.8600,4660544,0.0000,1.0000
2018-02-05,6.1000,6.3150,6.0200,6.1600,6.1600,8797042,0.0000,1.0000
2018-02-02,6.1800,6.3800,6.0700,6.1900,6.1900,14402627,0.0000,1.0000
2018-02-01,6.9400,6.9400,6.1600,6.1700,6.1700,7542897,0.0000,1.0000
2018-01-31,7.6500,7.6500,6.9400,6.9800,6.9800,4621217,0.0000,1.0000
