timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,12.8000,12.8500,12.2000,12.3250,12.3250,520293,0.0000,1.0000
2018-08-13,12.8000,12.9750,12.5500,12.7000,12.7000,922917,0.0000,1.0000
2018-08-10,12.6000,13.0500,12.5250,12.9000,12.9000,1139251,0.0000,1.0000
2018-08-09,12.8500,12.8500,12.4000,12.6500,12.6500,870986,0.0000,1.0000
2018-08-08,12.7500,13.0750,12.6750,12.7500,12.7500,938768,0.0000,1.0000
2018-08-07,11.9500,13.2000,11.9499,12.7500,12.7500,3808966,0.0000,1.0000
2018-08-06,10.0500,10.3500,10.0500,10.2000,10.2000,860244,0.0000,1.0000
2018-08-03,10.2500,10.3500,9.7000,10.1500,10.1500,898100,0.0000,1.0000
2018-08-02,10.3000,10.4000,9.9750,10.1500,10.1500,464255,0.0000,1.0000
2018-08-01,10.5000,10.6500,10.1000,10.3000,10.3000,522772,0.0000,1.0000
2018-07-31,10.0000,10.6000,9.9000,10.4500,10.4500,661857,0.0000,1.0000
2018-07-30,10.0500,10.3000,9.7616,10.0000,10.0000,844754,0.0000,1.0000
2018-07-27,10.2000,10.2500,9.8500,10.0000,10.0000,763484,0.0000,1.0000
2018-07-26,10.5500,10.5500,10.1000,10.1500,10.1500,516031,0.0000,1.0000
2018-07-25,10.6500,10.9000,10.5000,10.6000,10.6000,888772,0.0000,1.0000
2018-07-24,10.5000,10.8500,10.3500,10.7000,10.7000,1578470,0.0000,1.0000
2018-07-23,10.6000,10.9500,10.3000,10.4000,10.4000,1331263,0.0000,1.0000
2018-07-20,10.3000,10.6750,10.3000,10.6000,10.6000,699272,0.0000,1.0000
2018-07-19,9.9500,10.6000,9.9500,10.4000,10.4000,1145811,0.0000,1.0000
2018-07-18,10.1500,10.4500,9.6000,10.0000,10.0000,1525419,0.0000,1.0000
2018-07-17,9.1500,10.4748,9.1000,10.3000,10.3000,1507127,0.0000,1.0000
2018-07-16,9.7500,9.7500,9.0000,9.2500,9.2500,1148171,0.0000,1.0000
2018-07-13,10.1000,10.1000,8.9500,9.1000,9.1000,1877857,0.0000,1.0000
2018-07-12,9.8500,10.2000,9.5000,10.1500,10.1500,1109607,0.0000,1.0000
2018-07-11,9.8500,10.2000,9.6500,9.8000,9.8000,629401,0.0000,1.0000
2018-07-10,10.6500,10.8000,9.8000,9.9000,9.9000,967331,0.0000,1.0000
2018-07-09,10.1500,10.9500,10.1000,10.6000,10.6000,1181449,0.0000,1.0000
2018-07-06,9.9500,10.1000,9.8500,10.1000,10.1000,755882,0.0000,1.0000
2018-07-05,10.0000,10.1000,9.6000,9.8500,9.8500,679199,0.0000,1.0000
2018-07-03,9.6000,10.0500,9.5500,9.9000,9.9000,582189,0.0000,1.0000
2018-07-02,9.4500,10.1601,9.4500,10.0000,10.0000,821217,0.0000,1.0000
2018-06-29,9.9000,10.0500,9.4000,9.7000,9.7000,1687160,0.0000,1.0000
2018-06-28,9.8500,10.0000,9.2500,9.8500,9.8500,2613655,0.0000,1.0000
2018-06-27,10.4000,10.5000,9.8500,9.8500,9.8500,1391766,0.0000,1.0000
2018-06-26,10.4000,10.8000,10.2010,10.3500,10.3500,1708552,0.0000,1.0000
2018-06-25,10.8500,11.0000,10.1500,10.3500,10.3500,1990665,0.0000,1.0000
2018-06-22,10.9500,11.0001,10.1500,11.0000,11.0000,6402299,0.0000,1.0000
2018-06-21,11.6500,11.7000,10.9000,10.9500,10.9500,1208952,0.0000,1.0000
2018-06-20,12.2000,12.2000,11.3500,11.7000,11.7000,1572747,0.0000,1.0000
2018-06-19,12.1500,12.2500,11.8500,12.1000,12.1000,876372,0.0000,1.0000
2018-06-18,11.8500,12.7115,11.8500,12.3500,12.3500,1204185,0.0000,1.0000
2018-06-15,12.1000,12.2500,11.8000,11.8500,11.8500,6137395,0.0000,1.0000
2018-06-14,13.0000,13.0500,11.9500,12.2500,12.2500,1871763,0.0000,1.0000
2018-06-13,13.3000,13.3500,12.8500,12.9500,12.9500,664131,0.0000,1.0000
2018-06-12,13.5500,13.6000,13.2000,13.2500,13.2500,519841,0.0000,1.0000
2018-06-11,13.1000,13.6000,13.0655,13.5500,13.5500,762942,0.0000,1.0000
2018-06-08,12.7000,13.4000,12.6500,13.1500,13.1500,738381,0.0000,1.0000
2018-06-07,13.2000,13.3500,12.6500,12.6500,12.6500,873594,0.0000,1.0000
2018-06-06,13.0000,13.6500,12.6500,13.2500,13.2500,1200448,0.0000,1.0000
2018-06-05,13.0500,13.5000,12.8500,12.9000,12.9000,897117,0.0000,1.0000
2018-06-04,14.4000,14.4000,12.7500,13.0000,13.0000,2137341,0.0000,1.0000
2018-06-01,13.4500,14.6500,13.4500,14.4000,14.4000,3297948,0.0000,1.0000
2018-05-31,13.4000,14.0500,13.2500,13.4500,13.4500,910713,0.0000,1.0000
2018-05-30,14.0500,14.1475,13.7750,13.9500,13.9500,439833,0.0000,1.0000
2018-05-29,13.7500,14.1000,13.4500,14.0000,14.0000,547622,0.0000,1.0000
2018-05-25,13.9500,14.1000,13.5000,13.7000,13.7000,463168,0.0000,1.0000
2018-05-24,14.3500,14.3500,13.8500,13.9500,13.9500,467489,0.0000,1.0000
2018-05-23,14.0000,14.3500,13.8000,14.2500,14.2500,678630,0.0000,1.0000
2018-05-22,14.6500,14.7000,13.6500,13.9000,13.9000,1098061,0.0000,1.0000
