timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,11.8700,12.1200,11.7300,12.0400,12.0400,248230,0.0000,1.0000
2018-08-13,11.9800,12.1250,11.6500,11.7900,11.7900,222957,0.0000,1.0000
2018-08-10,11.8200,12.0950,11.6200,12.0000,12.0000,208961,0.0000,1.0000
2018-08-09,11.5900,12.0740,11.5100,11.8900,11.8900,306777,0.0000,1.0000
2018-08-08,11.3900,11.7100,11.3600,11.6200,11.6200,272316,0.0000,1.0000
2018-08-07,11.3500,11.5500,11.1700,11.3600,11.3600,612674,0.0000,1.0000
2018-08-06,11.0800,11.4700,10.7956,11.3300,11.3300,205011,0.0000,1.0000
2018-08-03,11.6400,11.7222,11.1000,11.1600,11.1600,732835,0.0000,1.0000
2018-08-02,10.8600,11.5700,10.7506,11.5500,11.5500,512418,0.0000,1.0000
2018-08-01,10.8900,11.0800,10.6700,10.8900,10.8900,580717,0.0000,1.0000
2018-07-31,10.9000,10.9454,10.5300,10.8300,10.8300,1062474,0.0000,1.0000
2018-07-30,10.5800,11.0300,10.5800,10.8700,10.8700,555322,0.0000,1.0000
2018-07-27,10.6900,10.8000,10.4400,10.6300,10.6300,781232,0.0000,1.0000
2018-07-26,10.5800,11.0800,10.5000,10.6400,10.6400,3487266,0.0000,1.0000
2018-07-25,10.5400,11.4400,10.0110,11.2000,11.2000,1015686,0.0000,1.0000
2018-07-24,11.0000,11.5000,10.7500,11.1000,11.1000,1234348,0.0000,1.0000
2018-07-23,10.2000,10.4500,9.9600,10.3600,10.3600,189319,0.0000,1.0000
2018-07-20,10.2700,10.3800,10.0900,10.2200,10.2200,80688,0.0000,1.0000
2018-07-19,9.9800,10.4900,9.8900,10.3200,10.3200,175608,0.0000,1.0000
2018-07-18,10.1700,10.1700,9.7900,9.9900,9.9900,92342,0.0000,1.0000
2018-07-17,10.2500,10.4600,10.1200,10.1700,10.1700,127659,0.0000,1.0000
2018-07-16,10.3200,10.4000,10.0000,10.2400,10.2400,144034,0.0000,1.0000
2018-07-13,10.3600,10.4600,10.2800,10.3100,10.3100,127501,0.0000,1.0000
2018-07-12,10.4600,10.5000,10.3000,10.3500,10.3500,168549,0.0000,1.0000
2018-07-11,10.3100,10.5100,10.2700,10.4100,10.4100,135726,0.0000,1.0000
2018-07-10,10.3300,10.4300,10.1100,10.3800,10.3800,205387,0.0000,1.0000
2018-07-09,10.2700,10.4300,10.0300,10.3000,10.3000,132246,0.0000,1.0000
2018-07-06,9.9600,10.2500,9.7900,10.2300,10.2300,200393,0.0000,1.0000
2018-07-05,9.9800,10.0000,9.7000,9.9600,9.9600,97127,0.0000,1.0000
2018-07-03,9.6800,9.9800,9.6800,9.9400,9.9400,89992,0.0000,1.0000
2018-07-02,9.2900,9.7200,9.2600,9.6700,9.6700,168947,0.0000,1.0000
2018-06-29,9.2600,9.4300,9.1700,9.3400,9.3400,120333,0.0000,1.0000
2018-06-28,9.2600,9.4500,9.1300,9.2500,9.2500,130230,0.0000,1.0000
2018-06-27,9.2400,9.5775,9.0200,9.2800,9.2800,189469,0.0000,1.0000
2018-06-26,9.2900,9.5800,9.0700,9.2900,9.2900,153303,0.0000,1.0000
2018-06-25,9.4100,9.4100,9.0500,9.3000,9.3000,127597,0.0000,1.0000
2018-06-22,9.7400,9.8400,9.3500,9.5000,9.5000,585824,0.0000,1.0000
2018-06-21,9.6100,9.7600,9.5300,9.6100,9.6100,245304,0.0000,1.0000
2018-06-20,9.3700,9.6700,9.1500,9.6600,9.6600,223305,0.0000,1.0000
2018-06-19,8.5000,9.3700,8.4800,9.2600,9.2600,225033,0.0000,1.0000
2018-06-18,8.8000,8.8000,8.5500,8.5700,8.5700,135194,0.0000,1.0000
2018-06-15,8.7000,9.0100,8.6000,8.8600,8.8600,366229,0.0000,1.0000
2018-06-14,8.0300,8.7500,7.9600,8.7200,8.7200,303754,0.0000,1.0000
2018-06-13,7.9500,8.3300,7.9400,8.0400,8.0400,104631,0.0000,1.0000
2018-06-12,7.9200,8.0800,7.8300,7.9500,7.9500,163777,0.0000,1.0000
2018-06-11,7.5600,7.9600,7.5600,7.8900,7.8900,271219,0.0000,1.0000
2018-06-08,7.6100,7.8199,7.3900,7.5700,7.5700,197745,0.0000,1.0000
2018-06-07,7.5000,7.7800,7.0500,7.6000,7.6000,121288,0.0000,1.0000
2018-06-06,7.6700,7.9500,7.5800,7.5900,7.5900,206480,0.0000,1.0000
2018-06-05,7.7100,8.0000,7.6300,7.6700,7.6700,275507,0.0000,1.0000
