timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-13,9.9700,9.9800,9.9700,9.9700,9.9700,15260,0.0000,1.0000
2018-08-10,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-08-09,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-08-08,9.9700,9.9700,9.9200,9.9200,9.9200,1499,0.0000,1.0000
2018-08-07,9.9500,9.9500,9.9500,9.9500,9.9500,35790,0.0000,1.0000
2018-08-06,9.9500,9.9500,9.9500,9.9500,9.9500,500,0.0000,1.0000
2018-08-03,9.9200,9.9200,9.9200,9.9200,9.9200,500,0.0000,1.0000
2018-08-02,9.9500,9.9500,9.9200,9.9300,9.9300,88264,0.0000,1.0000
2018-08-01,9.9500,9.9500,9.9500,9.9500,9.9500,10400,0.0000,1.0000
2018-07-31,9.9500,9.9500,9.9500,9.9500,9.9500,180000,0.0000,1.0000
2018-07-30,9.9500,9.9500,9.9100,9.9300,9.9300,45796,0.0000,1.0000
2018-07-27,9.9300,9.9300,9.9300,9.9300,9.9300,0,0.0000,1.0000
2018-07-26,9.9100,9.9300,9.9100,9.9300,9.9300,300738,0.0000,1.0000
2018-07-25,9.9400,9.9400,9.9400,9.9400,9.9400,0,0.0000,1.0000
2018-07-24,9.9400,9.9400,9.9400,9.9400,9.9400,0,0.0000,1.0000
2018-07-23,9.9400,9.9400,9.9400,9.9400,9.9400,0,0.0000,1.0000
2018-07-20,9.9400,9.9400,9.9400,9.9400,9.9400,0,0.0000,1.0000
2018-07-19,9.9400,9.9400,9.9400,9.9400,9.9400,0,0.0000,1.0000
2018-07-18,9.9400,9.9400,9.9400,9.9400,9.9400,0,0.0000,1.0000
2018-07-17,9.9200,9.9400,9.9000,9.9400,9.9400,46043,0.0000,1.0000
2018-07-16,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-07-13,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-07-12,9.9200,9.9300,9.9100,9.9200,9.9200,6600,0.0000,1.0000
2018-07-11,9.9000,9.9000,9.9000,9.9000,9.9000,50023,0.0000,1.0000
2018-07-10,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,1.0000
2018-07-09,9.9000,9.9000,9.8800,9.9000,9.9000,30427,0.0000,1.0000
2018-07-06,9.9000,9.9000,9.8800,9.9000,9.9000,107500,0.0000,1.0000
2018-07-05,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
