timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,8.8000,9.2700,8.8000,9.2600,9.2600,75250,0.0000,1.0000
2018-08-13,8.6400,8.7300,8.6100,8.6200,8.6200,1924,0.0000,1.0000
2018-08-10,8.3300,9.1708,8.3300,8.7200,8.7200,129112,0.0000,1.0000
2018-08-09,8.6500,8.7000,8.4500,8.4660,8.4660,65920,0.0000,1.0000
2018-08-08,8.8600,9.0000,8.5750,8.7500,8.7500,40800,0.0000,1.0000
2018-08-07,8.7100,9.0400,8.1440,9.0400,9.0400,30951,0.0000,1.0000
2018-08-06,8.5700,8.8660,8.5500,8.7000,8.7000,12960,0.0000,1.0000
2018-08-03,8.9900,8.9900,8.6800,8.6800,8.6800,10750,0.0000,1.0000
2018-08-02,8.7400,9.1800,8.7400,9.1800,9.1800,43300,0.0000,1.0000
2018-08-01,8.7000,8.8000,8.5400,8.7400,8.7400,20318,0.0000,1.0000
2018-07-31,8.5000,8.8500,8.5000,8.7468,8.7468,12252,0.0000,1.0000
2018-07-30,8.8000,8.8000,8.1440,8.4010,8.4010,39555,0.0000,1.0000
2018-07-27,10.0000,10.0000,9.1000,9.1200,9.1200,8482,0.0000,1.0000
2018-07-26,9.5100,9.7500,9.3700,9.7500,9.7500,16027,0.0000,1.0000
2018-07-25,9.2500,9.3500,9.2500,9.3500,9.3500,1460,0.0000,1.0000
2018-07-24,9.6000,9.6000,9.0601,9.0601,9.0601,1151,0.0000,1.0000
2018-07-23,9.6200,9.6200,9.5500,9.5978,9.5978,1325,0.0000,1.0000
2018-07-20,9.6600,9.8410,9.1100,9.5200,9.5200,55299,0.0000,1.0000
2018-07-19,8.6200,8.6200,8.6200,8.6200,8.6200,550,0.0000,1.0000
2018-07-18,8.5000,8.6700,8.2000,8.5477,8.5477,12500,0.0000,1.0000
2018-07-17,9.1608,9.1608,8.4339,9.1000,9.1000,29845,0.0000,1.0000
2018-07-16,9.8700,9.8700,8.9100,9.4800,9.4800,27836,0.0000,1.0000
2018-07-13,8.8500,9.7500,8.8200,9.5280,9.5280,35764,0.0000,1.0000
2018-07-12,8.4898,8.9033,8.4800,8.8239,8.8239,16898,0.0000,1.0000
2018-07-11,8.1500,8.5200,8.1400,8.5100,8.5100,5144,0.0000,1.0000
2018-07-10,8.6000,8.6000,8.1094,8.2850,8.2850,7484,0.0000,1.0000
2018-07-09,8.6547,9.0000,8.6547,8.9400,8.9400,7940,0.0000,1.0000
2018-07-06,8.9050,8.9100,8.4612,8.6100,8.6100,4209,0.0000,1.0000
2018-07-05,8.7000,8.7436,8.1400,8.7400,8.7400,12868,0.0000,1.0000
2018-07-03,8.5500,8.5500,8.5300,8.5300,8.5300,204,0.0000,1.0000
2018-07-02,9.4000,9.7490,8.2500,8.6935,8.6935,2892,0.0000,1.0000
2018-06-29,7.9701,8.0896,7.8500,8.0896,8.0896,3770,0.0000,1.0000
2018-06-28,8.6300,8.6500,7.9500,8.2859,8.2859,17533,0.0000,1.0000
2018-06-27,9.0000,9.0000,8.3249,8.3249,8.3249,16728,0.0000,1.0000
2018-06-26,8.9100,9.1300,8.7700,8.9500,8.9500,17015,0.0000,1.0000
2018-06-25,9.6220,9.6499,8.6500,8.8667,8.8667,20057,0.0000,1.0000
2018-06-22,9.4000,9.5900,8.8340,9.5800,9.5800,27735,0.0000,1.0000
2018-06-21,10.2000,10.8401,8.9452,9.2200,9.2200,27452,0.0000,1.0000
2018-06-20,10.2000,11.0500,9.5800,9.5800,9.5800,43206,0.0000,1.0000
2018-06-19,10.5900,11.0900,10.5200,10.6500,10.6500,46057,0.0000,1.0000
2018-06-18,11.5000,11.8490,10.8450,10.9385,10.9385,292595,0.0000,1.0000
2018-06-15,9.6900,12.7200,9.6425,11.4500,11.4500,87897,0.0000,1.0000
2018-06-14,9.7000,10.4500,9.1300,9.1300,9.1300,67186,0.0000,1.0000
2018-06-13,8.4800,10.1000,8.4600,9.6726,9.6726,79227,0.0000,1.0000
2018-06-12,9.5700,9.5892,8.7500,8.7500,8.7500,36451,0.0000,1.0000
2018-06-11,8.2300,9.2721,7.9500,9.1200,9.1200,64679,0.0000,1.0000
2018-06-08,8.7500,8.7500,8.0000,8.3700,8.3700,28084,0.0000,1.0000
2018-06-07,8.7900,8.7900,7.7216,8.5100,8.5100,17830,0.0000,1.0000
2018-06-06,8.0400,8.4000,7.4928,8.2500,8.2500,21876,0.0000,1.0000
2018-06-05,7.8600,8.6200,7.6860,8.0500,8.0500,43618,0.0000,1.0000
2018-06-04,7.5800,8.1200,7.3400,7.8400,7.8400,23147,0.0000,1.0000
2018-06-01,8.6500,9.5500,7.6700,8.3518,8.3518,92074,0.0000,1.0000
