timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,37.2700,38.4800,37.2700,38.2400,38.2400,721764,0.0000,1.0000
2018-08-13,37.4800,37.8000,37.0000,37.0300,37.0300,639975,0.0000,1.0000
2018-08-10,37.6300,38.1000,36.8010,37.0900,37.0900,1066093,0.6000,1.0000
2018-08-09,37.8500,38.3800,36.5400,38.1300,37.5230,1291944,0.0000,1.0000
2018-08-08,36.6100,36.7836,35.6843,35.9400,35.3679,735899,0.0000,1.0000
2018-08-07,37.7400,37.7500,36.1010,36.5700,35.9878,1025572,0.0000,1.0000
2018-08-06,37.2000,37.5900,36.3010,37.3700,36.7751,1064686,0.0000,1.0000
2018-08-03,36.1000,36.1400,34.6700,35.6400,35.0726,898916,0.0000,1.0000
2018-08-02,34.5000,35.9900,34.5000,35.6700,35.1022,1034403,0.0000,1.0000
2018-08-01,32.4900,35.0900,32.0000,34.4000,33.8524,4796828,0.0000,1.0000
2018-07-31,32.5700,33.2439,31.2500,31.9800,31.4709,473547,0.0000,1.0000
2018-07-30,34.2000,34.3500,32.3510,32.4000,31.8842,833643,0.0000,1.0000
2018-07-27,33.2900,34.1800,32.8500,33.4200,32.8880,880432,0.0000,1.0000
2018-07-26,32.3400,33.3799,31.8940,33.2600,32.7305,935258,0.0000,1.0000
2018-07-25,31.1400,32.5800,30.8100,32.5600,32.0417,1013380,0.0000,1.0000
2018-07-24,31.6400,31.9300,31.0700,31.2500,30.7525,590412,0.0000,1.0000
2018-07-23,32.4800,32.7300,31.0600,31.1600,30.6640,564675,0.0000,1.0000
2018-07-20,31.9800,32.3350,31.5600,32.1800,31.6677,353991,0.0000,1.0000
2018-07-19,31.6900,32.3100,31.3100,31.7500,31.2446,375621,0.0000,1.0000
2018-07-18,31.0600,31.8900,30.9200,31.7500,31.2446,430943,0.0000,1.0000
2018-07-17,30.4100,31.3200,29.8550,31.2700,30.7722,516169,0.0000,1.0000
2018-07-16,31.5600,31.7147,30.3570,30.6700,30.1818,705216,0.0000,1.0000
2018-07-13,32.2900,32.9300,31.5000,31.7200,31.2150,446481,0.0000,1.0000
2018-07-12,33.1800,33.1860,31.8500,32.1900,31.6776,450621,0.0000,1.0000
2018-07-11,33.8300,34.1839,32.6501,32.7800,32.2582,600734,0.0000,1.0000
2018-07-10,33.5000,34.4900,33.3753,34.3300,33.7835,745185,0.0000,1.0000
2018-07-09,32.4000,33.6500,32.4000,33.1300,32.6026,557194,0.0000,1.0000
2018-07-06,32.3100,32.5800,31.7000,32.3000,31.7858,492123,0.0000,1.0000
2018-07-05,33.6400,33.9200,32.1950,32.6700,32.1499,782693,0.0000,1.0000
2018-07-03,32.9200,33.2500,32.5201,32.8900,32.3664,311989,0.0000,1.0000
2018-07-02,32.3100,32.8200,31.9300,32.2500,31.7366,865255,0.0000,1.0000
2018-06-29,31.1300,32.3590,30.8620,31.9100,31.4020,531535,0.0000,1.0000
2018-06-28,30.8000,31.2600,30.7600,30.9800,30.4868,420904,0.0000,1.0000
2018-06-27,30.7400,31.4700,30.6000,30.8800,30.3884,469576,0.0000,1.0000
2018-06-26,29.6800,30.7100,29.5600,30.3600,29.8767,517278,0.0000,1.0000
2018-06-25,30.1000,30.2500,29.0200,29.5400,29.0697,419917,0.0000,1.0000
2018-06-22,29.1700,30.0200,29.1408,29.9600,29.4831,523387,0.0000,1.0000
2018-06-21,29.1800,29.1800,28.1100,28.3400,27.8888,423734,0.0000,1.0000
2018-06-20,27.8500,29.7700,27.8500,29.1900,28.7253,665881,0.0000,1.0000
2018-06-19,27.3100,28.2900,26.9310,28.1600,27.7117,544601,0.0000,1.0000
2018-06-18,26.3300,27.4800,26.1100,27.4500,27.0130,747770,0.0000,1.0000
2018-06-15,27.1000,27.1300,26.0900,26.4600,26.0388,652258,0.0000,1.0000
2018-06-14,27.7700,27.7700,27.0101,27.1500,26.7178,320377,0.0000,1.0000
2018-06-13,27.8500,28.0000,27.2400,27.4800,27.0425,469523,0.0000,1.0000
2018-06-12,27.7400,28.4800,27.4000,28.0800,27.6330,345725,0.0000,1.0000
2018-06-11,27.5000,27.8367,26.8600,27.6800,27.2394,577543,0.0000,1.0000
2018-06-08,28.3300,28.5400,27.0200,27.5200,27.0819,572280,0.0000,1.0000
2018-06-07,27.7900,28.6300,27.7900,28.3300,27.8790,518210,0.0000,1.0000
2018-06-06,28.0700,28.2100,26.3900,27.7900,27.3476,1291512,0.0000,1.0000
2018-06-05,28.5600,28.9500,27.8500,28.0900,27.6428,1091107,0.0000,1.0000
2018-06-04,30.2100,30.3300,27.3200,28.5200,28.0660,2451086,0.0000,1.0000
2018-06-01,32.7300,32.7300,28.7500,30.4000,29.9161,1656526,0.0000,1.0000
2018-05-31,32.8500,33.0500,32.4600,32.5800,32.0613,406275,0.0000,1.0000
2018-05-30,32.7400,33.2350,32.5975,32.9000,32.3763,472024,0.0000,1.0000
2018-05-29,32.0200,32.9700,31.7500,32.5900,32.0712,686001,0.0000,1.0000
2018-05-25,32.1300,32.5800,31.6700,32.4300,31.9137,1129397,0.0000,1.0000
2018-05-24,32.7300,32.8900,32.4000,32.6900,32.1696,462221,0.0000,1.0000
2018-05-23,32.4000,33.2700,32.4000,32.7800,32.2582,836195,0.0000,1.0000
2018-05-22,33.5400,33.6290,32.1300,32.7400,32.2188,1137109,0.0000,1.0000
2018-05-21,32.0000,33.3300,31.9000,33.1000,32.5731,771061,0.0000,1.0000
2018-05-18,30.8900,31.9100,30.8550,31.7800,31.2741,961209,0.0000,1.0000
2018-05-17,30.4300,31.2500,30.4300,30.8000,30.3097,1271865,0.0000,1.0000
2018-05-16,29.9800,30.7390,29.9800,30.2000,29.7192,356892,0.0000,1.0000
2018-05-15,29.8300,30.7400,29.4900,30.1100,29.6307,614088,0.0000,1.0000
2018-05-14,30.2400,30.4700,29.5300,29.6200,29.1485,721961,0.0000,1.0000
2018-05-11,31.2500,31.3500,29.8600,30.2000,29.7192,882179,0.0000,1.0000
2018-05-10,31.5000,31.6270,30.7600,31.2900,30.7919,687554,0.0000,1.0000
2018-05-09,31.3400,31.6000,30.9100,31.3700,30.8706,488773,0.0000,1.0000
2018-05-08,30.7600,31.0500,30.0200,31.0500,30.5557,411175,0.0000,1.0000
2018-05-07,30.7000,31.6300,30.5050,30.8200,30.3294,558830,0.0000,1.0000
2018-05-04,29.4800,30.7500,29.4800,30.4600,29.9751,578038,0.0000,1.0000
2018-05-03,30.5500,30.6535,29.0000,29.5900,29.1189,655483,0.0000,1.0000
2018-05-02,30.1900,30.9450,29.3000,30.4400,29.9554,1456955,0.0000,1.0000
2018-05-01,28.8500,29.2300,28.2100,29.0500,28.5875,1236867,0.0000,1.0000
2018-04-30,28.3900,29.0050,28.3500,28.8000,28.3415,488754,0.0000,1.0000
2018-04-27,28.0300,28.3400,27.7000,28.2100,27.7609,338027,0.0000,1.0000
2018-04-26,28.4900,28.4900,27.9900,28.0900,27.6428,643541,0.0000,1.0000
2018-04-25,27.9100,28.4250,27.7100,28.2500,27.8003,522834,0.0000,1.0000
2018-04-24,28.9100,29.0500,27.6900,28.0700,27.6231,1008696,0.0000,1.0000
2018-04-23,28.7300,29.1100,28.5200,28.9200,28.4596,1035143,0.0000,1.0000
2018-04-20,28.6500,28.8100,28.3100,28.6200,28.1644,533652,0.0000,1.0000
2018-04-19,29.2000,29.4899,28.4300,28.6400,28.1841,761079,0.4800,1.0000
2018-04-18,29.2800,29.8200,29.0000,29.2500,28.3099,774952,0.0000,1.0000
2018-04-17,28.7000,29.3200,28.6100,28.9100,27.9808,1129540,0.0000,1.0000
2018-04-16,28.4400,29.0700,28.1500,28.7100,27.7872,1365545,0.0000,1.0000
2018-04-13,26.2500,28.2200,26.1510,28.1500,27.2452,2188899,0.0000,1.0000
2018-04-12,26.9100,27.5200,26.5900,26.6000,25.7451,885138,0.0000,1.0000
2018-04-11,26.0900,27.2500,26.0489,26.4800,25.6289,1581812,0.0000,1.0000
2018-04-10,25.9100,26.2200,25.8500,26.0000,25.1643,731314,0.0000,1.0000
2018-04-09,25.5600,26.2400,25.2610,25.5500,24.7288,451473,0.0000,1.0000
2018-04-06,26.5100,26.7400,25.0400,25.1800,24.3707,1015251,0.0000,1.0000
2018-04-05,25.6500,27.3000,25.6500,26.5000,25.6483,1324312,0.0000,1.0000
2018-04-04,25.0100,25.6100,24.8400,25.5200,24.6998,361037,0.0000,1.0000
2018-04-03,25.1000,25.5500,24.9100,25.4500,24.6320,474687,0.0000,1.0000
2018-04-02,25.2500,25.6200,24.5900,25.0300,24.2255,554974,0.0000,1.0000
2018-03-29,23.4500,25.4800,23.4500,25.4100,24.5933,980953,0.0000,1.0000
2018-03-28,23.5300,23.8600,22.8900,23.0400,22.2995,232321,0.0000,1.0000
2018-03-27,24.2800,24.8329,23.3300,23.5200,22.7641,292498,0.0000,1.0000
