timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,129.4500,131.8250,128.5611,131.3500,131.3500,64728,0.0000,1.0000
2018-08-13,130.8000,130.8000,128.0500,129.3000,129.3000,31375,0.0000,1.0000
2018-08-10,130.7000,130.7000,127.4000,129.5500,129.5500,64731,0.0000,1.0000
2018-08-09,132.6000,132.6000,130.9000,131.1500,131.1500,31632,0.0000,1.0000
2018-08-08,131.5000,132.8000,130.1000,132.8000,132.8000,32243,0.0000,1.0000
2018-08-07,129.9500,132.7750,129.9500,131.9000,131.9000,35204,0.0000,1.0000
2018-08-06,127.4500,130.5500,126.2875,130.0500,130.0500,39016,0.0000,1.0000
2018-08-03,127.5000,128.5500,126.1500,127.5000,127.5000,23574,0.0000,1.0000
2018-08-02,127.3500,128.2000,124.5000,127.6000,127.6000,81849,0.0000,1.0000
2018-08-01,133.4000,133.4000,126.1500,127.9500,127.9500,88070,0.0000,1.0000
2018-07-31,130.5000,133.2500,129.5200,133.2500,133.2500,45468,0.0000,1.0000
2018-07-30,129.6500,134.2510,128.8000,130.3000,130.3000,57951,0.4500,1.0000
2018-07-27,128.9000,134.1000,124.6000,129.4000,128.9546,71514,0.0000,1.0000
2018-07-26,129.3500,131.6000,128.7000,129.6500,129.2038,81019,0.0000,1.0000
2018-07-25,129.1000,131.9500,126.2969,129.8000,129.3533,71633,0.0000,1.0000
2018-07-24,130.0000,130.4250,127.4750,129.2000,128.7553,46638,0.0000,1.0000
2018-07-23,128.9500,130.4500,127.1600,129.2000,128.7553,59239,0.0000,1.0000
2018-07-20,128.3000,130.1000,128.3000,129.0500,128.6059,76922,0.0000,1.0000
2018-07-19,129.4000,131.9000,128.0500,128.3000,127.8584,46990,0.0000,1.0000
2018-07-18,128.8000,131.2500,127.3500,129.7000,129.2536,87513,0.0000,1.0000
2018-07-17,130.6500,133.6625,127.9500,128.5500,128.1076,63178,0.0000,1.0000
2018-07-16,131.5000,132.9000,129.4500,130.4000,129.9512,57399,0.0000,1.0000
2018-07-13,132.3500,134.0000,130.3000,131.5000,131.0474,44782,0.0000,1.0000
2018-07-12,132.9000,133.4500,130.1500,131.9500,131.4959,22000,0.0000,1.0000
2018-07-11,132.9000,134.1000,131.1250,131.4000,130.9478,51457,0.0000,1.0000
2018-07-10,130.7000,133.6000,130.7000,133.1000,132.6419,105424,0.0000,1.0000
2018-07-09,130.3000,131.7000,129.4500,130.3500,129.9014,51161,0.0000,1.0000
2018-07-06,130.8500,134.2000,129.6000,130.1000,129.6522,39733,0.0000,1.0000
2018-07-05,130.0000,131.3500,128.2500,130.8000,130.3498,36812,0.0000,1.0000
2018-07-03,129.5500,130.2500,128.0000,128.8000,128.3567,20407,0.0000,1.0000
2018-07-02,127.8500,130.0000,126.5000,128.9000,128.4564,58168,0.0000,1.0000
2018-06-29,130.7500,132.0500,127.9500,127.9500,127.5096,61733,0.0000,1.0000
2018-06-28,128.5500,132.0750,126.4500,129.6500,129.2038,57712,0.0000,1.0000
2018-06-27,134.5000,135.2500,127.8500,128.2000,127.7588,54732,0.0000,1.0000
2018-06-26,134.1000,135.1500,132.3000,134.1000,133.6385,42805,0.0000,1.0000
2018-06-25,136.6000,136.6000,131.7500,133.6000,133.1402,50431,0.0000,1.0000
2018-06-22,134.9500,138.0000,130.5750,137.5000,137.0268,95251,0.0000,1.0000
2018-06-21,133.9500,134.8000,130.8000,133.7000,133.2398,51065,0.0000,1.0000
2018-06-20,135.2000,138.0250,131.8250,133.7000,133.2398,111773,0.0000,1.0000
2018-06-19,132.0000,134.5500,131.3500,133.9500,133.4890,84489,0.0000,1.0000
2018-06-18,131.3500,134.7000,129.7000,133.0000,132.5423,74979,0.0000,1.0000
2018-06-15,127.5500,133.0500,126.1500,132.2500,131.7948,101542,0.0000,1.0000
2018-06-14,127.4000,129.0000,126.1000,128.2500,127.8086,60367,0.0000,1.0000
2018-06-13,129.0000,129.4750,126.2750,127.1000,126.6626,39196,0.0000,1.0000
2018-06-12,128.5000,129.3750,126.4500,128.7500,128.3069,46857,0.0000,1.0000
2018-06-11,127.4500,130.4000,127.4500,128.0500,127.6093,36993,0.0000,1.0000
2018-06-08,127.8500,129.6000,126.8500,127.1000,126.6626,26712,0.0000,1.0000
2018-06-07,129.0500,130.8000,126.5250,127.9000,127.4598,30326,0.0000,1.0000
2018-06-06,128.3500,130.0000,127.2750,128.4000,127.9581,37466,0.0000,1.0000
2018-06-05,130.2000,131.0000,126.9000,128.0000,127.5595,43273,0.0000,1.0000
2018-06-04,127.4000,131.2500,126.5000,130.0500,129.6024,89267,0.0000,1.0000
2018-06-01,126.2500,129.5000,123.0000,127.3500,126.9117,29272,0.0000,1.0000
2018-05-31,125.6000,128.6000,124.4000,125.5500,125.1179,34944,0.0000,1.0000
2018-05-30,124.1000,126.7500,124.1000,125.2000,124.7691,28886,0.0000,1.0000
2018-05-29,124.4000,124.6500,122.1000,123.5000,123.0750,45050,0.0000,1.0000
2018-05-25,125.4000,127.3000,123.8750,125.2500,124.8189,37456,0.0000,1.0000
2018-05-24,125.0000,125.7000,122.9000,125.6000,125.1677,50386,0.0000,1.0000
2018-05-23,126.3500,126.3500,124.3500,124.8500,124.4203,22569,0.0000,1.0000
2018-05-22,129.0500,129.0500,125.9500,126.3500,125.9151,27876,0.0000,1.0000
2018-05-21,129.0000,130.3000,128.2000,128.8500,128.4065,33933,0.0000,1.0000
2018-05-18,130.0500,130.1000,127.4500,128.4500,128.0079,62855,0.0000,1.0000
2018-05-17,127.0500,130.2500,127.0500,129.4500,129.0045,53341,0.0000,1.0000
2018-05-16,124.0000,127.7500,124.0000,127.0500,126.6127,50552,0.0000,1.0000
2018-05-15,123.4000,125.4500,122.9000,124.0000,123.5732,29313,0.0000,1.0000
2018-05-14,124.1000,124.5000,122.9500,123.7000,123.2743,39333,0.0000,1.0000
2018-05-11,121.6000,123.8000,121.4000,123.4500,123.0251,45687,0.0000,1.0000
2018-05-10,120.9000,122.5000,120.4000,121.5500,121.1317,54605,0.0000,1.0000
2018-05-09,119.1500,121.8000,119.1250,120.5500,120.1351,86104,0.0000,1.0000
2018-05-08,117.0500,120.7500,116.3000,118.7000,118.2915,72758,0.0000,1.0000
2018-05-07,115.8000,117.8500,114.8500,117.1000,116.6970,29391,0.0000,1.0000
2018-05-04,114.5000,115.9000,114.2500,115.5500,115.1523,32240,0.0000,1.0000
2018-05-03,114.6000,115.5000,113.7500,115.0500,114.6540,40514,0.0000,1.0000
2018-05-02,114.8000,116.6000,110.0000,114.9000,114.5046,75915,0.0000,1.0000
2018-05-01,115.5500,117.4000,112.7761,115.1000,114.7039,72649,0.0000,1.0000
2018-04-30,115.8500,117.4000,114.4000,115.3500,114.9530,93949,0.0000,1.0000
2018-04-27,115.1500,117.8750,113.9750,114.8000,114.4049,78257,0.4500,1.0000
2018-04-26,115.1500,115.3500,113.1377,114.1500,113.3130,42262,0.0000,1.0000
2018-04-25,114.5500,116.1500,112.6500,114.7000,113.8589,32895,0.0000,1.0000
2018-04-24,115.3000,115.8500,113.5700,114.6000,113.7597,23190,0.0000,1.0000
2018-04-23,115.8000,115.8000,112.9000,114.4000,113.5611,36084,0.0000,1.0000
2018-04-20,116.8000,119.7875,114.9500,115.8500,115.0005,35067,0.0000,1.0000
2018-04-19,117.3500,118.9500,115.5500,117.3000,116.4399,29164,0.0000,1.0000
2018-04-18,118.7500,120.0250,116.3000,118.0000,117.1347,93759,0.0000,1.0000
2018-04-17,119.3000,120.9000,117.8000,118.9500,118.0778,31898,0.0000,1.0000
2018-04-16,116.3000,119.2500,114.7750,118.6500,117.7800,105968,0.0000,1.0000
2018-04-13,117.5000,118.5000,115.1000,115.9000,115.0501,61386,0.0000,1.0000
2018-04-12,119.0500,119.9750,116.9500,117.1000,116.2413,43151,0.0000,1.0000
2018-04-11,120.2000,120.5000,117.2500,118.7500,117.8792,43375,0.0000,1.0000
2018-04-10,124.0500,124.9500,120.9500,121.7500,120.8572,47591,0.0000,1.0000
2018-04-09,124.8000,126.0000,122.3500,123.3000,122.3959,80878,0.0000,1.0000
2018-04-06,125.2000,126.2000,123.2500,124.5000,123.5871,66360,0.0000,1.0000
2018-04-05,126.4500,131.8490,124.7500,126.5000,125.5724,43194,0.0000,1.0000
2018-04-04,121.5500,126.8000,121.5500,126.0500,125.1257,74293,0.0000,1.0000
2018-04-03,120.3000,125.7500,120.3000,123.9500,123.0411,49256,0.0000,1.0000
2018-04-02,123.3000,123.6500,117.9000,119.8000,118.9215,43612,0.0000,1.0000
2018-03-29,124.2500,125.4500,123.1250,123.8000,122.8922,68807,0.0000,1.0000
2018-03-28,123.5000,127.2750,121.0565,123.3500,122.4455,50554,0.0000,1.0000
2018-03-27,124.6000,129.9000,121.5250,123.1000,122.1973,52012,0.0000,1.0000
2018-03-26,124.1000,126.3712,122.8000,123.9000,122.9915,39057,0.0000,1.0000
2018-03-23,127.6000,128.0000,122.1000,122.3000,121.4032,26097,0.0000,1.0000
2018-03-22,129.5500,130.0000,127.0000,127.3500,126.4162,26349,0.0000,1.0000
2018-03-21,129.2000,132.3500,129.2000,130.5000,129.5431,21279,0.0000,1.0000
2018-03-20,130.5500,131.1250,128.8000,128.9500,128.0044,40883,0.0000,1.0000
2018-03-19,131.8000,131.8000,129.0000,130.3500,129.3942,54530,0.0000,1.0000
2018-03-16,130.6000,134.1750,128.7500,132.0500,131.0817,81508,0.0000,1.0000
2018-03-15,131.8500,131.8500,129.1000,130.5000,129.5431,27943,0.0000,1.0000
2018-03-14,132.0500,132.5000,129.3000,130.8500,129.8905,54839,0.0000,1.0000
2018-03-13,134.9000,134.9000,129.2000,131.3500,130.3868,51790,0.0000,1.0000
2018-03-12,134.1500,135.9000,132.0500,134.3000,133.3152,61745,0.0000,1.0000
2018-03-09,129.6000,134.8500,127.7000,134.1500,133.1663,108127,0.0000,1.0000
2018-03-08,127.5000,128.7500,126.1500,128.5500,127.6074,45001,0.0000,1.0000
2018-03-07,125.2500,127.9250,125.2500,127.1000,126.1680,27059,0.0000,1.0000
2018-03-06,123.7500,126.6250,122.6500,126.3000,125.3739,35765,0.0000,1.0000
2018-03-05,121.9000,124.3000,116.6750,123.3500,122.4455,40364,0.0000,1.0000
2018-03-02,121.9000,124.2000,120.7000,122.5000,121.6017,31109,0.0000,1.0000
2018-03-01,123.1000,124.7250,121.2250,122.9000,121.9988,47411,0.0000,1.0000
2018-02-28,124.2500,125.2000,122.7500,123.0500,122.1477,47323,0.0000,1.0000
2018-02-27,123.7000,125.8000,122.2750,123.9000,122.9915,40088,0.0000,1.0000
2018-02-26,122.6000,126.3500,121.4500,123.9000,122.9915,20177,0.0000,1.0000
2018-02-23,122.8500,123.8500,119.2500,122.3000,121.4032,80944,0.0000,1.0000
2018-02-22,123.9500,124.5000,121.2750,122.0000,121.1054,38127,0.0000,1.0000
2018-02-21,123.6000,126.4500,120.2750,123.2500,122.3462,42248,0.0000,1.0000
2018-02-20,125.1500,125.9000,122.6000,123.2000,122.2966,36677,0.0000,1.0000
2018-02-16,125.5500,127.9250,124.6000,126.0000,125.0761,165800,0.0000,1.0000
2018-02-15,126.9500,128.2499,125.2250,125.7500,124.8279,18743,0.0000,1.0000
2018-02-14,122.5000,127.0500,122.1750,125.9000,124.9768,36327,0.0000,1.0000
2018-02-13,122.8000,126.5500,121.9500,123.5000,122.5944,63546,0.0000,1.0000
2018-02-12,122.3500,124.6500,119.9500,123.5500,122.6440,67485,0.0000,1.0000
