timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.2600,1.3200,1.2300,1.2300,1.2300,109468,0.0000,1.0000
2018-08-13,1.3200,1.3206,1.2700,1.2800,1.2800,105657,0.0000,1.0000
2018-08-10,1.2800,1.3000,1.2602,1.2800,1.2800,97416,0.0000,1.0000
2018-08-09,1.2700,1.2900,1.2400,1.2800,1.2800,105422,0.0000,1.0000
2018-08-08,1.2700,1.2749,1.2400,1.2500,1.2500,88814,0.0000,1.0000
2018-08-07,1.2900,1.2990,1.2500,1.2800,1.2800,117663,0.0000,1.0000
2018-08-06,1.2600,1.2900,1.2500,1.2700,1.2700,82887,0.0000,1.0000
2018-08-03,1.2800,1.3200,1.2600,1.2700,1.2700,51143,0.0000,1.0000
2018-08-02,1.2600,1.2890,1.2400,1.2800,1.2800,91297,0.0000,1.0000
2018-08-01,1.2600,1.3300,1.2171,1.2900,1.2900,347009,0.0000,1.0000
2018-07-31,1.2200,1.2800,1.2010,1.2600,1.2600,166666,0.0000,1.0000
2018-07-30,1.2900,1.2900,1.2100,1.2500,1.2500,188994,0.0000,1.0000
2018-07-27,1.2900,1.3100,1.2500,1.3000,1.3000,209162,0.0000,1.0000
2018-07-26,1.3000,1.3319,1.2827,1.3000,1.3000,108011,0.0000,1.0000
2018-07-25,1.3600,1.3600,1.3100,1.3100,1.3100,171888,0.0000,1.0000
2018-07-24,1.3400,1.3690,1.3150,1.3600,1.3600,232501,0.0000,1.0000
2018-07-23,1.3700,1.3911,1.3300,1.3400,1.3400,144947,0.0000,1.0000
2018-07-20,1.3800,1.4000,1.3500,1.3800,1.3800,99045,0.0000,1.0000
2018-07-19,1.3400,1.4000,1.3200,1.3600,1.3600,89634,0.0000,1.0000
2018-07-18,1.3900,1.4200,1.2500,1.3500,1.3500,430245,0.0000,1.0000
2018-07-17,1.4000,1.4500,1.3700,1.4000,1.4000,138943,0.0000,1.0000
2018-07-16,1.3600,1.5300,1.3300,1.4000,1.4000,584903,0.0000,1.0000
2018-07-13,1.3800,1.3900,1.3200,1.3700,1.3700,87248,0.0000,1.0000
2018-07-12,1.3600,1.4000,1.3000,1.3700,1.3700,176744,0.0000,1.0000
2018-07-11,1.4000,1.4000,1.3400,1.3700,1.3700,148686,0.0000,1.0000
2018-07-10,1.4400,1.4500,1.3800,1.3800,1.3800,211384,0.0000,1.0000
2018-07-09,1.4400,1.4400,1.3900,1.4300,1.4300,216374,0.0000,1.0000
2018-07-06,1.3800,1.4300,1.3708,1.4200,1.4200,266782,0.0000,1.0000
2018-07-05,1.3900,1.4000,1.3500,1.3900,1.3900,204545,0.0000,1.0000
2018-07-03,1.4200,1.4200,1.3600,1.4000,1.4000,76298,0.0000,1.0000
2018-07-02,1.3900,1.4400,1.3800,1.4100,1.4100,323445,0.0000,1.0000
2018-06-29,1.3500,1.4100,1.3300,1.3700,1.3700,294578,0.0000,1.0000
2018-06-28,1.3800,1.4000,1.3000,1.3300,1.3300,338082,0.0000,1.0000
2018-06-27,1.5000,1.5000,1.3500,1.3500,1.3500,501641,0.0000,1.0000
2018-06-26,1.3300,1.3500,1.3000,1.3500,1.3500,187841,0.0000,1.0000
2018-06-25,1.3100,1.3454,1.2900,1.3300,1.3300,226420,0.0000,1.0000
2018-06-22,1.3600,1.3783,1.2700,1.3100,1.3100,513044,0.0000,1.0000
2018-06-21,1.4000,1.4095,1.3600,1.3700,1.3700,404442,0.0000,1.0000
2018-06-20,1.4500,1.4600,1.3800,1.4100,1.4100,476348,0.0000,1.0000
2018-06-19,1.4800,1.4850,1.4400,1.4600,1.4600,245173,0.0000,1.0000
2018-06-18,1.4900,1.5000,1.4500,1.4800,1.4800,290332,0.0000,1.0000
2018-06-15,1.4600,1.5300,1.4200,1.5000,1.5000,521038,0.0000,1.0000
2018-06-14,1.5200,1.5200,1.4100,1.4800,1.4800,690489,0.0000,1.0000
2018-06-13,1.5800,1.6000,1.4000,1.4900,1.4900,2825298,0.0000,1.0000
2018-06-12,1.4300,1.4447,1.3800,1.4100,1.4100,401388,0.0000,1.0000
2018-06-11,1.5500,1.5900,1.3650,1.4200,1.4200,1671306,0.0000,1.0000
2018-06-08,1.3800,1.4800,1.3600,1.4800,1.4800,901624,0.0000,1.0000
2018-06-07,1.3700,1.4050,1.3000,1.3700,1.3700,626573,0.0000,1.0000
2018-06-06,1.3800,1.3900,1.3300,1.3600,1.3600,285170,0.0000,1.0000
2018-06-05,1.3400,1.3899,1.3000,1.3700,1.3700,340454,0.0000,1.0000
2018-06-04,1.3700,1.3890,1.3000,1.3300,1.3300,428699,0.0000,1.0000
2018-06-01,1.4000,1.4400,1.3600,1.3600,1.3600,509100,0.0000,1.0000
2018-05-31,1.3800,1.4300,1.3100,1.4100,1.4100,780894,0.0000,1.0000
2018-05-30,1.4000,1.4000,1.2700,1.3900,1.3900,1694593,0.0000,1.0000
2018-05-29,1.4300,1.4400,1.2600,1.3200,1.3200,2612404,0.0000,1.0000
2018-05-25,1.6700,1.7600,1.4100,1.4700,1.4700,27963164,0.0000,1.0000
2018-05-24,1.0000,1.0000,0.9600,0.9700,0.9700,1137088,0.0000,1.0000
2018-05-23,0.9900,1.0800,0.9711,0.9867,0.9867,467424,0.0000,1.0000
2018-05-22,1.0200,1.0200,0.9600,0.9900,0.9900,97619,0.0000,1.0000
2018-05-21,0.9950,1.0200,0.9900,1.0100,1.0100,77922,0.0000,1.0000
2018-05-18,0.9900,0.9950,0.9600,0.9950,0.9950,66645,0.0000,1.0000
2018-05-17,0.9739,0.9900,0.9600,0.9700,0.9700,68802,0.0000,1.0000
2018-05-16,1.0100,1.0200,0.9400,0.9506,0.9506,124948,0.0000,1.0000
2018-05-15,1.0400,1.0400,0.9900,1.0200,1.0200,90728,0.0000,1.0000
2018-05-14,1.0500,1.0500,0.9900,1.0400,1.0400,166622,0.0000,1.0000
2018-05-11,1.0400,1.0500,0.9900,1.0200,1.0200,261473,0.0000,1.0000
2018-05-10,1.0400,1.0400,1.0100,1.0400,1.0400,157773,0.0000,1.0000
2018-05-09,1.0400,1.0400,0.9700,1.0100,1.0100,274545,0.0000,1.0000
2018-05-08,1.0200,1.0500,1.0101,1.0400,1.0400,184127,0.0000,1.0000
2018-05-07,1.0200,1.0300,0.9912,1.0200,1.0200,174163,0.0000,1.0000
2018-05-04,0.9920,1.0500,0.9500,0.9867,0.9867,126166,0.0000,1.0000
2018-05-03,1.0000,1.0000,0.9600,0.9800,0.9800,100657,0.0000,1.0000
2018-05-02,1.0400,1.0647,0.9675,1.0000,1.0000,219172,0.0000,1.0000
2018-05-01,1.0600,1.0790,0.9600,1.0400,1.0400,810379,0.0000,1.0000
2018-04-30,0.9500,1.0400,0.9100,1.0000,1.0000,408388,0.0000,1.0000
2018-04-27,0.9290,0.9500,0.9000,0.9200,0.9200,184005,0.0000,1.0000
2018-04-26,0.8600,0.9500,0.8507,0.9300,0.9300,422358,0.0000,1.0000
2018-04-25,0.8800,0.8800,0.8300,0.8500,0.8500,242100,0.0000,1.0000
2018-04-24,0.8900,0.9198,0.8600,0.8750,0.8750,320651,0.0000,1.0000
2018-04-23,0.9500,0.9500,0.8101,0.8849,0.8849,544588,0.0000,1.0000
2018-04-20,0.9500,0.9800,0.8800,0.9398,0.9398,1224744,0.0000,1.0000
2018-04-19,1.1700,1.1900,1.0000,1.0800,1.0800,328978,0.0000,1.0000
2018-04-18,1.1600,1.2000,1.1000,1.1500,1.1500,179365,0.0000,1.0000
