timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,37.2500,37.5000,36.9000,36.9500,36.9500,512468,0.0000,1.0000
2018-08-13,37.0000,37.3000,36.6500,37.1000,37.1000,443804,0.0000,1.0000
2018-08-10,36.9000,37.4500,36.5500,37.1000,37.1000,610692,0.0000,1.0000
2018-08-09,36.8000,37.2250,36.4000,37.0500,37.0500,462052,0.0000,1.0000
2018-08-08,36.5500,36.9000,36.1750,36.7500,36.7500,462496,0.0000,1.0000
2018-08-07,36.3500,36.7250,36.1070,36.6000,36.6000,1120167,0.0000,1.0000
2018-08-06,36.1000,36.3000,35.6000,36.2000,36.2000,1731954,0.0000,1.0000
2018-08-03,37.7500,37.8000,36.1500,36.2500,36.2500,1490541,0.0000,1.0000
2018-08-02,37.2500,38.0500,36.9750,37.8000,37.8000,734364,0.0000,1.0000
2018-08-01,37.3000,37.6000,36.3500,37.4500,37.4500,797616,0.0000,1.0000
2018-07-31,36.4000,37.4500,36.2807,37.2500,37.2500,613587,0.0000,1.0000
2018-07-30,36.4500,37.1000,36.2000,36.3500,36.3500,734655,0.0000,1.0000
2018-07-27,35.9000,36.7000,35.8125,36.3500,36.3500,1364386,0.0000,1.0000
2018-07-26,36.5500,36.8500,35.0750,36.0500,36.0500,2100739,0.0000,1.0000
2018-07-25,36.3000,36.7000,35.1000,36.6000,36.6000,1948389,0.0000,1.0000
2018-07-24,42.4500,42.8000,35.2500,36.1500,36.1500,4948112,0.0000,1.0000
2018-07-23,39.4500,40.3000,39.0000,40.1500,40.1500,2178260,0.0000,1.0000
2018-07-20,37.9000,39.6000,37.8000,39.3500,39.3500,1960552,0.0000,1.0000
2018-07-19,37.2500,38.2000,37.0000,38.1000,38.1000,1002493,0.0000,1.0000
2018-07-18,36.8500,37.6000,36.4500,37.3000,37.3000,1174158,0.0000,1.0000
2018-07-17,35.9500,36.8000,35.9000,36.6000,36.6000,1181245,0.0000,1.0000
2018-07-16,37.3500,37.8000,35.3500,35.8500,35.8500,1788513,0.0000,1.0000
2018-07-13,37.7000,38.3250,37.0250,37.1500,37.1500,1491991,0.0000,1.0000
2018-07-12,37.6500,37.9000,37.4500,37.6500,37.6500,764925,0.0000,1.0000
2018-07-11,36.8500,38.1000,36.5000,37.5500,37.5500,1084517,0.0000,1.0000
2018-07-10,38.5500,38.9000,37.1412,38.1500,38.1500,842805,0.0000,1.0000
2018-07-09,37.6500,38.7000,37.6000,38.4000,38.4000,733885,0.0000,1.0000
2018-07-06,37.5500,38.4000,37.3500,37.9000,37.9000,474655,0.0000,1.0000
2018-07-05,37.7500,38.0000,36.8500,37.6000,37.6000,901524,0.0000,1.0000
2018-07-03,37.9000,38.4000,37.3500,37.5500,37.5500,322474,0.0000,1.0000
2018-07-02,37.3500,38.2500,37.3000,37.6500,37.6500,564756,0.0000,1.0000
2018-06-29,37.6500,38.1000,37.4000,37.5500,37.5500,705419,0.0900,1.0000
2018-06-28,37.3500,37.7500,36.9500,37.5000,37.4103,720439,0.0000,1.0000
2018-06-27,38.0000,38.3000,37.3000,37.5500,37.4602,714331,0.0000,1.0000
2018-06-26,38.0000,38.3500,37.2000,37.8500,37.7595,646917,0.0000,1.0000
2018-06-25,39.5000,39.5000,37.9000,38.0000,37.9091,876636,0.0000,1.0000
2018-06-22,40.4500,40.9250,39.6000,39.8000,39.7048,1467044,0.0000,1.0000
2018-06-21,40.1000,40.6000,39.4500,40.2500,40.1538,1266764,0.0000,1.0000
2018-06-20,39.1000,40.3500,38.5000,40.0000,39.9044,1666733,0.0000,1.0000
2018-06-19,38.5000,39.1500,37.5500,39.0500,38.9566,922589,0.0000,1.0000
2018-06-18,39.0500,40.1990,38.4250,38.8500,38.7571,925647,0.0000,1.0000
2018-06-15,38.3000,39.2500,38.2500,39.1000,39.0065,962095,0.0000,1.0000
2018-06-14,39.1500,39.2000,38.0500,38.5000,38.4079,960717,0.0000,1.0000
2018-06-13,39.8000,40.2500,39.0750,39.1000,39.0065,882627,0.0000,1.0000
2018-06-12,39.3500,39.7500,38.8500,39.6500,39.5552,567537,0.0000,1.0000
2018-06-11,38.1500,39.5000,38.0500,39.2000,39.1063,898772,0.0000,1.0000
2018-06-08,37.4000,38.3750,37.3500,38.2000,38.1087,703944,0.0000,1.0000
2018-06-07,37.0500,37.3000,36.5000,37.2500,37.1609,897217,0.0000,1.0000
2018-06-06,37.9000,38.3500,36.4000,37.0000,36.9115,1473464,0.0000,1.0000
2018-06-05,38.2000,38.8500,37.2500,37.4500,37.3605,1368381,0.0000,1.0000
2018-06-04,39.6500,39.8000,38.3000,38.3500,38.2583,1424013,0.0000,1.0000
2018-06-01,39.5500,40.1000,38.9750,39.6500,39.5552,731435,0.0000,1.0000
2018-05-31,39.9000,40.0000,38.7500,39.2000,39.1063,756009,0.0000,1.0000
2018-05-30,39.1000,40.1750,38.8750,39.8500,39.7547,678684,0.0000,1.0000
2018-05-29,38.6000,39.2500,38.3000,39.0000,38.9067,584190,0.0000,1.0000
2018-05-25,38.6000,39.2500,37.5000,39.0000,38.9067,610673,0.0000,1.0000
2018-05-24,38.2500,38.9500,38.1500,38.6500,38.5576,723520,0.0000,1.0000
2018-05-23,38.2000,38.2000,37.4000,38.2000,38.1087,721333,0.0000,1.0000
2018-05-22,39.8000,40.0500,38.1750,38.3000,38.2084,1125874,0.0000,1.0000
2018-05-21,38.1500,39.3500,38.1500,38.9500,38.8569,1096685,0.0000,1.0000
2018-05-18,37.4000,38.2500,36.3497,37.9500,37.8593,1240634,0.0000,1.0000
2018-05-17,36.5000,37.6500,36.2000,37.3500,37.2607,1158719,0.0000,1.0000
2018-05-16,36.3000,36.8000,36.0500,36.5000,36.4127,744778,0.0000,1.0000
2018-05-15,37.0000,37.0500,36.0000,36.4000,36.3130,927145,0.0000,1.0000
2018-05-14,36.9000,37.5000,36.8500,37.1500,37.0612,1272163,0.0000,1.0000
2018-05-11,36.2000,37.2000,36.1000,36.8500,36.7619,1017911,0.0000,1.0000
2018-05-10,35.7500,36.5000,35.7500,36.0500,35.9638,662421,0.0000,1.0000
2018-05-09,35.4500,35.7250,35.3500,35.5500,35.4650,518611,0.0000,1.0000
2018-05-08,34.7500,35.7250,34.7500,35.4500,35.3652,574090,0.0000,1.0000
2018-05-07,34.7000,35.2500,34.7000,34.8500,34.7667,839052,0.0000,1.0000
2018-05-04,34.8500,35.2000,34.4750,34.7000,34.6170,1321573,0.0000,1.0000
2018-05-03,34.9000,35.1500,34.1500,35.0000,34.9163,779893,0.0000,1.0000
2018-05-02,34.1000,35.8000,33.8000,35.0000,34.9163,2003203,0.0000,1.0000
2018-05-01,34.2000,34.3500,33.9000,34.1000,34.0185,633007,0.0000,1.0000
2018-04-30,34.9000,35.1750,34.2500,34.3000,34.2180,822380,0.0000,1.0000
2018-04-27,34.6000,35.0500,34.2750,34.9000,34.8166,1015866,0.0000,1.0000
2018-04-26,34.7500,35.2500,33.2000,34.0000,33.9187,1824848,0.0000,1.0000
2018-04-25,34.6000,35.4000,34.3750,34.7000,34.6170,1704018,0.0000,1.0000
2018-04-24,36.1500,36.5000,34.3000,34.7000,34.6170,1552644,0.0000,1.0000
2018-04-23,36.1000,36.5250,35.3500,35.8500,35.7643,1233339,0.0000,1.0000
2018-04-20,37.2500,37.5000,35.7750,36.0000,35.9139,2865913,0.0000,1.0000
2018-04-19,37.9000,38.3000,37.3000,37.5500,37.4602,1397619,0.0000,1.0000
2018-04-18,37.5000,38.1000,37.3500,37.9500,37.8593,1117273,0.0000,1.0000
2018-04-17,37.9000,38.1500,36.9250,37.2500,37.1609,1072212,0.0000,1.0000
2018-04-16,36.3500,37.8500,36.3000,37.4000,37.3106,1256931,0.0000,1.0000
2018-04-13,36.2500,36.5881,35.8500,36.2000,36.1134,1062128,0.0700,1.0000
2018-04-12,36.2000,36.6500,36.0500,36.3500,36.1931,916908,0.0000,1.0000
2018-04-11,35.9000,36.3500,35.4000,36.0500,35.8944,642609,0.0000,1.0000
2018-04-10,35.3000,36.3000,35.3000,36.0500,35.8944,1072601,0.0000,1.0000
2018-04-09,35.7000,35.8500,34.9250,35.0000,34.8489,795174,0.0000,1.0000
2018-04-06,36.5000,36.8000,34.8000,35.5500,35.3966,1404916,0.0000,1.0000
2018-04-05,36.9000,37.0500,35.3250,36.4500,36.2927,1529639,0.0000,1.0000
2018-04-04,36.4000,38.6000,35.8500,36.9000,36.7407,1314146,0.0000,1.0000
2018-04-03,36.5000,37.4500,36.4500,36.9000,36.7407,1032193,0.0000,1.0000
2018-04-02,37.0500,37.5500,35.6500,35.9000,35.7450,1016624,0.0000,1.0000
2018-03-29,36.3500,36.9500,36.3000,36.5000,36.3425,764392,0.0000,1.0000
2018-03-28,35.6000,36.6102,34.9500,36.1000,35.9442,1048841,0.0000,1.0000
2018-03-27,37.7000,37.7000,35.4500,35.6500,35.4961,1112863,0.0000,1.0000
2018-03-26,37.9500,38.3000,36.7500,37.5500,37.3879,785253,0.0000,1.0000
2018-03-23,38.3000,38.6500,37.3500,37.4500,37.2883,975739,0.0000,1.0000
2018-03-22,39.0500,39.4000,38.1500,38.1500,37.9853,622461,0.0000,1.0000
2018-03-21,39.0000,39.6500,39.0000,39.2500,39.0806,686331,0.0000,1.0000
2018-03-20,39.2500,39.4750,38.9500,39.1500,38.9810,1152559,0.0000,1.0000
2018-03-19,39.1000,39.7000,38.7500,39.2000,39.0308,666488,0.0000,1.0000
2018-03-16,38.6500,39.2500,38.5000,39.1000,38.9312,563796,0.0000,1.0000
2018-03-15,38.6500,39.3000,38.5000,38.5500,38.3836,949700,0.0000,1.0000
2018-03-14,39.0500,39.4000,38.3000,38.4000,38.2342,632591,0.0000,1.0000
2018-03-13,39.0500,39.5500,38.9500,39.0000,38.8317,643610,0.0000,1.0000
2018-03-12,39.0000,39.3000,38.8000,38.9500,38.7819,638397,0.0000,1.0000
2018-03-09,37.6000,39.3500,37.5000,39.0500,38.8814,830951,0.0000,1.0000
2018-03-08,37.6000,37.9000,37.1000,37.5000,37.3381,468464,0.0000,1.0000
2018-03-07,37.0500,38.0000,36.4500,37.6000,37.4377,635533,0.0000,1.0000
2018-03-06,37.6000,37.8000,37.2500,37.5000,37.3381,649294,0.0000,1.0000
2018-03-05,38.0000,38.0000,37.1001,37.3500,37.1888,913878,0.0000,1.0000
2018-03-02,37.2500,38.2000,36.9500,38.1000,37.9355,1045831,0.0000,1.0000
2018-03-01,37.1500,38.0000,36.7500,37.5000,37.3381,955706,0.0000,1.0000
2018-02-28,38.0000,38.1000,37.1500,37.2500,37.0892,720465,0.0000,1.0000
2018-02-27,38.7500,39.2000,37.8250,37.9500,37.7862,635207,0.0000,1.0000
2018-02-26,38.3000,38.8000,37.9500,38.7500,38.5827,695284,0.0000,1.0000
2018-02-23,38.4500,38.8500,37.6500,38.0000,37.8360,685930,0.0000,1.0000
2018-02-22,38.5000,39.0500,38.1500,38.3000,38.1347,686041,0.0000,1.0000
2018-02-21,38.2500,39.1250,38.1500,38.5000,38.3338,710912,0.0000,1.0000
2018-02-20,38.2000,38.5229,37.8000,38.1500,37.9853,729836,0.0000,1.0000
2018-02-16,38.2000,39.3000,38.1000,38.5500,38.3836,688289,0.0000,1.0000
2018-02-15,38.6500,39.0000,37.0498,38.4000,38.2342,1278202,0.0000,1.0000
2018-02-14,38.3500,38.8750,38.0000,38.5500,38.3836,1060372,0.0000,1.0000
2018-02-13,36.1500,38.9250,35.7500,38.8000,38.6325,2112966,0.0000,1.0000
2018-02-12,36.5500,36.8500,35.7500,36.2000,36.0437,1593590,0.0000,1.0000
2018-02-09,36.6500,36.8000,35.3500,36.3500,36.1931,1111113,0.0000,1.0000
2018-02-08,38.3000,41.0000,36.2500,36.2500,36.0935,1118193,0.0000,1.0000
2018-02-07,38.0500,38.8500,36.8795,38.3000,38.1347,977395,0.0000,1.0000
2018-02-06,36.7500,38.6500,36.0000,38.2500,38.0849,974378,0.0000,1.0000
2018-02-05,39.5500,40.1000,37.6000,37.6500,37.4875,1389069,0.0000,1.0000
2018-02-02,40.3500,40.6500,39.5000,39.9000,39.7278,977608,0.0000,1.0000
2018-02-01,40.5500,40.8500,40.1000,40.5500,40.3750,1116052,0.0000,1.0000
