timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-10,0.5000,0.5102,0.5000,0.5102,0.5102,8100,0.0000,1.0000
2018-08-09,0.4800,0.4800,0.4800,0.4800,0.4800,45000,0.0000,1.0000
2018-08-07,0.4800,0.5000,0.4787,0.4787,0.4787,13550,0.0000,1.0000
2018-08-06,0.4920,0.4920,0.4920,0.4920,0.4920,1000,0.0000,1.0000
2018-08-02,0.4400,0.4600,0.4400,0.4600,0.4600,618660,0.0000,1.0000
2018-07-30,0.4400,0.4400,0.4200,0.4300,0.4300,12900,0.0000,1.0000
2018-07-26,0.4500,0.5000,0.4479,0.4500,0.4500,145400,0.0000,1.0000
2018-07-23,0.4500,0.4500,0.4500,0.4500,0.4500,900,0.0000,1.0000
2018-07-20,0.4400,0.4500,0.4400,0.4500,0.4500,10100,0.0000,1.0000
2018-07-17,0.4700,0.4700,0.4700,0.4700,0.4700,100,0.0000,1.0000
2018-07-12,0.4499,0.4500,0.4499,0.4500,0.4500,7783,0.0000,1.0000
2018-07-11,0.4500,0.4500,0.4500,0.4500,0.4500,2004,0.0000,1.0000
2018-07-10,0.4500,0.4500,0.4500,0.4500,0.4500,2900,0.0000,1.0000
2018-07-06,0.4900,0.4968,0.4900,0.4968,0.4968,5700,0.0000,1.0000
2018-07-05,0.4830,0.4900,0.4830,0.4900,0.4900,5000,0.0000,1.0000
2018-07-02,0.4600,0.4600,0.4600,0.4600,0.4600,300,0.0000,1.0000
2018-06-29,0.4500,0.4900,0.4500,0.4900,0.4900,6275,0.0000,1.0000
2018-06-27,0.4400,0.4900,0.4200,0.4900,0.4900,30566,0.0000,1.0000
2018-06-25,0.5000,0.5000,0.3501,0.4800,0.4800,82638,0.0000,1.0000
2018-06-22,0.3960,0.4100,0.3950,0.4100,0.4100,11500,0.0000,1.0000
2018-06-21,0.4000,0.4500,0.4000,0.4480,0.4480,2258060,0.0000,1.0000
2018-06-20,0.4200,0.4400,0.4000,0.4100,0.4100,9600,0.0000,1.0000
2018-06-19,0.4300,0.4300,0.4140,0.4300,0.4300,8200,0.0000,1.0000
2018-06-15,0.4300,0.4500,0.4300,0.4500,0.4500,31600,0.0000,1.0000
2018-06-12,0.4100,0.4565,0.4100,0.4565,0.4565,1300,0.0000,1.0000
2018-06-11,0.4500,0.4500,0.4500,0.4500,0.4500,100,0.0000,1.0000
2018-06-08,0.4300,0.4300,0.4000,0.4000,0.4000,2100,0.0000,1.0000
2018-06-07,0.4200,0.4300,0.4200,0.4300,0.4300,6337,0.0000,1.0000
2018-06-06,0.4100,0.4100,0.4100,0.4100,0.4100,1000,0.0000,1.0000
2018-06-05,0.3200,0.3600,0.3001,0.3600,0.3600,14000,0.0000,1.0000
2018-06-04,0.4000,0.4000,0.4000,0.4000,0.4000,2190,0.0000,1.0000
2018-05-29,0.4000,0.4000,0.4000,0.4000,0.4000,900,0.0000,1.0000
2018-05-25,0.4000,0.4000,0.4000,0.4000,0.4000,1000,0.0000,1.0000
2018-05-24,0.4000,0.4000,0.4000,0.4000,0.4000,100,0.0000,1.0000
2018-05-23,0.3850,0.3850,0.3849,0.3850,0.3850,7400,0.0000,1.0000
2018-05-18,0.3900,0.3900,0.3900,0.3900,0.3900,5700,0.0000,1.0000
2018-05-17,0.4000,0.4000,0.3289,0.3800,0.3800,34400,0.0000,1.0000
2018-05-15,0.4001,0.4200,0.3600,0.4200,0.4200,17200,0.0000,1.0000
2018-05-07,0.3608,0.4400,0.3608,0.4400,0.4400,1500,0.0000,1.0000
2018-05-01,0.4000,0.4000,0.4000,0.4000,0.4000,4555538,0.0000,1.0000
2018-04-30,0.4300,0.4500,0.4300,0.4500,0.4500,33070,0.0000,1.0000
2018-04-24,0.4400,0.4400,0.4400,0.4400,0.4400,100,0.0000,1.0000
2018-04-17,0.4500,0.4700,0.4500,0.4500,0.4500,13399,0.0000,1.0000
2018-04-10,0.4800,0.4800,0.4800,0.4800,0.4800,80300,0.0000,1.0000
2018-04-09,0.4800,0.4800,0.4800,0.4800,0.4800,10000,0.0000,1.0000
2018-04-05,0.4800,0.4800,0.4800,0.4800,0.4800,250000,0.0000,1.0000
2018-04-03,0.5000,0.5000,0.4700,0.4700,0.4700,700,0.0000,1.0000
2018-03-29,0.4193,0.5000,0.4193,0.5000,0.5000,1000,0.0000,1.0000
2018-03-27,0.5000,0.5000,0.4700,0.4900,0.4900,255000,0.0000,1.0000
2018-03-21,0.4500,0.4500,0.4500,0.4500,0.4500,59078,0.0000,1.0000
2018-03-20,0.4500,0.5200,0.4500,0.4900,0.4900,31612,0.0000,1.0000
2018-03-14,0.5400,0.5400,0.5400,0.5400,0.5400,1600,0.0000,1.0000
2018-03-08,0.5500,0.5500,0.5300,0.5498,0.5498,7400,0.0000,1.0000
2018-02-28,0.5100,0.5100,0.5100,0.5100,0.5100,1000,0.0000,1.0000
2018-02-23,0.4990,0.4990,0.4990,0.4990,0.4990,3600,0.0000,1.0000
2018-02-20,0.5087,0.5087,0.5087,0.5087,0.5087,1000000,0.0000,1.0000
2018-02-16,0.5000,0.5087,0.5000,0.5087,0.5087,45049,0.0000,1.0000
2018-02-14,0.5000,0.5000,0.5000,0.5000,0.5000,221440,0.0000,1.0000
2018-02-13,0.4999,0.4999,0.4999,0.4999,0.4999,200,0.0000,1.0000
2018-02-09,0.5000,0.5000,0.4800,0.4800,0.4800,11122,0.0000,1.0000
2018-02-02,0.5200,0.5200,0.5000,0.5000,0.5000,2400,0.0000,1.0000
2018-02-01,0.5200,0.5200,0.5200,0.5200,0.5200,5100,0.0000,1.0000
2018-01-31,0.4600,0.5263,0.4600,0.5263,0.5263,51063,0.0000,1.0000
2018-01-30,0.5000,0.5000,0.5000,0.5000,0.5000,1,0.0000,1.0000
2018-01-29,0.5000,0.5490,0.5000,0.5000,0.5000,106500,0.0000,1.0000
2018-01-26,0.5199,0.5199,0.5099,0.5099,0.5099,300,0.0000,1.0000
2018-01-25,0.4600,0.5396,0.4600,0.5000,0.5000,186468,0.0000,1.0000
2018-01-24,0.5398,0.5398,0.5398,0.5398,0.5398,300,0.0000,1.0000
2018-01-23,0.5400,0.5400,0.5400,0.5400,0.5400,3500,0.0000,1.0000
2018-01-22,0.4999,0.5490,0.4999,0.5490,0.5490,37139,0.0000,1.0000
2018-01-12,0.4500,0.4500,0.4500,0.4500,0.4500,8200,0.0000,1.0000
2018-01-10,0.4500,0.4500,0.4500,0.4500,0.4500,1800,0.0000,1.0000
2017-12-29,0.4400,0.5000,0.4400,0.5000,0.5000,21401,0.0000,1.0000
2017-12-26,0.4400,0.4400,0.4400,0.4400,0.4400,10000,0.0000,1.0000
2017-12-19,0.3900,0.4000,0.3800,0.4000,0.4000,7000,0.0000,1.0000
2017-12-18,0.4020,0.4020,0.4020,0.4020,0.4020,28000,0.0000,1.0000
2017-12-15,0.4000,0.4000,0.4000,0.4000,0.4000,326300,0.0000,1.0000
2017-12-13,0.4100,0.4100,0.3800,0.3800,0.3800,8100,0.0000,1.0000
2017-12-11,0.4200,0.4200,0.4100,0.4100,0.4100,6000,0.0000,1.0000
2017-12-08,0.3800,0.3800,0.3800,0.3800,0.3800,100,0.0000,1.0000
2017-12-07,0.4400,0.4400,0.4400,0.4400,0.4400,10000,0.0000,1.0000
2017-12-06,0.4400,0.4400,0.4400,0.4400,0.4400,3450,0.0000,1.0000
2017-12-04,0.4550,0.4550,0.4400,0.4400,0.4400,8400,0.0000,1.0000
2017-11-30,0.4400,0.4500,0.4400,0.4500,0.4500,15600,0.0000,1.0000
2017-11-28,0.4799,0.4799,0.4799,0.4799,0.4799,200,0.0000,1.0000
2017-11-27,0.4500,0.4700,0.4500,0.4500,0.4500,17100,0.0000,1.0000
2017-11-20,0.4500,0.4500,0.4300,0.4500,0.4500,6400,0.0000,1.0000
2017-11-17,0.4500,0.4500,0.4500,0.4500,0.4500,3100,0.0000,1.0000
2017-11-16,0.4500,0.4500,0.4400,0.4400,0.4400,3100,0.0000,1.0000
2017-11-14,0.4000,0.4200,0.4000,0.4200,0.4200,144300,0.0000,1.0000
2017-11-13,0.3800,0.3800,0.3800,0.3800,0.3800,5000,0.0000,1.0000
2017-11-10,0.4200,0.4200,0.4000,0.4200,0.4200,10000,0.0000,1.0000
2017-11-01,0.4000,0.4100,0.4000,0.4100,0.4100,25800,0.0000,1.0000
2017-10-31,0.3990,0.4100,0.3800,0.4100,0.4100,107000,0.0000,1.0000
2017-10-27,0.4179,0.4179,0.4179,0.4179,0.4179,100,0.0000,1.0000
2017-10-26,0.3924,0.4400,0.3100,0.3980,0.3980,164061,0.0000,1.0000
2017-10-23,0.4100,0.4100,0.4050,0.4050,0.4050,30500,0.0000,1.0000
2017-10-19,0.3900,0.4500,0.3900,0.4350,0.4350,150544,0.0000,1.0000
2017-10-18,0.4100,0.4500,0.4100,0.4500,0.4500,6500,0.0000,1.0000
2017-10-11,0.4798,0.4798,0.4798,0.4798,0.4798,100,0.0000,1.0000
2017-10-10,0.4700,0.4700,0.4500,0.4598,0.4598,35400,0.0000,1.0000
2017-10-09,0.4556,0.4556,0.4556,0.4556,0.4556,100,0.0000,1.0000
2017-10-05,0.4000,0.4475,0.4000,0.4150,0.4150,569100,0.0000,1.0000
2017-10-04,0.4300,0.4400,0.4300,0.4400,0.4400,58812,0.0000,1.0000
2017-10-03,0.4000,0.4000,0.4000,0.4000,0.4000,372300,0.0000,1.0000
2017-09-29,0.4000,0.4000,0.4000,0.4000,0.4000,100,0.0000,1.0000
2017-09-28,0.3500,0.4000,0.3500,0.3750,0.3750,213300,0.0000,1.0000
2017-09-27,0.4000,0.4000,0.3800,0.3800,0.3800,98300,0.0000,1.0000
2017-09-26,0.4000,0.4000,0.4000,0.4000,0.4000,300,0.0000,1.0000
2017-09-25,0.4000,0.4000,0.3999,0.4000,0.4000,16050,0.0000,1.0000
