timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-08,0.6100,0.6100,0.6100,0.6100,0.6100,500,0.0000,1.0000
2018-08-07,0.6200,0.6400,0.6200,0.6400,0.6400,200,0.0000,1.0000
2018-08-06,0.6542,0.6542,0.6542,0.6542,0.6542,300,0.0000,1.0000
2018-07-30,0.6000,0.6000,0.6000,0.6000,0.6000,19800,0.0000,1.0000
2018-07-26,0.6100,0.6100,0.6000,0.6000,0.6000,8400,0.0000,1.0000
2018-07-23,0.6000,0.6000,0.6000,0.6000,0.6000,102500,0.0000,1.0000
2018-07-20,0.6000,0.6000,0.5900,0.6000,0.6000,42800,0.0000,1.0000
2018-07-16,0.6000,0.6000,0.6000,0.6000,0.6000,740,0.0000,1.0000
2018-07-12,0.6000,0.6000,0.6000,0.6000,0.6000,9400,0.0000,1.0000
2018-07-11,0.6000,0.6000,0.6000,0.6000,0.6000,1024,0.0000,1.0000
2018-07-10,0.6400,0.6400,0.6400,0.6400,0.6400,2,0.0000,1.0000
2018-07-06,0.6400,0.6400,0.6400,0.6400,0.6400,50000,0.0000,1.0000
2018-06-29,0.6600,0.6600,0.6400,0.6400,0.6400,9100,0.0000,1.0000
2018-06-28,0.6400,0.6800,0.6400,0.6800,0.6800,6102,0.0000,1.0000
2018-06-27,0.6300,0.6300,0.6000,0.6000,0.6000,11552,0.0000,1.0000
2018-06-26,0.6000,0.6200,0.6000,0.6200,0.6200,26195,0.0000,1.0000
2018-06-25,0.6000,0.6000,0.5984,0.5984,0.5984,5100,0.0000,1.0000
2018-06-21,0.6000,0.6000,0.6000,0.6000,0.6000,14000,0.0000,1.0000
2018-06-20,0.5850,0.5850,0.5850,0.5850,0.5850,100000,0.0000,1.0000
2018-06-18,0.6000,0.6000,0.5850,0.5850,0.5850,23922,0.0000,1.0000
2018-06-15,0.5900,0.5900,0.5800,0.5800,0.5800,3734,0.0000,1.0000
2018-06-14,0.5800,0.5925,0.5600,0.5925,0.5925,13677,0.0000,1.0000
2018-06-13,0.6000,0.6000,0.6000,0.6000,0.6000,50,0.0000,1.0000
2018-06-12,0.6000,0.6000,0.6000,0.6000,0.6000,100,0.0000,1.0000
2018-06-11,0.5400,0.5400,0.5400,0.5400,0.5400,2500,0.0000,1.0000
2018-06-08,0.5200,0.5301,0.5200,0.5301,0.5301,2000,0.0000,1.0000
2018-06-07,0.5300,0.5300,0.5200,0.5200,0.5200,3400,0.0000,1.0000
2018-06-06,0.5000,0.5000,0.5000,0.5000,0.5000,650000,0.0000,1.0000
2018-06-05,0.5000,0.5010,0.5000,0.5010,0.5010,130000,0.0000,1.0000
2018-06-04,0.5000,0.5000,0.5000,0.5000,0.5000,1000,0.0000,1.0000
2018-06-01,0.5000,0.5000,0.4900,0.4900,0.4900,25500,0.0000,1.0000
2018-05-31,0.4900,0.4900,0.4900,0.4900,0.4900,25000,0.0000,1.0000
2018-05-29,0.4900,0.4900,0.4900,0.4900,0.4900,2500,0.0000,1.0000
2018-05-24,0.5000,0.5000,0.4800,0.4850,0.4850,530150,0.0000,1.0000
2018-05-23,0.4800,0.4800,0.4800,0.4800,0.4800,100,0.0000,1.0000
2018-05-17,0.4101,0.5000,0.4000,0.4800,0.4800,21050,0.0000,1.0000
2018-05-15,0.4500,0.4800,0.4400,0.4800,0.4800,5700,0.0000,1.0000
2018-05-14,0.4900,0.5000,0.4763,0.4763,0.4763,15400,0.0000,1.0000
2018-05-08,0.4700,0.4701,0.4700,0.4701,0.4701,200,0.0000,1.0000
2018-05-07,0.4700,0.4700,0.4700,0.4700,0.4700,1100,0.0000,1.0000
2018-05-03,0.5100,0.5180,0.4700,0.4700,0.4700,675,0.0000,1.0000
2018-05-02,0.5200,0.5200,0.4750,0.4750,0.4750,2505222,0.0000,1.0000
2018-04-30,0.5000,0.5000,0.4700,0.4900,0.4900,16000,0.0000,1.0000
2018-04-27,0.5001,0.5001,0.5001,0.5001,0.5001,501,0.0000,1.0000
2018-04-24,0.5400,0.5400,0.5400,0.5400,0.5400,5000,0.0000,1.0000
2018-04-17,0.5000,0.5000,0.5000,0.5000,0.5000,3700,0.0000,1.0000
2018-04-13,0.4800,0.4800,0.4800,0.4800,0.4800,10000,0.0000,1.0000
2018-04-11,0.5000,0.5000,0.4800,0.4800,0.4800,30800,0.0000,1.0000
2018-04-10,0.4700,0.4700,0.4700,0.4700,0.4700,185,0.0000,1.0000
2018-04-06,0.5000,0.5000,0.5000,0.5000,0.5000,200,0.0000,1.0000
2018-04-03,0.5000,0.5000,0.5000,0.5000,0.5000,200,0.0000,1.0000
2018-03-28,0.4720,0.4720,0.4720,0.4720,0.4720,1600,0.0000,1.0000
2018-03-27,0.5000,0.5000,0.4700,0.4900,0.4900,1715,0.0000,1.0000
2018-03-21,0.5000,0.5100,0.4800,0.5000,0.5000,249289,0.0000,1.0000
2018-03-20,0.5000,0.5500,0.5000,0.5000,0.5000,13100,0.0000,1.0000
2018-03-16,0.5250,0.5500,0.5250,0.5400,0.5400,500,0.0000,1.0000
2018-03-14,0.5500,0.5500,0.5500,0.5500,0.5500,1000,0.0000,1.0000
2018-03-08,0.5000,0.5000,0.5000,0.5000,0.5000,200,0.0000,1.0000
2018-03-05,0.5000,0.5000,0.5000,0.5000,0.5000,1600,0.0000,1.0000
2018-02-26,0.4750,0.4750,0.4750,0.4750,0.4750,825000,0.0000,1.0000
2018-02-21,0.4700,0.4750,0.4500,0.4750,0.4750,1500972,0.0000,1.0000
2018-02-20,0.4800,0.4800,0.4800,0.4800,0.4800,100,0.0000,1.0000
2018-02-14,0.4700,0.5000,0.4700,0.5000,0.5000,106820,0.0000,1.0000
2018-02-09,0.4800,0.5500,0.4700,0.5500,0.5500,11300,0.0000,1.0000
2018-02-06,0.5281,0.5500,0.5281,0.5500,0.5500,1450,0.0000,1.0000
2018-02-05,0.5700,0.5700,0.5700,0.5700,0.5700,5700,0.0000,1.0000
2018-02-02,0.5700,0.5700,0.5699,0.5700,0.5700,5000,0.0000,1.0000
2018-01-31,0.5500,0.6000,0.5500,0.5700,0.5700,70495,0.0000,1.0000
2018-01-30,0.5200,0.5200,0.5200,0.5200,0.5200,10000,0.0000,1.0000
2018-01-29,0.5000,0.5200,0.5000,0.5175,0.5175,62000,0.0000,1.0000
2018-01-25,0.5300,0.5300,0.5300,0.5300,0.5300,93614,0.0000,1.0000
2018-01-23,0.4900,0.5300,0.4900,0.5300,0.5300,9600,0.0000,1.0000
2018-01-22,0.4828,0.5500,0.4700,0.5500,0.5500,7200,0.0000,1.0000
2018-01-17,0.5100,0.5100,0.5100,0.5100,0.5100,10000,0.0000,1.0000
2018-01-02,0.5500,0.5500,0.5499,0.5499,0.5499,14500,0.0000,1.0000
2017-12-29,0.5500,0.5500,0.5500,0.5500,0.5500,10000,0.0000,1.0000
2017-12-28,0.5199,0.5200,0.5199,0.5200,0.5200,106500,0.0000,1.0000
2017-12-19,0.5000,0.5500,0.4800,0.5500,0.5500,100850,0.0000,1.0000
2017-12-15,0.5200,0.5200,0.5200,0.5200,0.5200,116600,0.0000,1.0000
2017-12-13,0.4800,0.4800,0.4800,0.4800,0.4800,150,0.0000,1.0000
2017-12-11,0.4700,0.4800,0.4700,0.4800,0.4800,9000,0.0000,1.0000
2017-12-08,0.5000,0.5000,0.4900,0.5000,0.5000,50000,0.0000,1.0000
2017-12-05,0.5100,0.5100,0.5100,0.5100,0.5100,3500,0.0000,1.0000
2017-12-04,0.5020,0.5020,0.5020,0.5020,0.5020,4200,0.0000,1.0000
2017-11-30,0.4999,0.5500,0.4999,0.5020,0.5020,167700,0.0000,1.0000
2017-11-20,0.5500,0.5500,0.5400,0.5400,0.5400,2100,0.0000,1.0000
2017-11-07,0.5200,0.5200,0.5200,0.5200,0.5200,300,0.0000,1.0000
2017-11-01,0.5400,0.5400,0.5300,0.5300,0.5300,11000,0.0000,1.0000
2017-10-31,0.5300,0.5400,0.5300,0.5400,0.5400,200,0.0000,1.0000
2017-10-27,0.5200,0.5200,0.5200,0.5200,0.5200,19000,0.0000,1.0000
2017-10-26,0.5400,0.5500,0.5200,0.5400,0.5400,26406,0.0000,1.0000
2017-10-24,0.5400,0.5400,0.5400,0.5400,0.5400,5000,0.0000,1.0000
2017-10-19,0.5000,0.5000,0.5000,0.5000,0.5000,85822,0.0000,1.0000
2017-10-17,0.5000,0.5000,0.5000,0.5000,0.5000,15000,0.0000,1.0000
