timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,9.6500,9.8300,9.5100,9.5700,9.5700,104583,0.0000,1.0000
2018-08-13,9.8100,9.9000,9.6000,9.6700,9.6700,96318,0.0000,1.0000
2018-08-10,9.6800,9.8700,9.5676,9.8100,9.8100,117024,0.0000,1.0000
2018-08-09,9.6300,9.9200,9.5100,9.6600,9.6600,193383,0.0000,1.0000
2018-08-08,9.4700,9.8146,9.2300,9.6600,9.6600,222538,0.0000,1.0000
2018-08-07,9.6000,9.6500,9.3100,9.4100,9.4100,166315,0.0000,1.0000
2018-08-06,9.5100,9.9100,9.4811,9.5900,9.5900,216057,0.0000,1.0000
2018-08-03,10.5000,10.5000,9.4700,9.5100,9.5100,335411,0.0000,1.0000
2018-08-02,10.1000,10.4200,9.8600,10.3700,10.3700,258161,0.0000,1.0000
2018-08-01,10.5400,10.8000,9.1400,10.1900,10.1900,557109,0.0000,1.0000
2018-07-31,10.3100,10.5000,10.1050,10.4000,10.4000,363238,0.0000,1.0000
2018-07-30,10.1700,10.4000,10.0100,10.3000,10.3000,154950,0.0000,1.0000
2018-07-27,10.7400,10.7600,9.8000,10.1400,10.1400,228505,0.0000,1.0000
2018-07-26,10.7200,10.9001,10.3300,10.7300,10.7300,456231,0.0000,1.0000
2018-07-25,10.4000,11.1800,10.1200,10.7400,10.7400,405991,0.0000,1.0000
2018-07-24,10.3900,10.3900,9.8400,10.1600,10.1600,297767,0.0000,1.0000
2018-07-23,10.6600,10.8400,10.3200,10.3600,10.3600,213366,0.0000,1.0000
2018-07-20,10.9200,11.3620,10.5800,10.6500,10.6500,818384,0.0000,1.0000
2018-07-19,10.6200,11.0000,10.4900,10.9200,10.9200,484113,0.0000,1.0000
2018-07-18,10.5200,10.7600,10.3400,10.6600,10.6600,349272,0.0000,1.0000
2018-07-17,10.0100,10.8700,10.0100,10.5600,10.5600,445206,0.0000,1.0000
2018-07-16,9.8800,10.2600,9.6300,10.0400,10.0400,430156,0.0000,1.0000
2018-07-13,10.2300,10.5100,9.5700,9.8800,9.8800,496121,0.0000,1.0000
2018-07-12,10.3100,10.3800,10.0300,10.2500,10.2500,334705,0.0000,1.0000
2018-07-11,10.4600,10.5002,10.1500,10.2600,10.2600,223374,0.0000,1.0000
2018-07-10,10.5000,10.7600,10.2900,10.4700,10.4700,346926,0.0000,1.0000
2018-07-09,10.8200,10.9854,10.3000,10.4800,10.4800,491971,0.0000,1.0000
2018-07-06,10.5300,11.2400,10.3510,10.8400,10.8400,506925,0.0000,1.0000
2018-07-05,10.3400,10.7500,9.9100,10.6900,10.6900,781052,0.0000,1.0000
2018-07-03,10.3000,10.7300,9.5400,10.4300,10.4300,1188259,0.0000,1.0000
2018-07-02,9.9800,9.9800,9.3100,9.5500,9.5500,1213031,0.0000,1.0000
2018-06-29,9.6800,10.2500,8.9600,10.2300,10.2300,1111359,0.0000,1.0000
2018-06-28,8.0900,10.2500,7.8700,9.6000,9.6000,3998449,0.0000,1.0000
2018-06-27,8.4200,8.9600,8.1400,8.5000,8.5000,436273,0.0000,1.0000
2018-06-26,8.9300,9.3399,8.1900,8.7100,8.7100,838411,0.0000,1.0000
2018-06-25,7.4000,9.4300,7.2801,8.9900,8.9900,2108413,0.0000,1.0000
2018-06-22,6.7500,7.0900,6.4300,7.0900,7.0900,2360055,0.0000,1.0000
2018-06-21,7.3500,7.4050,6.5894,6.7100,6.7100,252680,0.0000,1.0000
2018-06-20,7.5000,7.5500,7.3100,7.3300,7.3300,119146,0.0000,1.0000
2018-06-19,7.4600,7.5300,7.0900,7.4300,7.4300,124738,0.0000,1.0000
2018-06-18,7.0000,7.7500,6.9800,7.4600,7.4600,204900,0.0000,1.0000
2018-06-15,7.0500,7.2000,6.7900,7.0400,7.0400,139512,0.0000,1.0000
2018-06-14,7.1900,7.4400,6.8250,6.9800,6.9800,145904,0.0000,1.0000
2018-06-13,6.7600,7.2599,6.7550,7.1900,7.1900,129136,0.0000,1.0000
2018-06-12,6.6000,6.9100,6.5500,6.7500,6.7500,107333,0.0000,1.0000
2018-06-11,6.5900,6.8700,6.5500,6.5600,6.5600,170824,0.0000,1.0000
2018-06-08,6.7500,6.7500,6.5500,6.6200,6.6200,62157,0.0000,1.0000
2018-06-07,6.8000,6.9150,6.5850,6.7800,6.7800,40014,0.0000,1.0000
2018-06-06,6.7500,6.8650,6.5300,6.7900,6.7900,83455,0.0000,1.0000
2018-06-05,6.7600,6.8790,6.7210,6.7400,6.7400,28433,0.0000,1.0000
2018-06-04,7.1000,7.1100,6.6700,6.7700,6.7700,70587,0.0000,1.0000
2018-06-01,7.1300,7.2700,6.9600,7.0700,7.0700,55527,0.0000,1.0000
2018-05-31,7.3000,7.9090,7.0400,7.0700,7.0700,166395,0.0000,1.0000
2018-05-30,6.6500,7.2300,6.4654,7.1600,7.1600,138786,0.0000,1.0000
2018-05-29,6.2400,6.5400,6.0100,6.4600,6.4600,91726,0.0000,1.0000
2018-05-25,6.5500,6.5500,6.1700,6.1900,6.1900,72374,0.0000,1.0000
2018-05-24,6.2700,6.7500,6.1600,6.5700,6.5700,93146,0.0000,1.0000
2018-05-23,6.6500,6.7600,6.2600,6.2900,6.2900,100640,0.0000,1.0000
2018-05-22,6.7600,6.8800,6.5300,6.6500,6.6500,47519,0.0000,1.0000
2018-05-21,6.8400,6.9200,6.7000,6.7500,6.7500,64018,0.0000,1.0000
2018-05-18,6.7200,6.8500,6.6200,6.8200,6.8200,44248,0.0000,1.0000
2018-05-17,6.4600,6.7500,6.4600,6.7200,6.7200,138396,0.0000,1.0000
2018-05-16,6.4900,6.6200,6.4400,6.4500,6.4500,48583,0.0000,1.0000
2018-05-15,6.5500,6.6200,6.4500,6.5200,6.5200,38834,0.0000,1.0000
2018-05-14,6.6300,6.7100,6.2600,6.5800,6.5800,91654,0.0000,1.0000
2018-05-11,6.4800,6.6800,6.4350,6.5700,6.5700,77043,0.0000,1.0000
2018-05-10,6.4600,6.6200,6.3701,6.4900,6.4900,50108,0.0000,1.0000
2018-05-09,7.1000,7.1000,6.3000,6.5000,6.5000,178394,0.0000,1.0000
2018-05-08,7.0200,7.4600,6.9400,7.4000,7.4000,77140,0.0000,1.0000
2018-05-07,7.1100,7.2900,6.8300,7.0000,7.0000,53056,0.0000,1.0000
2018-05-04,6.9200,7.1500,6.9200,7.1100,7.1100,41971,0.0000,1.0000
2018-05-03,6.7900,7.0150,6.6800,6.9300,6.9300,49486,0.0000,1.0000
2018-05-02,6.7600,7.1350,6.7600,7.0200,7.0200,78222,0.0000,1.0000
2018-05-01,6.7600,6.9100,6.6500,6.8100,6.8100,38262,0.0000,1.0000
2018-04-30,6.6600,6.9200,6.5350,6.7900,6.7900,48341,0.0000,1.0000
2018-04-27,6.5400,6.6700,6.4680,6.6500,6.6500,54354,0.0000,1.0000
2018-04-26,6.2200,6.7200,6.2000,6.5400,6.5400,158757,0.0000,1.0000
2018-04-25,6.2500,6.5500,6.1900,6.1900,6.1900,155704,0.0000,1.0000
2018-04-24,6.6100,6.8000,6.2700,6.3000,6.3000,159163,0.0000,1.0000
2018-04-23,6.8200,6.9200,6.4900,6.5800,6.5800,176866,0.0000,1.0000
2018-04-20,6.8500,6.9100,6.7200,6.8400,6.8400,166270,0.0000,1.0000
2018-04-19,6.8400,6.9800,6.6700,6.8500,6.8500,172151,0.0000,1.0000
2018-04-18,7.1000,7.4599,6.7700,6.8800,6.8800,222573,0.0000,1.0000
2018-04-17,6.9100,7.2600,6.9100,7.0650,7.0650,235417,0.0000,1.0000
2018-04-16,7.7200,7.8900,6.5200,6.8900,6.8900,339875,0.0000,1.0000
2018-04-13,7.7100,7.7198,7.5100,7.6900,7.6900,76892,0.0000,1.0000
2018-04-12,7.7000,7.8499,7.5500,7.6900,7.6900,81663,0.0000,1.0000
2018-04-11,7.4400,7.7500,7.3500,7.6300,7.6300,93032,0.0000,1.0000
2018-04-10,7.3900,7.6200,7.2900,7.4700,7.4700,77573,0.0000,1.0000
2018-04-09,7.3600,7.5900,7.2100,7.3100,7.3100,62399,0.0000,1.0000
2018-04-06,7.2800,7.4100,7.1400,7.3600,7.3600,56446,0.0000,1.0000
2018-04-05,7.3000,7.4500,7.2500,7.3400,7.3400,67317,0.0000,1.0000
2018-04-04,7.0800,7.3000,7.0800,7.2500,7.2500,106455,0.0000,1.0000
2018-04-03,7.2100,7.2600,7.0400,7.1600,7.1600,70867,0.0000,1.0000
2018-04-02,7.4400,7.4400,7.0600,7.1700,7.1700,156258,0.0000,1.0000
2018-03-29,7.5000,7.5800,7.2822,7.4500,7.4500,76298,0.0000,1.0000
2018-03-28,7.2100,7.6400,7.1100,7.4800,7.4800,228740,0.0000,1.0000
2018-03-27,7.6100,7.8000,7.1500,7.2200,7.2200,119992,0.0000,1.0000
2018-03-26,7.6500,7.6600,7.3600,7.5900,7.5900,114610,0.0000,1.0000
2018-03-23,7.2200,7.8400,7.1200,7.5100,7.5100,126822,0.0000,1.0000
2018-03-22,7.2500,7.5000,7.0723,7.1800,7.1800,90564,0.0000,1.0000
