timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,22.2200,22.3050,21.5100,21.9300,21.9300,34099,0.0000,1.0000
2018-08-13,21.9200,22.4000,21.9000,22.0700,22.0700,75668,0.0000,1.0000
2018-08-10,21.7500,22.4900,21.5400,22.0000,22.0000,134203,0.0000,1.0000
2018-08-09,21.7000,22.5900,21.4900,21.7100,21.7100,22967,0.0000,1.0000
2018-08-08,21.0500,22.2395,20.6500,22.1600,22.1600,66149,0.0000,1.0000
2018-08-07,21.6900,22.4600,20.6700,21.0000,21.0000,59919,0.0000,1.0000
2018-08-06,20.1200,22.4000,20.0000,22.0000,22.0000,105592,0.0000,1.0000
2018-08-03,21.4400,21.5900,20.1000,20.1300,20.1300,152598,0.0000,1.0000
2018-08-02,21.6200,22.1400,21.2900,21.3100,21.3100,71490,0.0000,1.0000
2018-08-01,22.0700,23.0900,21.6900,21.7900,21.7900,43151,0.0000,1.0000
2018-07-31,21.1000,21.9600,21.0140,21.9200,21.9200,49748,0.0000,1.0000
2018-07-30,22.0800,22.0800,21.0200,21.3000,21.3000,104056,0.0000,1.0000
2018-07-27,22.9800,23.1500,21.7900,22.2400,22.2400,71766,0.0000,1.0000
2018-07-26,23.9200,23.9200,22.7700,22.9400,22.9400,40175,0.0000,1.0000
2018-07-25,24.2000,24.4000,23.1700,23.6900,23.6900,63714,0.0000,1.0000
2018-07-24,24.9500,25.2472,24.0050,24.1400,24.1400,85293,0.0000,1.0000
2018-07-23,24.2700,24.9800,23.8000,24.6600,24.6600,97958,0.0000,1.0000
2018-07-20,24.3900,24.4865,23.7600,24.1200,24.1200,62887,0.0000,1.0000
2018-07-19,24.0700,24.5000,23.8000,24.1900,24.1900,75678,0.0000,1.0000
2018-07-18,23.8800,24.1500,23.6100,24.1200,24.1200,47313,0.0000,1.0000
2018-07-17,23.5600,23.9941,23.5000,23.8000,23.8000,39439,0.0000,1.0000
2018-07-16,23.6400,23.8300,23.3000,23.5800,23.5800,47196,0.0000,1.0000
2018-07-13,23.6300,23.9200,23.0000,23.5400,23.5400,30236,0.0000,1.0000
2018-07-12,23.9700,23.9700,23.2536,23.5100,23.5100,52502,0.0000,1.0000
2018-07-11,23.8000,24.0500,23.3000,23.9200,23.9200,54660,0.0000,1.0000
2018-07-10,23.4400,24.5000,23.2650,24.0700,24.0700,90388,0.0000,1.0000
2018-07-09,23.2400,23.7800,22.5600,23.3000,23.3000,45157,0.0000,1.0000
2018-07-06,23.3400,23.7800,22.2500,23.0000,23.0000,119372,0.0000,1.0000
2018-07-05,23.5700,23.9800,22.6300,23.3200,23.3200,148535,0.0000,1.0000
2018-07-03,23.5700,23.9300,23.2200,23.2500,23.2500,17270,0.0000,1.0000
2018-07-02,23.3000,23.6050,23.0550,23.5300,23.5300,27257,0.0000,1.0000
2018-06-29,22.8000,23.5200,22.4700,23.2500,23.2500,24660,0.0000,1.0000
2018-06-28,22.4800,23.4500,22.3500,22.7900,22.7900,64808,0.0000,1.0000
2018-06-27,23.5500,23.9900,22.5000,22.5100,22.5100,28404,0.0000,1.0000
2018-06-26,22.9900,23.8700,22.7600,23.7000,23.7000,50688,0.0000,1.0000
2018-06-25,23.5400,23.8500,22.0100,22.5800,22.5800,72490,0.0000,1.0000
2018-06-22,23.5000,23.9100,23.3300,23.3600,23.3600,38588,0.0000,1.0000
2018-06-21,24.6800,24.6800,23.2200,23.4400,23.4400,71290,0.0000,1.0000
2018-06-20,23.3700,24.2000,23.1200,24.1800,24.1800,72150,0.0000,1.0000
2018-06-19,23.4000,23.6200,22.0500,22.7500,22.7500,94377,0.0000,1.0000
2018-06-18,24.0000,24.2500,23.1800,23.7600,23.7600,61795,0.0000,1.0000
2018-06-15,24.0700,24.4600,23.4400,23.9500,23.9500,97456,0.0000,1.0000
2018-06-14,24.3800,24.3800,23.1300,23.8300,23.8300,102112,0.0000,1.0000
2018-06-13,23.8200,24.1700,23.3100,23.7400,23.7400,29985,0.0000,1.0000
2018-06-12,23.7100,24.9900,23.5700,23.5900,23.5900,41896,0.0000,1.0000
2018-06-11,23.9200,24.1808,23.1600,23.8600,23.8600,58788,0.0000,1.0000
2018-06-08,24.5000,24.5000,23.5300,23.7400,23.7400,60776,0.0000,1.0000
2018-06-07,24.4500,24.5000,23.0200,24.2800,24.2800,80213,0.0000,1.0000
2018-06-06,22.6200,24.9900,22.5300,24.1400,24.1400,128075,0.0000,1.0000
2018-06-05,23.9900,24.1600,22.2850,22.4100,22.4100,153644,0.0000,1.0000
2018-06-04,23.7200,24.0900,23.5600,23.8000,23.8000,160578,0.0000,1.0000
2018-06-01,23.9600,24.2400,23.1500,23.3900,23.3900,105212,0.0000,1.0000
2018-05-31,24.2900,24.5300,23.1700,23.4200,23.4200,270623,0.0000,1.0000
2018-05-30,25.1000,25.4000,23.5700,24.2800,24.2800,182870,0.0000,1.0000
2018-05-29,24.6600,25.5892,23.7900,25.0100,25.0100,130641,0.0000,1.0000
2018-05-25,22.1900,25.0598,22.1900,24.6900,24.6900,151239,0.0000,1.0000
2018-05-24,21.6900,24.9600,21.5550,22.1900,22.1900,399118,0.0000,1.0000
2018-05-23,20.2300,21.5200,20.2300,21.5200,21.5200,69088,0.0000,1.0000
2018-05-22,19.9900,21.0600,19.9900,20.3000,20.3000,26479,0.0000,1.0000
2018-05-21,20.0500,21.3600,19.8400,20.1000,20.1000,93869,0.0000,1.0000
2018-05-18,20.1800,20.6000,19.5200,20.0400,20.0400,96739,0.0000,1.0000
2018-05-17,21.1000,21.1000,20.2612,20.6100,20.6100,51850,0.0000,1.0000
2018-05-16,20.5000,21.5000,20.5000,20.9600,20.9600,192104,0.0000,1.0000
2018-05-15,19.7000,20.5400,19.6260,20.5400,20.5400,111449,0.0000,1.0000
2018-05-14,19.0000,20.0000,18.5600,19.7800,19.7800,89267,0.0000,1.0000
2018-05-11,18.0000,19.4200,18.0000,18.9400,18.9400,78980,0.0000,1.0000
2018-05-10,18.8200,18.8200,18.0300,18.0300,18.0300,162718,0.0000,1.0000
2018-05-09,18.1400,19.1600,18.0500,18.9500,18.9500,125981,0.0000,1.0000
2018-05-08,18.0100,18.2500,17.9550,18.2300,18.2300,34983,0.0000,1.0000
2018-05-07,18.0000,18.2900,17.9000,18.1400,18.1400,95785,0.0000,1.0000
2018-05-04,18.0800,18.5200,18.0000,18.0400,18.0400,48582,0.0000,1.0000
2018-05-03,18.4200,18.5000,17.8500,18.1500,18.1500,105689,0.0000,1.0000
2018-05-02,18.5000,18.8100,18.0000,18.2600,18.2600,61074,0.0000,1.0000
2018-05-01,18.6700,18.9900,18.5100,18.7300,18.7300,50280,0.0000,1.0000
2018-04-30,19.7500,19.7700,18.5100,18.6700,18.6700,109319,0.0000,1.0000
