timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,MACD,MACD_Hist,MACD_Signal,time,SlowD,SlowK,time,RSI,time,ADX,time,Aroon Down,Aroon Up,time,Real Lower Band,Real Middle Band,Real Upper Band,time,ATR,time,Chaikin A/D
2018-08-28,39.6700,40.7000,39.6000,40.6900,40.6900,7370191,0.0000,1.0000,2018-08-28,0.2719,0.2820,-0.0100,2018-08-28,45.5349,58.5124,2018-08-28,65.6090,2018-08-28,15.8829,2018-08-28,64.0000,12.0000,2018-08-28,36.4116,38.4680,40.5244,2018-08-28,1.0436,2018-08-28,-576900544.1345
2018-08-27,39.0200,39.8200,39.0200,39.5200,39.5200,11236016,0.0000,1.0000,2018-08-27,0.1306,0.2112,-0.0805,2018-08-27,46.2300,37.7071,2018-08-27,58.0929,2018-08-27,15.5980,2018-08-27,68.0000,16.0000,2018-08-27,36.5510,38.4105,40.2700,2018-08-27,1.0331,2018-08-27,-584139937.2981
2018-08-24,38.9000,39.1500,38.5272,38.8200,38.8200,3561731,0.0000,1.0000,2018-08-24,0.0675,0.2008,-0.1333,2018-08-24,60.5147,40.3851,2018-08-24,52.5036,2018-08-24,16.0268,2018-08-24,72.0000,20.0000,2018-08-24,36.5744,38.3830,40.1916,2018-08-24,1.0356,2018-08-24,-586948941.2981
2018-08-23,39.1900,39.3900,38.7200,38.8300,38.8300,3931892,0.0000,1.0000,2018-08-23,0.0571,0.2407,-0.1835,2018-08-23,75.4496,60.5977,2018-08-23,52.5938,2018-08-23,17.1240,2018-08-23,76.0000,24.0000,2018-08-23,36.5378,38.4265,40.3152,2018-08-23,1.0674,2018-08-23,-586736198.2133
2018-08-22,40.0800,40.1900,39.1400,39.1900,39.1900,5593343,0.0000,1.0000,2018-08-22,0.0421,0.2858,-0.2437,2018-08-22,83.0233,80.5614,2018-08-22,55.6934,2018-08-22,18.1087,2018-08-22,80.0000,28.0000,2018-08-22,36.4790,38.4860,40.4930,2018-08-22,1.0980,2018-08-22,-584095375.2282
2018-08-21,39.9800,40.7100,39.8400,40.3300,40.3300,6491776,0.0000,1.0000,2018-08-21,-0.0143,0.3008,-0.3152,2018-08-21,78.0614,85.1898,2018-08-21,66.9365,2018-08-21,18.7391,2018-08-21,84.0000,32.0000,2018-08-21,36.4519,38.4360,40.4201,2018-08-21,1.0909,2018-08-21,-579034731.5616
2018-08-20,38.0400,40.1000,37.9900,39.9900,39.9900,9629081,0.0000,1.0000,2018-08-20,-0.2022,0.1881,-0.3904,2018-08-20,67.0352,83.3187,2018-08-20,65.0422,2018-08-20,18.6534,2018-08-20,88.0000,36.0000,2018-08-20,36.4670,38.2920,40.1170,2018-08-20,1.1079,2018-08-20,-579855530.8259
2018-08-17,37.9900,38.2100,37.7200,37.7900,37.7900,6365148,0.0000,1.0000,2018-08-17,-0.4045,0.0329,-0.4374,2018-08-17,48.7156,65.6757,2018-08-17,47.5392,2018-08-17,19.0479,2018-08-17,0.0000,40.0000,2018-08-17,36.5426,38.1945,39.8464,2018-08-17,1.0154,2018-08-17,-588480631.8165
2018-08-16,37.7500,38.4550,37.4400,38.1600,38.1600,5876946,0.0000,1.0000,2018-08-16,-0.4328,0.0128,-0.4456,2018-08-16,35.1283,52.1111,2018-08-16,51.4374,2018-08-16,19.5982,2018-08-16,0.0000,44.0000,2018-08-16,36.5511,38.1990,39.8469,2018-08-16,1.0558,2018-08-16,-583934097.5308
2018-08-15,36.9600,37.5100,36.4150,37.4400,37.4400,5599590,0.0000,1.0000,2018-08-15,-0.5003,-0.0515,-0.4488,2018-08-15,23.6561,28.3599,2018-08-15,43.2937,2018-08-15,20.1909,2018-08-15,4.0000,48.0000,2018-08-15,36.5494,38.1975,39.8456,2018-08-15,1.0590,2018-08-15,-586394887.7278
2018-08-14,36.8400,37.5550,36.8300,37.0900,37.0900,3873119,0.0000,1.0000,2018-08-14,-0.5059,-0.0699,-0.4359,2018-08-14,26.0927,24.9137,2018-08-14,38.8039,2018-08-14,19.5801,2018-08-14,8.0000,52.0000,2018-08-14,36.6319,38.2440,39.8561,2018-08-14,1.0562,2018-08-14,-591278548.4127
2018-08-13,37.2900,37.3300,36.6800,36.7900,36.7900,4052014,0.0000,1.0000,2018-08-13,-0.4700,-0.0515,-0.4185,2018-08-13,30.6978,17.6945,2018-08-13,34.8230,2018-08-13,19.2701,2018-08-13,12.0000,56.0000,2018-08-13,36.6834,38.2585,39.8336,2018-08-13,1.0786,2018-08-13,-590183390.6265
2018-08-10,37.7500,37.7900,36.4450,37.2600,37.2600,7481823,0.0000,1.0000,2018-08-10,-0.3868,0.0188,-0.4056,2018-08-10,41.8219,35.6699,2018-08-10,38.3396,2018-08-10,18.6254,2018-08-10,16.0000,60.0000,2018-08-10,36.7868,38.2830,39.7792,2018-08-10,1.1116,2018-08-10,-587502827.5188
2018-08-09,38.5500,38.7400,37.8850,37.9200,37.9200,3699790,0.0000,1.0000,2018-08-09,-0.3228,0.0875,-0.4103,2018-08-09,43.4188,38.7290,2018-08-09,43.9487,2018-08-09,17.9310,2018-08-09,20.0000,64.0000,2018-08-09,36.7595,38.2760,39.7925,2018-08-09,1.0836,2018-08-09,-589088195.2177
2018-08-08,38.4100,38.8600,38.2200,38.3800,38.3800,3895478,0.0000,1.0000,2018-08-08,-0.3037,0.1285,-0.4322,2018-08-08,41.0633,51.0666,2018-08-08,48.3895,2018-08-08,18.4086,2018-08-08,24.0000,68.0000,2018-08-08,36.4626,38.1965,39.9304,2018-08-08,1.1012,2018-08-08,-585691312.0013
2018-08-07,38.6500,38.7400,38.1900,38.2600,38.2600,6427062,0.0000,1.0000,2018-08-07,-0.3217,0.1426,-0.4643,2018-08-07,31.7625,40.4609,2018-08-07,47.1353,2018-08-07,19.2620,2018-08-07,28.0000,72.0000,2018-08-07,36.0902,38.0755,40.0608,2018-08-07,1.1367,2018-08-07,-583743573.0013
2018-08-06,38.2600,38.4900,37.8700,38.4100,38.4100,3340207,0.1000,1.0000,2018-08-06,-0.3277,0.1722,-0.4999,2018-08-06,28.9231,31.6623,2018-08-06,48.4601,2018-08-06,20.0417,2018-08-06,32.0000,76.0000,2018-08-06,36.0824,38.1185,40.1546,2018-08-06,1.1818,2018-08-06,-578952490.4195
2018-08-03,38.0600,38.6200,38.0500,38.4200,38.3202,3975102,0.0000,1.0000,2018-08-03,-0.3460,0.1970,-0.5430,2018-08-03,32.7952,23.1643,2018-08-03,48.5420,2018-08-03,20.5978,2018-08-03,36.0000,80.0000,2018-08-03,36.0648,38.1635,40.2622,2018-08-03,1.2250,2018-08-03,-581430708.5163
2018-08-02,37.8600,38.1200,37.3500,37.9300,37.8315,5920730,0.0000,1.0000,2018-08-02,-0.3653,0.2269,-0.5922,2018-08-02,45.3689,31.9427,2018-08-02,44.4002,2018-08-02,21.3516,2018-08-02,40.0000,84.0000,2018-08-02,36.0515,38.1470,40.2425,2018-08-02,1.2662,2018-08-02,-582616265.2531
2018-08-01,39.3800,39.4700,37.6900,38.1400,38.0410,7080711,0.0000,1.0000,2018-08-01,-0.3347,0.3142,-0.6489,2018-08-01,57.7565,43.2786,2018-08-01,45.8228,2018-08-01,21.6232,2018-08-01,44.0000,88.0000,2018-08-01,36.0556,38.1500,40.2444,2018-08-01,1.3028,2018-08-01,-585615076.5518
2018-07-31,39.2600,39.8700,39.1400,39.5400,39.4373,5761144,0.0000,1.0000,2018-07-31,-0.3122,0.4153,-0.7275,2018-07-31,70.2153,60.8854,2018-07-31,56.7283,2018-07-31,22.1793,2018-07-31,48.0000,0.0000,2018-07-31,36.0288,38.1305,40.2322,2018-07-31,1.2607,2018-07-31,-582114500.3271
2018-07-30,39.8800,40.2900,38.9300,38.9700,38.8688,5746203,0.0000,1.0000,2018-07-30,-0.4214,0.4099,-0.8313,2018-07-30,71.2043,69.1056,2018-07-30,52.5941,2018-07-30,23.6905,2018-07-30,52.0000,0.0000,2018-07-30,36.0674,38.0715,40.0756,2018-07-30,1.2884,2018-07-30,-582666938.7929
2018-07-27,39.9300,40.8590,39.5100,39.6900,39.5869,8445143,0.0000,1.0000,2018-07-27,-0.4967,0.4371,-0.9338,2018-07-27,64.7746,80.6550,2018-07-27,59.0026,2018-07-27,25.3181,2018-07-27,56.0000,0.0000,2018-07-27,36.0596,38.0210,39.9824,2018-07-27,1.2829,2018-07-27,-577258747.7341
2018-07-26,37.8500,40.4500,37.6000,40.0200,39.9161,12832274,0.0000,1.0000,2018-07-26,-0.6589,0.3842,-1.0431,2018-07-26,49.6801,63.8522,2018-07-26,62.1251,2018-07-26,26.4935,2018-07-26,60.0000,4.0000,2018-07-26,36.1370,37.9465,39.7560,2018-07-26,1.2778,2018-07-26,-571067312.2804
2018-07-25,37.3200,38.3400,37.3200,38.1900,38.0908,7338068,0.0000,1.0000,2018-07-25,-0.8899,0.2492,-1.1391,2018-07-25,45.3034,49.8166,2018-07-25,48.5306,2018-07-25,28.1077,2018-07-25,64.0000,8.0000,2018-07-25,36.3083,37.8585,39.4087,2018-07-25,1.1569,2018-07-25,-580027391.3190
2018-07-24,38.1900,38.3900,37.0400,37.4500,37.3528,6415066,0.0000,1.0000,2018-07-24,-0.9855,0.2159,-1.2014,2018-07-24,49.0943,35.3716,2018-07-24,40.7970,2018-07-24,28.3839,2018-07-24,68.0000,0.0000,2018-07-24,36.2675,37.9035,39.5395,2018-07-24,1.1674,2018-07-24,-585207204.0249
